CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
512807108,LRCX,LAM RESEARCH,678052,678052,116.07M,116.07M,NEW,1.2%
64110L106,NFLX,NETFLIX INC,1359244,1219921,127.44M,114.38M,+875.6%,1.3%
002198163,CSCO,CISCO SYSTEMS,1340850,1340850,103.28M,103.28M,NEW,1%
58933Y105,MRK,MERCK & CO,961932,961932,101.25M,101.25M,NEW,1%
007903107,AMD,ADVANCED MICRO DEVICES,467306,467306,100.08M,100.08M,NEW,1%
81762P102,NOW,SERVICENOW INC,491746,386929,75.33M,59.27M,+369.1%,0.76%
742718109,PG,PROCTER & GAMBLE CO,952144,161830,136.45M,23.19M,+20.5%,1.4%
05722G100,BKR,BAKER HUGHES CO,4935331,469502,224.75M,21.38M,+10.5%,2.3%
74340W103,PLD,"PROLOGIS, INC",1122873,101410,143.34M,12.95M,+9.9%,1.4%
594918104,MSFT,MICROSOFT CORP,2356825,19908,1.14B,9.63M,+0.9%,11.5%
95040Q104,WELL,WELLTOWER INC,951354,49830,176.58M,9.25M,+5.5%,1.8%
053015103,ADP,AUTOMATIC DATA PROCESSING,356318,16993,91.66M,4.37M,+5%,0.92%
79466L302,CRM,SALESFORCE,388361,9356,102.88M,2.48M,+2.5%,1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,658563,11276,117.06M,2M,+1.7%,1.2%
060505104,BAC,BANK OF AMERICA CORP,2509526,35812,138.02M,1.97M,+1.4%,1.4%
00287Y109,ABBV,ABBVIE INC,544493,7823,124.41M,1.79M,+1.5%,1.3%
22160K105,COST,COSTCO WHOLESALE CORP,178508,1261,153.93M,1.09M,+0.7%,1.5%
437076102,HD,HOME DEPOT,329054,493,113.23M,169.64K,+0.2%,1.1%
68389X105,ORCL,ORACLE CORPORATION,499101,-8975,97.28M,-1.75M,-1.8%,0.98%
11135F101,AVGO,BROADCOM INC,1268980,-6119,439.19M,-2.12M,-0.5%,4.4%
46625H100,JPM,JPMORGAN CHASE & CO,867353,-9363,279.48M,-3.02M,-1.1%,2.8%
91324P102,UNH,UNITEDHEALTH GROUP,252370,-9324,83.31M,-3.08M,-3.6%,0.84%
191216100,KO,COCA-COLA COMPANY,1443219,-49012,100.89M,-3.43M,-3.3%,1%
78409V104,SPGI,S&P GLOBAL,176023,-7663,91.99M,-4M,-4.2%,0.93%
09857L108,BKNG,BOOKING HOLDINGS INC,21808,-861,116.79M,-4.61M,-3.8%,1.2%
67066G104,NVDA,NVIDIA,7812396,-28025,1.46B,-5.23M,-0.4%,14.7%
532457108,LLY,ELI LILLY & CO,237505,-5811,255.24M,-6.24M,-2.4%,2.6%
88160R101,TSLA,TESLA INC,820206,-14347,368.86M,-6.45M,-1.7%,3.7%
57636Q104,MA,MASTERCARD INC,407221,-16241,232.47M,-9.27M,-3.8%,2.3%
92826C839,V,VISA INC-CLASS A SHARES,821361,-27487,288.06M,-9.64M,-3.2%,2.9%
037833100,AAPL,APPLE COMPUTER INC,4198481,-39545,1.14B,-10.75M,-0.9%,11.5%
023135106,AMZN,AMAZON.COM,2786240,-58572,643.12M,-13.52M,-2.1%,6.5%
02079K305,GOOGL,ALPHABET INC,1452528,-67924,454.64M,-21.26M,-4.5%,4.6%
02079K107,GOOG,ALPHABET INC,1769260,-92586,555.19M,-29.05M,-5%,5.6%
337738108,FISV,FISERV,217237,-183931,51.72M,-43.79M,-45.8%,0.52%
17275R102,CSCO,CISCO SYSTEMS,0,-1415849,0,-96.87M,CLOSE,0%
Total,,,,,9.94B,410.51M,+4.4%,100%
