CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
032654105,ADI,ANALOG DEVICES INC,40000,40000,12.73M,12.73M,NEW,4.5%
038222105,AMAT,APPLIED MATLS INC,35000,35000,11.96M,11.96M,NEW,4.2%
01609W102,BABA,ALIBABA GROUP HLDG LTD,150000,75000,18.82M,9.41M,+100%,6.7%
02079K305,GOOGL,ALPHABET INC,112500,32500,32.35M,9.35M,+40.6%,11.5%
30303M102,META,META PLATFORMS INC,105000,15000,60.07M,8.58M,+16.7%,21.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,25000,25000,8.45M,8.45M,NEW,3%
03831W108,APP,APPLOVIN CORP,95000,0,37.81M,0,NO CHANGE,13.4%
023135106,AMZN,AMAZON COM INC,125000,-5000,26.03M,-1.04M,-3.8%,9.2%
146869102,CVNA,CARVANA CO,137500,-12500,43.23M,-3.93M,-8.3%,15.3%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,0,-175000,0,-6.89M,CLOSE,0%
58733R102,MELI,MERCADOLIBRE INC,17500,-7500,30.26M,-12.97M,-30%,10.7%
22266T109,CPNG,COUPANG INC,0,-700000,0,-16.51M,CLOSE,0%
38267D109,GSHD,GOOSEHEAD INS INC,0,-225000,0,-16.57M,CLOSE,0%
G0896C103,TBBB,BBB FOODS INC,0,-550000,0,-18.36M,CLOSE,0%
81141R100,SE,SEA LTD,0,-150000,0,-19.14M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-90000,0,-43.53M,CLOSE,0%
Total,,,,,281.71M,-78.47M,-18.5%,100%
