CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
882508104,TXN,TEXAS INSTRS INC,148151,148151,28.76M,28.76M,NEW,9.8%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,114525,114525,27.76M,27.76M,NEW,9.4%
30303M102,META,META PLATFORMS INC,55583,41123,31.8M,23.53M,+284.4%,10.8%
007903107,AMD,ADVANCED MICRO DEVICES INC,93463,93463,19.01M,19.01M,NEW,6.5%
532457108,LLY,ELI LILLY & CO,15873,15873,14.6M,14.6M,NEW,5%
30231G102,XOM,EXXON MOBIL CORP,59100,59100,10.03M,10.03M,NEW,3.4%
375558103,GILD,GILEAD SCIENCES INC,63165,63165,8.8M,8.8M,NEW,3%
68389X105,ORCL,ORACLE CORP,49914,49914,7.34M,7.34M,NEW,2.5%
023135106,AMZN,AMAZON COM INC,195677,28127,40.75M,5.86M,+16.8%,13.8%
949746101,WFC,WELLS FARGO & CO,56662,56662,4.51M,4.51M,NEW,1.5%
91324P102,UNH,UNITEDHEALTH GROUP INC,16470,16470,4.46M,4.46M,NEW,1.5%
79466L302,CRM,SALESFORCE INC,21953,21953,4.1M,4.1M,NEW,1.4%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,14393,14393,3.96M,3.96M,NEW,1.3%
060505104,BAC,BANK AMERICA CORP,80759,80759,3.94M,3.94M,NEW,1.3%
46625H100,JPM,JPMORGAN CHASE & CO,12329,12329,3.63M,3.63M,NEW,1.2%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,6192,6192,2.97M,2.97M,NEW,1%
00724F101,ADBE,ADOBE INC,11247,11247,2.73M,2.73M,NEW,0.93%
40434L105,HPQ,HP INC,135699,135699,2.61M,2.61M,NEW,0.89%
747525103,QCOM,QUALCOMM INC,13588,13588,1.75M,1.75M,NEW,0.59%
855244109,SBUX,STARBUCKS CORP,18416,18416,1.65M,1.65M,NEW,0.56%
88160R101,TSLA,TESLA INC,36651,3121,13.63M,1.16M,+9.3%,4.6%
172967424,C,CITIGROUP INC,5801,5801,657.89K,657.89K,NEW,0.22%
09857L108,BKNG,BOOKING HOLDINGS INC,77,77,324.19K,324.19K,NEW,0.11%
009066101,ABNB,AIRBNB INC,912,912,115.17K,115.17K,NEW,0.04%
17275R102,CSCO,CISCO SYS INC,981,981,76.12K,76.12K,NEW,0.03%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,300,300,43.88K,43.88K,NEW,0.01%
983134107,WYNN,WYNN RESORTS LTD,67,67,6.8K,6.8K,NEW,<.01%
65339F101,NEE,NEXTERA ENERGY INC,0,-1801,0,-144.58K,CLOSE,0%
654106103,NKE,NIKE INC,88846,-22367,4.69M,-1.18M,-20.1%,1.6%
92343V104,VZ,VERIZON COMMUNICATIONS INC,0,-36555,0,-1.49M,CLOSE,0%
038222105,AMAT,APPLIED MATLS INC,0,-10177,0,-2.62M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-33000,0,-3.09M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-47955,0,-4.08M,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,0,-16435,0,-4.46M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,68865,-34167,12.01M,-5.96M,-33.2%,4.1%
852234103,XYZ,BLOCK INC,0,-97114,0,-6.32M,CLOSE,0%
679295105,OKTA,OKTA INC,0,-73789,0,-6.38M,CLOSE,0%
88339J105,TTD,THE TRADE DESK INC,0,-211437,0,-8.03M,CLOSE,0%
052769106,ADSK,AUTODESK INC,13021,-42627,3.12M,-10.2M,-76.6%,1.1%
037833100,AAPL,APPLE INC,3477,-41923,882.43K,-10.64M,-92.3%,0.3%
526057104,LEN,LENNAR CORP,0,-114143,0,-11.73M,CLOSE,0%
548661107,LOW,LOWES COS INC,0,-58970,0,-14.22M,CLOSE,0%
464287184,FXI,ISHARES TR,0,-463524,0,-17.75M,CLOSE,0%
461202103,INTU,INTUIT,0,-28023,0,-18.56M,CLOSE,0%
437076102,HD,HOME DEPOT INC,0,-60470,0,-20.81M,CLOSE,0%
23804L103,DDOG,DATADOG INC,0,-160121,0,-21.77M,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,0,-104840,0,-23.71M,CLOSE,0%
98980G102,ZS,ZSCALER INC,0,-112413,0,-25.28M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,43670,-71155,16.17M,-26.34M,-62%,5.5%
11135F101,AVGO,BROADCOM INC,800,-101852,247.61K,-31.52M,-99.2%,0.08%
92189F676,SMH,VANECK ETF TRUST,0,-109241,0,-39.34M,CLOSE,0%
78463V107,GLD,SPDR GOLD TR,40240,-99660,17.31M,-42.88M,-71.2%,5.9%
Total,,,,,294.44M,-174.14M,-35.2%,100%
