CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92204A801,VAW,VANGUARD WORLD FD,5017,5017,1.13M,1.13M,NEW,0.63%
81369Y886,XLU,SELECT SECTOR SPDR TR,4450,4450,204.21K,204.21K,NEW,0.11%
023135106,AMZN,AMAZON COM INC,2873,3,598.36K,624.81,+0.1%,0.33%
037833100,AAPL,APPLE INC,1742,1,442.11K,253.8,+0.1%,0.24%
921946406,VYM,VANGUARD WHITEHALL FDS,118864,0,17.6M,0,NO CHANGE,9.7%
78464A847,SPMD,SPDR SERIES TRUST,128000,0,7.58M,0,NO CHANGE,4.2%
78468R853,SPSM,SPDR SERIES TRUST,150000,0,7.25M,0,NO CHANGE,4%
922908736,VUG,VANGUARD INDEX FDS,1635,0,714.2K,0,NO CHANGE,0.39%
464287150,ITOT,ISHARES TR,3379,0,481.27K,0,NO CHANGE,0.27%
88160R101,TSLA,TESLA INC,1234,0,458.74K,0,NO CHANGE,0.25%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,550,0,357.69K,0,NO CHANGE,0.2%
778296103,ROST,ROSS STORES INC,1311,0,284.05K,0,NO CHANGE,0.16%
14040H105,COF,CAPITAL ONE FINL CORP,1465,0,267.34K,0,NO CHANGE,0.15%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,1150,0,247.32K,0,NO CHANGE,0.14%
92204A702,VGT,VANGUARD WORLD FD,342,0,238.67K,0,NO CHANGE,0.13%
05464C101,AXON,AXON ENTERPRISE INC,532,0,225.94K,0,NO CHANGE,0.12%
88579Y101,MMM,3M CO,1500,0,217.84K,0,NO CHANGE,0.12%
922908652,VXF,VANGUARD INDEX FDS,1000,0,205.8K,0,NO CHANGE,0.11%
166764100,CVX,CHEVRON CORPORATION,4250,-5,879.33K,-1.03K,-0.1%,0.49%
67066G104,NVDA,NVIDIA CORPORATION,5793,-8,1.01M,-1.4K,-0.1%,0.56%
464287168,DVY,ISHARES TR,2808,-15,425.16K,-2.27K,-0.5%,0.24%
922908769,VTI,VANGUARD INDEX FDS,4997,-153,1.6M,-49.09K,-3%,0.89%
808524102,SCHB,SCHWAB STRATEGIC TR,20749,-6186,520.81K,-155.27K,-23%,0.29%
02079K107,GOOG,ALPHABET INC,0,-660,0,-207.11K,CLOSE,0%
922042742,VT,VANGUARD INTL EQUITY INDEX F,0,-1521,0,-214.55K,CLOSE,0%
00287Y109,ABBV,ABBVIE INC,0,-960,0,-219.35K,CLOSE,0%
949746101,WFC,WELLS FARGO & CO,29040,-3000,2.31M,-238.83K,-9.4%,1.3%
922908751,VB,VANGUARD INDEX FDS,0,-936,0,-241.52K,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-506,0,-244.74K,CLOSE,0%
149123101,CAT,CATERPILLAR INC,1449,-614,1.03M,-435K,-29.8%,0.57%
303250104,FICO,FAIR ISAAC CORP,126056,-2078,134.57M,-2.22M,-1.6%,74.4%
Total,,,,,180.85M,-2.89M,-1.1%,100%
