CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
438516106,HON,HONEYWELL INTL INC,1273,1273,287.74K,287.74K,NEW,0.14%
452308109,ITW,ILLINOIS TOOL WKS INC,800,800,208.23K,208.23K,NEW,0.1%
92826C839,V,VISA INC,17250,575,5.21M,173.8K,+3.4%,2.5%
17275R102,CSCO,CISCO SYS INC,14142,1800,1.1M,139.66K,+14.6%,0.52%
24703L202,DELL,DELL TECHNOLOGIES INC,2980,630,489.11K,103.4K,+26.8%,0.23%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,24034,1465,1.33M,81.34K,+6.5%,0.63%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,17305,1329,980.88K,75.33K,+8.3%,0.46%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,1055,250,255.72K,60.6K,+31.1%,0.12%
38141G104,GS,GOLDMAN SACHS GROUP INC,1930,65,1.63M,54.99K,+3.5%,0.77%
33738D812,TDVI,FIRST TR EXCHANGE-TRADED FD,11584,1170,307.7K,31.08K,+11.2%,0.14%
539830109,LMT,LOCKHEED MARTIN CORP,3313,50,2M,30.22K,+1.5%,0.94%
33738D879,RDVI,FIRST TR EXCHANGE-TRADED FD,13127,1117,335.39K,28.54K,+9.3%,0.16%
617446448,MS,MORGAN STANLEY,2785,100,458.33K,16.46K,+3.7%,0.22%
042068205,ARM,ARM HOLDINGS PLC,15413,65,2.33M,9.83K,+0.4%,1.1%
58733R102,MELI,MERCADOLIBRE INC,1072,5,1.85M,8.65K,+0.5%,0.87%
464287515,IGV,ISHARES TR,14149,85,1.13M,6.8K,+0.6%,0.53%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,11778,174,445.71K,6.58K,+1.5%,0.21%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1819,5,349.13K,959.68,+0.3%,0.16%
921946406,VYM,VANGUARD WHITEHALL FDS,3730,5,552.55K,740.68,+0.1%,0.26%
92189F486,FLTR,VANECK ETF TRUST,24718,25,629.83K,637.02,+0.1%,0.3%
464288836,IHE,ISHARES TR,3447,7,298.84K,606.88,+0.2%,0.14%
464287168,DVY,ISHARES TR,1452,4,219.92K,605.84,+0.3%,0.1%
464287879,IJS,ISHARES TR,7324,4,867.62K,473.85,+0.1%,0.41%
464287614,IWF,ISHARES TR,4743,1,2.02M,426.4,+0%,0.95%
464287606,IJK,ISHARES TR,21179,2,2.13M,201.25,+0%,1%
464287556,IBB,ISHARES TR,4147,1,700.3K,168.87,+0%,0.33%
464287473,IWS,ISHARES TR,1789,1,260.86K,145.81,+0.1%,0.12%
464287226,AGG,ISHARES TR,2581,1,256.31K,99.31,+0%,0.12%
22160K105,COST,COSTCO WHOLESALE CORPORATION,3503,0,3.49M,0,NO CHANGE,1.6%
697435105,PANW,PALO ALTO NETWORKS INC,14327,0,2.3M,0,NO CHANGE,1.1%
