CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N07059210,ASML,ASML HLDG NV,180825,180825,238.84M,238.84M,NEW,1.1%
871607107,SNPS,SYNOPSYS INC,1569348,566070,622.22M,224.44M,+56.4%,2.8%
90138F102,TWLO,TWILIO INC,1840000,1590000,231.51M,200.05M,+636%,1%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,3668020,2543020,279.36M,193.68M,+226%,1.3%
92537N108,VRT,VERTIV HOLDINGS CO,2501980,498870,626.95M,125.01M,+24.9%,2.8%
032095101,APH,AMPHENOL CORP,4617948,873345,583.48M,110.35M,+23.3%,2.6%
880770102,TER,TERADYNE INC,2789510,356600,826.98M,105.72M,+14.7%,3.7%
87305R109,TTMI,TTM TECHNOLOGIES INC,1050000,1050000,102.29M,102.29M,NEW,0.46%
92840M102,VST,VISTRA CORP,2546357,600000,382.79M,90.2M,+30.8%,1.7%
30303M102,META,META PLATFORMS INC,2145399,152770,1.23B,87.4M,+7.7%,5.6%
29364G103,ETR,ENTERGY CORP NEW,3326012,590000,373.71M,66.29M,+21.6%,1.7%
01609W102,BABA,ALIBABA GROUP HLDG LTD,500000,500000,62.73M,62.73M,NEW,0.28%
464287523,SOXX,ISHARES TR,310700,118100,102.11M,38.81M,+61.3%,0.46%
67066G104,NVDA,NVIDIA CORPORATION,429459,218020,74.9M,38.02M,+103.1%,0.34%
90353T100,UBER,UBER TECHNOLOGIES INC,3861005,500000,277.72M,35.97M,+14.9%,1.3%
05605H100,BWXT,BWX TECHNOLOGIES INC,1739348,158500,355.68M,32.41M,+10%,1.6%
11135F101,AVGO,BROADCOM INC,98090,98090,30.36M,30.36M,NEW,0.14%
172908105,CTAS,CINTAS CORP,401539,165000,67.92M,27.91M,+69.8%,0.31%
G25508105,CRH,CRH PLC,2050000,250000,215.5M,26.28M,+13.9%,0.98%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,1727986,280000,97.86M,15.86M,+19.3%,0.44%
032654105,ADI,ANALOG DEVICES INC,2067083,48250,657.62M,15.35M,+2.4%,3%
78467X109,DIA,STATE STR SPDR DOW JONES IND,119700,25800,55.44M,11.95M,+27.5%,0.25%
122017106,BURL,BURLINGTON STORES INC,545000,20000,177.33M,6.51M,+3.8%,0.8%
65473P105,NI,NISOURCE INC,3365500,135000,157.03M,6.3M,+4.2%,0.71%
888787108,TOST,TOAST INC,1238096,88096,32.82M,2.34M,+7.7%,0.15%
023135106,AMZN,AMAZON COM INC,5808299,8400,1.21B,1.75M,+0.1%,5.5%
21037T109,CEG,CONSTELLATION ENERGY CORP,1374739,3520,383.9M,982.96K,+0.3%,1.7%
25809K105,DASH,DOORDASH INC,1183210,4800,177.66M,720.72K,+0.4%,0.8%
30212P303,EXPE,EXPEDIA GROUP INC,2475276,0,571.52M,0,NO CHANGE,2.6%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,1622874,0,450.95M,0,NO CHANGE,2%
872540109,TJX,TJX COS INC NEW,2799971,0,447.16M,0,NO CHANGE,2%
92826C839,V,VISA INC,1468618,0,443.88M,0,NO CHANGE,2%
573284106,MLM,MARTIN MARIETTA MATLS INC,747351,0,439.95M,0,NO CHANGE,2%
929160109,VMC,VULCAN MATLS CO,1478646,0,402.64M,0,NO CHANGE,1.8%
57636Q104,MA,MASTERCARD INCORPORATED,778465,0,388.97M,0,NO CHANGE,1.8%
14316J108,CG,CARLYLE GROUP INC,5941316,0,287.5M,0,NO CHANGE,1.3%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,1800310,0,283.15M,0,NO CHANGE,1.3%
75513E101,RTX,RTX CORPORATION,1250000,0,241.12M,0,NO CHANGE,1.1%
29444U700,EQIX,EQUINIX INC,233775,0,229.16M,0,NO CHANGE,1%
369604301,GE,GE AEROSPACE,700000,0,198.64M,0,NO CHANGE,0.9%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,2004000,0,157.63M,0,NO CHANGE,0.71%
78467J100,SSNC,SS&C TECH HLDGS,1764916,0,119.26M,0,NO CHANGE,0.54%
778296103,ROST,ROSS STORES INC,472635,0,102.39M,0,NO CHANGE,0.46%
824348106,SHW,SHERWIN WILLIAMS CO,306735,0,98.32M,0,NO CHANGE,0.45%
78409V104,SPGI,S&P GLOBAL INC,190416,0,80.99M,0,NO CHANGE,0.37%
988498101,YUM,YUM BRANDS INC,465603,0,72.39M,0,NO CHANGE,0.33%
68622P109,ORIC,ORIC PHARMACEUTICALS INC,4504096,0,57.07M,0,NO CHANGE,0.26%
464287432,TLT,ISHARES TR,511000,0,44.3M,0,NO CHANGE,0.2%
639193101,NAVN,NAVAN INC,2686828,0,35.57M,0,NO CHANGE,0.16%
90364P105,PATH,UIPATH INC,2611276,0,28.99M,0,NO CHANGE,0.13%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,500289,0,16.01M,0,NO CHANGE,0.07%
037833100,AAPL,APPLE INC,56627,0,14.37M,0,NO CHANGE,0.07%
G29018101,DLO,DLOCAL LTD,823837,0,10.69M,0,NO CHANGE,0.05%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,475000,0,4.11M,0,NO CHANGE,0.02%
70438V106,PCTY,PAYLOCITY HLDG CORP,24683,0,2.67M,0,NO CHANGE,0.01%
433313103,HNGE,HINGE HEALTH INC,691104,-100000,26.65M,-3.86M,-12.6%,0.12%
781154109,RBRK,RUBRIK INC.,500000,-100000,24.48M,-4.9M,-16.7%,0.11%
02157Q109,ANRO,ALTO NEUROSCIENCE INC,227101,-250000,5.11M,-5.62M,-52.4%,0.02%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,5421668,-17000,1.83B,-5.75M,-0.3%,8.3%
68278B107,OS,ONESTREAM INC,0,-475000,0,-8.73M,CLOSE,0%
81762P102,NOW,SERVICENOW INC,0,-60170,0,-9.22M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-50000,0,-9.75M,CLOSE,0%
Q4982L109,IREN,IREN LIMITED,500000,-300000,17.14M,-10.28M,-37.5%,0.08%
85423L103,SARO,STANDARDAERO INC,1202019,-500000,31.05M,-12.91M,-29.4%,0.14%
04626A103,ALAB,ASTERA LABS INC,200000,-125000,21.92M,-13.7M,-38.5%,0.1%
