CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
58733R102,MELI,MERCADOLIBRE INC,31935,31935,55.22M,55.22M,NEW,12%
37637K108,GTLB,GITLAB INC,750000,750000,16.23M,16.23M,NEW,3.5%
85209W109,SPT,SPROUT SOCIAL INC,2537074,2537074,14.46M,14.46M,NEW,3.2%
91688F104,UPWK,UPWORK INC,5959909,1319095,65.32M,14.46M,+28.4%,14.2%
22266T109,CPNG,COUPANG INC,594799,594799,11.23M,11.23M,NEW,2.4%
G0896C103,TBBB,BBB FOODS INC,451497,59860,15.97M,2.12M,+15.3%,3.5%
G29018101,DLO,DLOCAL LTD,10068,10068,130.58K,130.58K,NEW,0.03%
02005N100,ALLY,ALLY FINL INC,1308399,0,51.33M,0,NO CHANGE,11.2%
87507T101,TBN,TAMBORAN RES CORP,437142,0,21.85M,0,NO CHANGE,4.8%
54150E104,LOMA,LOMA NEGRA C I A S A MTN 14,1435809,0,15.92M,0,NO CHANGE,3.5%
886029206,THRY,THRYV HLDGS INC,1560908,0,4.28M,0,NO CHANGE,0.93%
35909R108,ULCC,FRONTIER GROUP HLDGS INC,3122704,-461099,11.02M,-1.63M,-12.9%,2.4%
N82405106,STLA,STELLANTIS N.V,3199412,-300000,22.68M,-2.13M,-8.6%,4.9%
278768106,SATS,ECHOSTAR CORP,545189,-21200,63.83M,-2.48M,-3.7%,13.9%
21240E105,VLRS,CONTROLADORA VUELA COMP DE A,406139,-1347054,2.94M,-9.75M,-76.8%,0.64%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,1285193,-358443,86.2M,-24.04M,-21.8%,18.8%
Total,,,,,458.61M,73.81M,+16.7%,100%
