CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,228151,177187,47.52M,36.9M,+347.7%,8.2%
594918104,MSFT,MICROSOFT CORP,120556,97806,44.63M,36.2M,+429.9%,7.7%
G6683N103,NU,NU HLDGS LTD,18019613,2203825,258.94M,31.67M,+13.9%,44.7%
09857L108,BKNG,BOOKING HOLDINGS INC,58425,56249,9.84M,9.47M,+2585%,1.7%
67066G104,NVDA,NVIDIA CORPORATION,85277,19064,14.87M,3.32M,+28.8%,2.6%
G29018101,DLO,DLOCAL LTD,2071719,157721,26.87M,2.05M,+8.2%,4.6%
02079K305,GOOGL,ALPHABET INC,50716,3315,14.58M,953.26K,+7%,2.5%
037833100,AAPL,APPLE INC,53442,3707,13.56M,940.8K,+7.5%,2.3%
009066101,ABNB,AIRBNB INC,100558,6857,12.7M,865.9K,+7.3%,2.2%
64110L106,NFLX,NETFLIX INC.,128326,8437,12.34M,811.22K,+7%,2.1%
30303M102,META,META PLATFORMS INC,16436,1100,9.4M,629.34K,+7.2%,1.6%
G9470A102,VTEX,VTEX,193173,-29341,772.69K,-117.36K,-13.2%,0.13%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,42261,-3849,14.28M,-1.3M,-8.3%,2.5%
G98239109,XP,XP INC,2382538,-3239121,45.36M,-61.67M,-57.6%,7.8%
58733R102,MELI,MERCADOLIBRE INC,31173,-44362,53.9M,-76.7M,-58.7%,9.3%
Total,,,,,579.57M,-15.97M,-2.4%,100%
