CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T TR,273804,252250,178.07M,164.05M,+1170.3%,23.7%
67066G104,NVDA,NVIDIA CORPORATION,939419,786763,163.83M,137.21M,+515.4%,21.9%
30303M102,META,META PLATFORMS INC,148050,148050,84.7M,84.7M,NEW,11.3%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF SHS,1275474,589742,49M,22.66M,+86%,6.5%
594972408,MSTR,STRATEGY INC CL,310773,145079,38.78M,18.11M,+87.6%,5.2%
464287655,IWM,ISHARES,100877,45640,25.02M,11.32M,+82.6%,3.3%
78463V107,GLD,SPDR GOLD TR GOLD,78301,20170,33.69M,8.68M,+34.7%,4.5%
25461H572,SOXS,DIREXION SHARES,100230,100230,4M,4M,NEW,0.53%
25459W458,SOXL,DIREXION SHARES,83026,83026,3.98M,3.98M,NEW,0.53%
46428Q109,SLV,ISHARES SILVER TR,241388,52618,16.45M,3.59M,+27.9%,2.2%
74350P675,SQQQ,PROSHARES,32441,25808,2.61M,2.08M,+389.1%,0.35%
464287721,IYW,ISHARES TR U.S.,10878,10878,1.97M,1.97M,NEW,0.26%
85208P873,SLVR,SPROTT FDS,378924,32523,22.42M,1.92M,+9.4%,3%
25460G781,NUGT,DIREXION SHARES ETF TRUST DAILY,10146,10146,1.91M,1.91M,NEW,0.25%
25461A528,MUU,DIREXION SHARES ETF TRUST DLY MU,13951,13951,1.68M,1.68M,NEW,0.22%
74350P659,SPXU,PROSHARES,29411,29411,1.67M,1.67M,NEW,0.22%
46137V100,PPA,INVESCO EXCHANGE TRADED FD,9994,9994,1.66M,1.66M,NEW,0.22%
74347G804,OILK,PROSHARES TR K-1 FREE,30279,30279,1.64M,1.64M,NEW,0.22%
37954Y848,SIL,GLOBAL X FDS GLOBAL,119539,17921,10.77M,1.61M,+17.6%,1.4%
69374H303,PTNQ,PACER FDS,20333,20333,1.48M,1.48M,NEW,0.2%
74347X831,TQQQ,PROSHARES,35560,35560,1.48M,1.48M,NEW,0.2%
46436E189,ICOP,ISHARES,27937,27937,1.33M,1.33M,NEW,0.18%
06748M196,VXX,BARCLAYS BANK PLC IPATH,36632,36632,1.31M,1.31M,NEW,0.17%
46438R105,ETHA,ISHARES ETHEREUM TR,95822,81957,1.52M,1.3M,+591.1%,0.2%
92189H805,REMX,VANECK ETF TRUST RARE EARTH,14050,14050,1.24M,1.24M,NEW,0.16%
464288760,ITA,ISHARES TR US AER,8887,5487,1.94M,1.2M,+161.4%,0.26%
464286624,THD,ISHARES INC,16215,16215,1.12M,1.12M,NEW,0.15%
25460G831,JNUG,DIREXION SHARES,5537,5537,1.1M,1.1M,NEW,0.15%
78464A631,XAR,SPDR,5453,4102,1.38M,1.04M,+303.6%,0.18%
464286327,SLVP,ISHARES INC MSCI,157610,29363,5.59M,1.04M,+22.9%,0.75%
25460G120,LABU,DIREXION SHARES ETF TRUST DAILY,6501,6261,1.08M,1.04M,+2608.8%,0.14%
91167Q100,BNO,UNITED STS BRENT OIL FD LP,19624,19624,1.02M,1.02M,NEW,0.14%
46152A668,SNXX,INVESTMENT MANAGERS SER TR I TRADR 2X,26789,26789,975.65K,975.66K,NEW,0.13%
464287234,EEM,ISHARES TR MSCI EMG,15753,15753,894.61K,894.61K,NEW,0.12%
55024U109,LITE,LUMENTUM HLDGS INC,1248,1248,877.04K,877.04K,NEW,0.12%
74349Y837,PSQ,PROSHARES,26579,26579,855.58K,855.58K,NEW,0.11%
N07059210,ASML,ASML HLDG NV N Y REGISTRY,617,617,814.95K,814.95K,NEW,0.11%
947890109,WBS,WEBSTER FINL CORP,11446,11446,794.58K,794.58K,NEW,0.11%
37954Y871,URA,GLOBAL X FDS GLOBAL,30465,15637,1.48M,757.3K,+105.5%,0.2%
464286392,URTH,ISHARES INC,3547,3547,638.53K,638.53K,NEW,0.09%
25459W847,TNA,DIREXION SHARES,13595,13595,599.95K,599.95K,NEW,0.08%
92204A702,VGT,VANGUARD WORLD FD INF,816,816,569.34K,569.34K,NEW,0.08%
