CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
620076307,MSI,Motorola Solutions Inc,380790,310136,165.25M,134.59M,+439%,7.9%
80004C200,SNDK,Sandisk Corp,114605,114605,72.81M,72.81M,NEW,3.5%
438516106,HON,Honeywell International Inc,429551,259330,97.09M,58.62M,+152.3%,4.6%
55024U109,LITE,Lumentum Holdings Inc,212056,72791,149.02M,51.15M,+52.3%,7.1%
94106L109,WM,Waste Management Inc,203623,203623,46.79M,46.79M,NEW,2.2%
67066G104,NVDA,NVIDIA Corp,1576824,251963,275M,43.94M,+19%,13.1%
82846H405,QXO,QXO Inc,1843734,1843734,35.81M,35.81M,NEW,1.7%
303250104,FICO,Fair Isaac Corp,31708,31708,33.85M,33.85M,NEW,1.6%
02079K305,GOOGL,Alphabet Inc,116044,116044,33.37M,33.37M,NEW,1.6%
532457108,LLY,Eli Lilly & Co,88178,30300,81.1M,27.87M,+52.4%,3.9%
11135F101,AVGO,Broadcom Inc,439486,83688,136.03M,25.9M,+23.5%,6.5%
03831W108,APP,AppLovin Corp,149100,45183,59.34M,17.98M,+43.5%,2.8%
759916109,RGEN,Repligen Corp,404200,95733,47.62M,11.28M,+31%,2.3%
45841N107,IBKR,Interactive Brokers Group Inc,714184,140120,47.9M,9.4M,+24.4%,2.3%
808513105,SCHW,Charles Schwab Corp,333148,84942,31.31M,7.98M,+34.2%,1.5%
874039100,TSM,Taiwan Semiconductor Manufacturing Co Ltd,408679,-2069,138.11M,-699.22K,-0.5%,6.6%
235851102,DHR,Danaher Corp,153866,-72813,29.17M,-13.81M,-32.1%,1.4%
771049103,RBLX,ROBLOX CORP,0,-213462,0,-17.3M,CLOSE,0%
90353T100,UBER,Uber Technologies Inc,782513,-290275,56.29M,-20.88M,-27.1%,2.7%
601137102,MRP,MILLROSE PPTYS INC,0,-834287,0,-24.92M,CLOSE,0%
03990B101,ARES,Ares Management Corp,186281,-238353,20.32M,-26M,-56.1%,0.97%
14040H105,COF,CAPITAL ONE FINL CORP,0,-108568,0,-26.31M,CLOSE,0%
03769M106,APO,Apollo Global Management Inc,223343,-248533,24.88M,-27.69M,-52.7%,1.2%
G7997R103,STX,Seagate Technology Holdings PLC,77074,-71200,30.19M,-27.89M,-48%,1.4%
512807306,LRCX,Lam Research Corp,1290589,-133041,275.75M,-28.43M,-9.3%,13.1%
651639106,NEM,Newmont Corp,766471,-273624,82.97M,-29.62M,-26.3%,3.9%
718172109,PM,Philip Morris International Inc,18201,-285196,3.01M,-47.15M,-94%,0.14%
G3643J108,FLUT,Flutter Entertainment PLC,152275,-637650,15.52M,-65.01M,-80.7%,0.74%
92537N108,VRT,Vertiv Holdings Co,456308,-442543,114.34M,-110.89M,-49.2%,5.4%
Total,,,,,2.1B,144.74M,+7.4%,100%
