CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K107,GOOG,ALPHABET INC,184735,126626,52.99M,36.32M,+217.9%,8.4%
03940C100,ACLX,ARCELLX INC,134648,134648,15.46M,15.46M,NEW,2.5%
14365C103,CUK,CARNIVAL PLC,602182,478227,15.52M,12.32M,+385.8%,2.5%
00912X302,AL,AIR LEASE CORP,182350,160850,11.84M,10.45M,+748.1%,1.9%
11276H106,BIPC,BROOKFIELD INFRASTRUCTURE CO,233650,233650,9.23M,9.23M,NEW,1.5%
904311107,UAA,UNDER ARMOUR INC,1536404,1536404,9.08M,9.08M,NEW,1.4%
68278B107,OS,ONESTREAM INC,365500,365500,8.77M,8.77M,NEW,1.4%
70975L107,PEN,PENUMBRA INC,25817,25817,8.48M,8.48M,NEW,1.4%
464287655,IWM,ISHARES TR,41342,32282,10.25M,8.01M,+356.3%,1.6%
03152W109,FOLD,AMICUS THERAPEUTIC,771948,531948,11.16M,7.69M,+221.6%,1.8%
185123106,CWAN,CLEARWATER ANALYTICS HLDGS I,311432,311432,7.37M,7.37M,NEW,1.2%
947890109,WBS,WEBSTER FINL CORP,105221,105221,7.3M,7.3M,NEW,1.2%
49177J102,KVUE,KENVUE INC,543251,420751,9.37M,7.25M,+343.5%,1.5%
285512109,EA,ELECTRONIC ARTS INC,45785,33885,9.33M,6.91M,+284.7%,1.5%
16115Q308,GTLS,CHART INDS INC,42348,31723,8.76M,6.56M,+298.6%,1.4%
01921D204,AAUC,ALLIED GOLD CORP,207217,207217,6.41M,6.41M,NEW,1%
464287184,FXI,ISHARES TR,212109,173572,7.61M,6.23M,+450.4%,1.2%
G4474Y214,JHG,JANUS HENDERSON GROUP PLC,116300,116300,5.97M,5.97M,NEW,0.95%
126349109,CSGS,CSG SYS INTL INC,148867,73400,11.9M,5.87M,+97.3%,1.9%
878742204,TECK,TECK RESOURCES LTD,105200,105200,5.44M,5.44M,NEW,0.87%
78464A797,KBE,SPDR SERIES TRUST,87134,87127,5.19M,5.19M,+1244671.4%,0.83%
880881107,TERN,TERNS PHARMACEUTICALS INC,90236,90236,4.76M,4.76M,NEW,0.76%
632347100,NATH,NATHANS FAMOUS INC,42814,42814,4.31M,4.31M,NEW,0.69%
436440101,HOLX,HOLOGIC INC,204250,57000,15.44M,4.31M,+38.7%,2.5%
81211K100,SEE,SEALED AIR CORP NEW,117603,100103,4.95M,4.21M,+572%,0.79%
574795100,MASI,MASIMO CORP,23050,23050,4.1M,4.1M,NEW,0.65%
81369Y605,XLF,SELECT SECTOR SPDR TR,113035,82816,5.58M,4.09M,+274.1%,0.89%
81369Y803,XLK,SELECT SECTOR SPDR TR,57706,30586,7.67M,4.06M,+112.8%,1.2%
464286400,EWZ,ISHARES INC,105206,105206,4.04M,4.04M,NEW,0.64%
