CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46625H100,JPM,JPMORGAN CHASE & CO,98586,98586,29M,29M,NEW,13.4%
025816109,AXP,AMERICAN EXPRESS CO,64203,60603,19.42M,18.33M,+1683.4%,8.9%
30303M102,META,META PLATFORMS INC,31233,28629,17.87M,16.38M,+1099.4%,8.2%
79466L302,CRM,SALESFORCE INC,42383,40850,7.91M,7.63M,+2664.7%,3.6%
056752108,BIDU,BAIDU INC,65150,61978,7.26M,6.91M,+1953.9%,3.3%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,26231,24031,6.36M,5.82M,+1092.3%,2.9%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,8216,7016,5.34M,4.56M,+584.7%,2.5%
594918104,MSFT,MICROSOFT CORP,13024,8764,4.82M,3.24M,+205.7%,2.2%
68389X105,ORCL,ORACLE CORP,21852,21852,3.21M,3.21M,NEW,1.5%
595112103,MU,MICRON TECHNOLOGY INC,18918,8736,6.39M,2.95M,+85.8%,2.9%
92189F676,SMH,VANECK ETF TRUST,7006,7006,2.68M,2.68M,NEW,1.2%
64110L106,NFLX,NETFLIX INC.,38954,26024,3.75M,2.5M,+201.3%,1.7%
N07059210,ASML,ASML HLDG NV,2142,1720,2.83M,2.27M,+407.6%,1.3%
91912E105,VALE,VALE S A,176052,123990,2.8M,1.97M,+238.2%,1.3%
369604301,GE,GE AEROSPACE,6771,6771,1.92M,1.92M,NEW,0.88%
00724F101,ADBE,ADOBE INC,12186,7652,2.96M,1.86M,+168.8%,1.4%
46090E103,QQQ,INVESCO QQQ TR,4893,3212,2.82M,1.85M,+191.1%,1.3%
46428Q109,SLV,ISHARES SILVER TR,22725,22725,1.55M,1.55M,NEW,0.71%
852234103,XYZ,BLOCK INC,31081,24781,1.87M,1.49M,+393.3%,0.86%
91324P102,UNH,UNITEDHEALTH GROUP INC,5357,5357,1.45M,1.45M,NEW,0.67%
550021109,LULU,LULULEMON ATHLETICA INC,12921,9430,1.98M,1.44M,+270.1%,0.91%
01609W102,BABA,ALIBABA GROUP HLDG LTD,55011,11286,6.9M,1.42M,+25.8%,3.2%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,10279,9000,1.5M,1.32M,+703.7%,0.69%
87612E106,TGT,TARGET CORP,10200,10200,1.24M,1.24M,NEW,0.57%
911363109,URI,UNITED RENTALS INC,1684,1684,1.23M,1.23M,NEW,0.57%
09260D107,BX,BLACKSTONE INC,10652,10652,1.23M,1.23M,NEW,0.56%
67066G104,NVDA,NVIDIA CORPORATION,15054,6888,2.62M,1.2M,+84.3%,1.2%
