CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46428Q109,SLV,ISHARES SILVER TR,3582617,1634149,244.12M,111.35M,+83.9%,19.5%
88160R101,TSLA,TESLA INC,294809,294809,109.6M,109.6M,NEW,8.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,421602,316922,142.48M,107.1M,+302.8%,11.4%
02079K107,GOOG,ALPHABET INC,539819,369391,154.85M,105.96M,+216.7%,12.4%
N07059210,ASML,ASML HLDG NV,29547,29547,39.03M,39.03M,NEW,3.1%
19260Q107,COIN,COINBASE GLOBAL INC,399232,196463,69.71M,34.3M,+96.9%,5.6%
594972408,MSTR,STRATEGY INC,505227,273397,63.05M,34.12M,+117.9%,5%
464288513,HYG,ISHARES TR,419774,419774,33.4M,33.4M,NEW,2.7%
007903107,AMD,ADVANCED MICRO DEVICES INC,158061,158061,32.15M,32.15M,NEW,2.6%
68389X105,ORCL,ORACLE CORP,401814,190664,59.11M,28.05M,+90.3%,4.7%
92189F676,SMH,VANECK ETF TRUST,64420,64420,24.7M,24.7M,NEW,2%
30303M102,META,META PLATFORMS INC,30751,30751,17.59M,17.59M,NEW,1.4%
023135106,AMZN,AMAZON COM INC,62946,62946,13.11M,13.11M,NEW,1%
58733R102,MELI,MERCADOLIBRE INC,15506,7351,26.81M,12.71M,+90.1%,2.1%
037833100,AAPL,APPLE INC,43631,43631,11.07M,11.07M,NEW,0.89%
594918104,MSFT,MICROSOFT CORP,20982,20982,7.77M,7.77M,NEW,0.62%
01609W102,BABA,ALIBABA GROUP HLDG LTD,86522,26670,10.86M,3.35M,+44.6%,0.87%
146869102,CVNA,CARVANA CO,3866,3866,1.22M,1.22M,NEW,0.1%
833445109,SNOW,SNOWFLAKE INC,8529,5916,1.29M,892.25K,+226.4%,0.1%
30231G102,XOM,EXXON MOBIL CORP,0,-2233,0,-268.72K,CLOSE,0%
254687106,DIS,DISNEY WALT CO,31960,-3021,3.08M,-291.16K,-8.6%,0.25%
90353T100,UBER,UBER TECHNOLOGIES INC,0,-3641,0,-297.51K,CLOSE,0%
91680M107,UPST,UPSTART HLDGS INC,0,-9295,0,-406.47K,CLOSE,0%
437076102,HD,HOME DEPOT INC,0,-1343,0,-462.13K,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,0,-3256,0,-524.12K,CLOSE,0%
47215P106,JD,JD.COM INC,0,-19391,0,-556.52K,CLOSE,0%
87612E106,TGT,TARGET CORP,0,-7203,0,-704.09K,CLOSE,0%
00724F101,ADBE,ADOBE INC,0,-3281,0,-1.15M,CLOSE,0%
931142103,WMT,WALMART INC,0,-13537,0,-1.51M,CLOSE,0%
166764100,CVX,CHEVRON CORP NEW,0,-10696,0,-1.63M,CLOSE,0%
060505104,BAC,BANK AMERICA CORP,23766,-42301,1.16M,-2.06M,-64%,0.09%
81369Y506,XLE,SELECT SECTOR SPDR TR,0,-43622,0,-2.3M,CLOSE,0%
949746101,WFC,WELLS FARGO CO NEW,0,-25963,0,-2.42M,CLOSE,0%
172967424,C,CITIGROUP INC,0,-29571,0,-3.45M,CLOSE,0%
86800U302,SMCI,SUPER MICRO COMPUTER INC,0,-149085,0,-4.36M,CLOSE,0%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,0,-9426,0,-4.42M,CLOSE,0%
22160K105,COST,COSTCO WHSL CORP NEW,0,-5307,0,-4.58M,CLOSE,0%
097023105,BA,BOEING CO,0,-82335,0,-17.88M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,294354,-55870,99.44M,-18.88M,-16%,8%
64110L106,NFLX,NETFLIX INC,0,-207740,0,-19.48M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO.,0,-61419,0,-19.79M,CLOSE,0%
09857L108,BKNG,BOOKING HOLDINGS INC,4408,-5501,18.56M,-23.16M,-55.5%,1.5%
11135F101,AVGO,BROADCOM INC,0,-81350,0,-28.16M,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,127488,-194156,18.65M,-28.4M,-60.4%,1.5%
70450Y103,PYPL,PAYPAL HLDGS INC,0,-538298,0,-31.43M,CLOSE,0%
78462F103,SPY,SPDR S&P 500 ETF TR,0,-121111,0,-82.59M,CLOSE,0%
78463V107,GLD,SPDR GOLD TR,107664,-234340,46.33M,-100.83M,-68.5%,3.7%
67066G104,NVDA,NVIDIA CORPORATION,0,-808352,0,-150.76M,CLOSE,0%
Total,,,,,1.25B,174.74M,+16%,100%
