CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
934423104,WBD,WARNER BROS DISCOVERY INC,16390762,15767455,450.09M,432.97M,+2529.6%,10.4%
594918104,MSFT,MICROSOFT CORP,1294540,1108843,479.2M,410.46M,+597.1%,11.1%
67066G104,NVDA,NVIDIA CORPORATION,2573472,1716121,448.81M,299.29M,+200.2%,10.4%
30303M102,META,META PLATFORMS INC,351993,339233,201.39M,194.09M,+2658.6%,4.7%
097023105,BA,BOEING CO,611500,600366,121.71M,119.49M,+5392.2%,2.8%
655844108,NSC,NORFOLK SOUTHN CORP,338126,259126,97.04M,74.37M,+328%,2.3%
037833100,AAPL,APPLE INC,517598,285529,131.36M,72.46M,+123%,3%
285512109,EA,ELECTRONIC ARTS INC,322347,299347,65.72M,61.03M,+1301.5%,1.5%
70975L107,PEN,PENUMBRA INC,184663,184663,60.64M,60.64M,NEW,1.4%
49177J102,KVUE,KENVUE INC,3343101,3343101,57.64M,57.64M,NEW,1.3%
75513E101,RTX,RTX CORPORATION,270685,270685,52.22M,52.22M,NEW,1.2%
947890109,WBS,WEBSTER FINL CORP,680675,680675,47.25M,47.25M,NEW,1.1%
668074305,NWE,NORTHWESTERN ENERGY GROUP IN,657262,657262,43.34M,43.34M,NEW,1%
69349H107,TXNM,TXNM ENERGY INC,695635,695635,40.67M,40.67M,NEW,0.94%
436440101,HOLX,HOLOGIC INC,515637,515637,38.98M,38.98M,NEW,0.9%
127097103,CTRA,COTERRA ENERGY INC,1028519,1028519,36.14M,36.14M,NEW,0.84%
16115Q308,GTLS,CHART INDS INC,194130,170563,40.14M,35.26M,+723.7%,0.93%
185123106,CWAN,CLEARWATER ANALYTICS HLDGS I,1790121,1227423,42.34M,29.03M,+218.1%,0.98%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,36026,36026,16.09M,16.09M,NEW,0.37%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,981540,483336,31.42M,15.47M,+97%,0.73%
904708104,UNF,UNIFIRST CORP MASS,60259,60259,15.16M,15.16M,NEW,0.35%
74736K101,QRVO,QORVO INC,177499,170283,13.74M,13.18M,+2359.8%,0.32%
00130H105,AES,AES CORP,724459,708629,10.21M,9.98M,+4476.5%,0.24%
461202103,INTU,INTUIT,21787,21787,9.42M,9.42M,NEW,0.22%
25401T603,DBRG,DIGITALBRIDGE GROUP INC,575943,575943,8.88M,8.88M,NEW,0.21%
464286400,EWZ,ISHARES INC,1131111,213497,43.42M,8.2M,+23.3%,1%
574795100,MASI,MASIMO CORP,45917,45917,8.17M,8.17M,NEW,0.19%
35137L105,FOXA,FOX CORP,111939,111939,6.54M,6.54M,NEW,0.15%
030506109,AMWD,AMERICAN WOODMARK CORP,161234,161234,6.42M,6.42M,NEW,0.15%
00766T100,ACM,AECOM,79230,73869,6.72M,6.27M,+1377.9%,0.16%
63001N106,NATL,NCR ATLEOS CORPORATION,138281,138281,6.03M,6.03M,NEW,0.14%
388689101,GPK,GRAPHIC PACKAGING HLDG CO,547011,547011,5.44M,5.44M,NEW,0.13%
81619Q105,SEM,SELECT MED HLDGS CORP,349564,331807,5.69M,5.41M,+1868.6%,0.13%
615369105,MCO,MOODYS CORP,12316,12316,5.37M,5.37M,NEW,0.12%
217204106,CPRT,COPART INC,258878,155012,8.59M,5.15M,+149.2%,0.2%
902252105,TYL,TYLER TECHNOLOGIES INC,14891,14891,5.1M,5.1M,NEW,0.12%
880881107,TERN,TERNS PHARMACEUTICALS INC,94724,94724,4.99M,4.99M,NEW,0.12%
256163106,DOCU,DOCUSIGN INC,102364,102364,4.85M,4.85M,NEW,0.11%
056525108,BMI,BADGER METER INC,31802,31802,4.85M,4.85M,NEW,0.11%
128246105,CVGW,CALAVO GROWERS INC,184275,184275,4.75M,4.75M,NEW,0.11%
303075105,FDS,FACTSET RESH SYS INC,22626,21664,4.91M,4.7M,+2252%,0.11%
826919102,SLAB,SILICON LABORATORIES INC,27277,22485,5.68M,4.68M,+469.2%,0.13%
381013101,GDEN,GOLDEN ENTMT INC,164923,164923,4.4M,4.4M,NEW,0.1%
617700109,MORN,MORNINGSTAR INC,24977,24977,4.22M,4.22M,NEW,0.1%
703481101,PTEN,PATTERSON-UTI ENERGY INC,426117,385215,4.61M,4.17M,+941.8%,0.11%
88162G103,TTEK,TETRA TECH INC NEW,135813,135813,4.09M,4.09M,NEW,0.09%
39304D102,GDOT,GREEN DOT CORP,426789,341315,4.79M,3.83M,+399.3%,0.11%
98978V103,ZTS,ZOETIS INC,48904,31646,5.78M,3.74M,+183.4%,0.13%
11133T103,BR,BROADRIDGE FINL SOLUTIONS IN,22592,22592,3.67M,3.67M,NEW,0.09%
138103106,CTLP,CANTALOUPE INC,338257,338257,3.66M,3.66M,NEW,0.08%
09260D107,BX,BLACKSTONE INC,31604,31604,3.63M,3.63M,NEW,0.08%
83417M104,SEDG,SOLAREDGE TECHNOLOGIES INC,71148,71148,3.63M,3.63M,NEW,0.08%
032095101,APH,AMPHENOL CORP,43435,28520,5.49M,3.6M,+191.2%,0.13%
526057104,LEN,LENNAR CORP,45589,40917,3.96M,3.55M,+875.8%,0.09%
26603R106,DUOL,DUOLINGO INC,36948,35541,3.64M,3.5M,+2526%,0.08%
22160N109,CSGP,COSTAR GROUP INC,83948,83948,3.39M,3.39M,NEW,0.08%
423452101,HP,HELMERICH & PAYNE INC,92951,92951,3.35M,3.35M,NEW,0.08%
36828A101,GEV,GE VERNOVA INC,7107,3726,6.2M,3.25M,+110.2%,0.14%
172908105,CTAS,CINTAS CORP,22647,19058,3.83M,3.22M,+531%,0.09%
78442P106,SLM,SLM CORP,149604,149604,3.2M,3.2M,NEW,0.07%
78463M107,SPSC,SPS COMM INC,55588,55588,3.09M,3.09M,NEW,0.07%
70450Y103,PYPL,PAYPAL HLDGS INC,67664,67664,3.06M,3.06M,NEW,0.07%
235825205,DAN,DANA INC,163910,90899,5.52M,3.06M,+124.5%,0.13%
911363109,URI,UNITED RENTALS INC,4194,4194,3.06M,3.06M,NEW,0.07%
78409V104,SPGI,S&P GLOBAL INC,7040,7040,2.99M,2.99M,NEW,0.07%
12653C108,CNX,CNX RES CORP,155831,77571,6.01M,2.99M,+99.1%,0.14%
21874C102,CNM,CORE & MAIN INC,59434,59434,2.94M,2.94M,NEW,0.07%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,14302,14302,2.91M,2.91M,NEW,0.07%
92847W103,VITL,VITAL FARMS INC,204092,204092,2.88M,2.88M,NEW,0.07%
40434L105,HPQ,HP INC,172893,149067,3.32M,2.86M,+625.6%,0.08%
00370M103,ABVX,ABIVAX SA,24750,24750,2.76M,2.76M,NEW,0.06%
974155103,WING,WINGSTOP INC,17360,17360,2.69M,2.69M,NEW,0.06%
62944T105,NVR,NVR INC,393,393,2.59M,2.59M,NEW,0.06%
70432V102,PAYC,PAYCOM SOFTWARE INC,21157,21157,2.57M,2.57M,NEW,0.06%
254687106,DIS,DISNEY WALT CO,26537,26537,2.56M,2.56M,NEW,0.06%
20030N101,CMCSA,COMCAST CORP NEW,120350,88275,3.46M,2.53M,+275.2%,0.08%
18915M107,NET,CLOUDFLARE INC,12278,12278,2.53M,2.53M,NEW,0.06%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,34105,34105,2.47M,2.47M,NEW,0.06%
579780206,MKC,MCCORMICK & CO INC,48255,48255,2.43M,2.43M,NEW,0.06%
98419M100,XYL,XYLEM INC,20274,20274,2.42M,2.42M,NEW,0.06%
989207105,ZBRA,ZEBRA TECHNOLOGIES CORPORATI,11242,11242,2.35M,2.35M,NEW,0.05%
34964C106,FBIN,FORTUNE BRANDS INNOVATIONS I,60027,60027,2.34M,2.34M,NEW,0.05%
92242T101,VVX,V2X INC,34043,34043,2.33M,2.33M,NEW,0.05%
61945C103,MOS,MOSAIC CO,90121,90121,2.3M,2.3M,NEW,0.05%
747525103,QCOM,QUALCOMM INC,17816,17816,2.29M,2.29M,NEW,0.05%
91347P105,OLED,UNIVERSAL DISPLAY CORP,43818,24977,4.02M,2.29M,+132.6%,0.09%
950755108,WERN,WERNER ENTERPRISES INC,76427,76427,2.25M,2.25M,NEW,0.05%
85208M102,SFM,SPROUTS FMRS MKT INC,36208,29015,2.79M,2.24M,+403.4%,0.06%
465741106,ITRI,ITRON INC,24674,24674,2.21M,2.21M,NEW,0.05%
114340102,AZTA,AZENTA INC,173000,104497,3.66M,2.21M,+152.5%,0.08%
97717P104,WT,WISDOMTREE INC,224042,149145,3.26M,2.17M,+199.1%,0.08%
339750101,FND,FLOOR & DECOR HLDGS INC,42618,42618,2.16M,2.16M,NEW,0.05%
302130109,EXPD,EXPEDITORS INTL WASH INC,15065,15065,2.16M,2.16M,NEW,0.05%
443320106,HUBG,HUB GROUP INC,59820,59820,2.16M,2.16M,NEW,0.05%
65249B109,NWSA,NEWS CORP NEW,86022,86022,2.14M,2.14M,NEW,0.05%
000361105,AIR,AAR CORP,28110,19404,3.08M,2.12M,+222.9%,0.07%
844741108,LUV,SOUTHWEST AIRLS CO,89659,56412,3.37M,2.12M,+169.7%,0.08%
440452100,HRL,HORMEL FOODS CORP,135408,93556,3.07M,2.12M,+223.5%,0.07%
093671105,HRB,BLOCK H & R INC,66622,66622,2.11M,2.11M,NEW,0.05%
099406100,BOOT,BOOT BARN HLDGS INC,14246,14246,2.09M,2.09M,NEW,0.05%
29261A100,EHC,ENCOMPASS HEALTH CORP,21519,21519,2.08M,2.08M,NEW,0.05%
88339J105,TTD,THE TRADE DESK INC,198671,91560,4.51M,2.08M,+85.5%,0.1%
125523100,CI,THE CIGNA GROUP,7689,7689,2.05M,2.05M,NEW,0.05%
093712107,BE,BLOOM ENERGY CORP,15056,15056,2.04M,2.04M,NEW,0.05%
201723103,CMC,COMMERCIAL METALS CO,41024,32860,2.52M,2.02M,+402.5%,0.06%
34959J108,FTV,FORTIVE CORP,56396,36268,3.12M,2M,+180.2%,0.07%
03674X106,AR,ANTERO RESOURCES CORP,47050,47050,2M,2M,NEW,0.05%
512807306,LRCX,LAM RESEARCH CORP,9341,9341,2M,2M,NEW,0.05%
893641100,TDG,TRANSDIGM GROUP INC,2367,1715,2.74M,1.99M,+263%,0.06%
086516101,BBY,BEST BUY INC,30100,30100,1.93M,1.93M,NEW,0.04%
704551100,BTU,PEABODY ENGR CORP,57949,57949,1.91M,1.91M,NEW,0.04%
466032109,JJSF,J & J SNACK FOODS CORP,23138,23138,1.83M,1.83M,NEW,0.04%
045487105,ASB,ASSOCIATED BANC-CORP,80471,70252,2.08M,1.82M,+687.5%,0.05%
26622P107,DOCS,DOXIMITY INC,77650,77650,1.81M,1.81M,NEW,0.04%
03990B101,ARES,ARES MANAGEMENT CORPORATION,16521,16521,1.8M,1.8M,NEW,0.04%
72919P202,PLUG,PLUG PWR INC,1016724,786172,2.3M,1.78M,+341%,0.05%
192446102,CTSH,COGNIZANT TECHNOLOGY SOLUTIO,28509,28509,1.75M,1.75M,NEW,0.04%
112463104,BKD,BROOKDALE SR LIVING INC,216026,126571,2.96M,1.73M,+141.5%,0.07%
773903109,ROK,ROCKWELL AUTOMATION INC,4738,4738,1.7M,1.7M,NEW,0.04%
681936100,OHI,OMEGA HEALTHCARE INVS INC,38738,38738,1.7M,1.7M,NEW,0.04%
513272104,LW,LAMB WESTON HLDGS INC,39735,39735,1.68M,1.68M,NEW,0.04%
49427F108,KRC,KILROY REALTY CORP,58596,58596,1.65M,1.65M,NEW,0.04%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,18750,18750,1.61M,1.61M,NEW,0.04%
422806109,HEI,HEICO CORP NEW,5780,5780,1.58M,1.58M,NEW,0.04%
