CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
110448107,BTI,BRITISH AMERN TOB PLC,2823441,2823441,165.09M,165.09M,NEW,9.3%
718172109,PM,PHILIP MORRIS INTL INC,822766,772371,136.04M,127.7M,+1532.6%,7.7%
500754106,KHC,KRAFT HEINZ CO,4242061,4242061,95.4M,95.4M,NEW,5.4%
02209S103,MO,ALTRIA GROUP INC,1275522,1275522,84.17M,84.17M,NEW,4.8%
49271V100,KDP,KEURIG DR PEPPER INC,2787899,2787899,73.41M,73.41M,NEW,4.2%
713448108,PEP,PEPSICO INC,472477,472477,73.37M,73.37M,NEW,4.2%
609207105,MDLZ,MONDELEZ INTL INC,1480120,1156699,85.31M,66.67M,+357.6%,4.8%
60871R209,TAP,MOLSON COORS BEVERAGE CO,1971886,1256676,84.91M,54.11M,+175.7%,4.8%
934423104,WBD,WARNER BROS DISCOVERY INC,1496154,1496154,41.08M,41.08M,NEW,2.3%
21036P108,STZ,CONSTELLATION BRANDS INC,189372,189372,28.41M,28.41M,NEW,1.6%
45826J105,NTLA,INTELLIA THERAPEUTICS INC,1911839,1197359,24.51M,15.35M,+167.6%,1.4%
88160R101,TSLA,TESLA INC,559134,40946,207.86M,15.22M,+7.9%,11.8%
15135U109,CVE,CENOVUS ENERGY INC,513537,513537,13.58M,13.58M,NEW,0.77%
61945C103,MOS,MOSAIC CO,502751,502751,12.82M,12.82M,NEW,0.73%
07373V105,BEAM,BEAM THERAPEUTICS INC,533443,533443,12.71M,12.71M,NEW,0.72%
70450Y103,PYPL,PAYPAL HLDGS INC,220923,220923,9.99M,9.99M,NEW,0.57%
125269100,CF,CF INDUSTRIES HOLD,76715,76715,9.96M,9.96M,NEW,0.56%
69047Q102,OVV,OVINTIV INC,164559,164559,9.77M,9.77M,NEW,0.55%
67077M108,NTR,NUTRIEN LTD,93641,93641,7.07M,7.07M,NEW,0.4%
75281A109,RRC,RANGE RES CORP,149945,149945,6.77M,6.77M,NEW,0.38%
H8817H100,RIG,TRANSOCEAN LTD,2470095,820638,16.38M,5.44M,+49.8%,0.93%
G7997W102,SDRL,SEADRILL LTD,318958,71864,14.51M,3.27M,+29.1%,0.82%
02079K305,GOOGL,ALPHABET INC,300603,3001,86.44M,862.97K,+1%,4.9%
G65431127,NE,NOBLE CORP PLC,227247,17207,11.15M,844.35K,+8.2%,0.63%
74915M605,QVCGA,QVC GROUP INC,702768,0,1.53M,0,NO CHANGE,0.09%
98262P200,WGHTQ,WW INTL INC,307168,-9429,4.22M,-129.55K,-3%,0.24%
26884L109,EQT,EQT CORP,102753,-8062,6.54M,-513.07K,-7.3%,0.37%
020764106,AMR,ALPHA METALLURGICAL RESOUR I,48660,-9821,9.99M,-2.02M,-16.8%,0.57%
01609W102,BABA,ALIBABA GROUP HLDG LTD,179941,-32113,22.58M,-4.03M,-15.1%,1.3%
47215P106,JD,JD.COM INC,639327,-142365,18.9M,-4.21M,-18.2%,1.1%
83304A106,SNAP,SNAP INC,0,-799959,0,-6.46M,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,0,-6280,0,-6.72M,CLOSE,0%
88023B103,TEM,TEMPUS AI INC,0,-135026,0,-7.97M,CLOSE,0%
H17182108,CRSP,CRISPR THERAPEUTICS AG,0,-156605,0,-8.21M,CLOSE,0%
G9460G101,VAL,VALARIS LTD,0,-168899,0,-8.51M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-40987,0,-8.78M,CLOSE,0%
83406F102,SOFI,SOFI TECHNOLOGIES INC,0,-376773,0,-9.86M,CLOSE,0%
222070203,COTY,COTY INC,0,-3290733,0,-10.14M,CLOSE,0%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,0,-433832,0,-10.15M,CLOSE,0%
91531W106,TIGR,UP FINTECH HLDG LTD,0,-1071425,0,-10.24M,CLOSE,0%
056752108,BIDU,BAIDU INC,230190,-100933,25.65M,-11.25M,-30.5%,1.5%
77543R102,ROKU,ROKU INC,0,-104002,0,-11.28M,CLOSE,0%
09062X103,BIIB,BIOGEN INC,0,-64952,0,-11.43M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-21039,0,-13.89M,CLOSE,0%
82846H405,QXO,QXO INC,0,-792686,0,-15.29M,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-545529,0,-24.1M,CLOSE,0%
670100205,NVO,NOVO-NORDISK A S,226951,-703416,8.34M,-25.85M,-75.6%,0.47%
227046109,CROX,CROCS INC,97571,-377440,8.1M,-31.34M,-79.5%,0.46%
19260Q107,COIN,COINBASE GLOBAL INC,136263,-187064,23.79M,-32.66M,-57.9%,1.3%
278768106,SATS,ECHOSTAR CORP,1882224,-299504,220.35M,-35.06M,-13.7%,12.5%
172573107,CRCL,CIRCLE INTERNET GROUP INC,177067,-385611,16.89M,-36.79M,-68.5%,0.96%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,19435,-178493,6.57M,-60.32M,-90.2%,0.37%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,7926149,-7161948,71.49M,-64.6M,-47.5%,4%
67066G104,NVDA,NVIDIA CORPORATION,0,-438214,0,-81.73M,CLOSE,0%
550021109,LULU,LULULEMON ATHLETICA INC,0,-415963,0,-86.44M,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,-692598,0,-87.18M,CLOSE,0%
35137L204,FOX,FOX CORP,0,-1470886,0,-95.5M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-411597,0,-117.47M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,69189,-861242,10.18M,-126.7M,-92.6%,0.58%
Total,,,,,1.77B,-133.74M,-6.5%,100%
