CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
11135F101,AVGO,BROADCOM INC,751977,751977,232.74M,232.74M,NEW,8.1%
78464A698,KRE,SPDR SERIES TRUST,1750000,1750000,114.01M,114.01M,NEW,4%
594918104,MSFT,MICROSOFT CORP,1461424,255000,540.98M,94.39M,+21.1%,18.9%
023135106,AMZN,AMAZON COM INC,2102812,438646,437.95M,91.36M,+26.4%,15.3%
23331A109,DHI,D R HORTON INC,576891,576891,79.16M,79.16M,NEW,2.8%
595112103,MU,MICRON TECHNOLOGY INC,192000,192000,64.87M,64.87M,NEW,2.3%
844741108,LUV,SOUTHWEST AIRLS CO,2919976,1563815,109.7M,58.75M,+115.3%,3.8%
64110L106,NFLX,NETFLIX INC.,667134,547134,64.14M,52.61M,+455.9%,2.2%
91324P102,UNH,UNITEDHEALTH GROUP INC,152896,152896,41.37M,41.37M,NEW,1.4%
02079K107,GOOG,ALPHABET INC,326500,142000,93.66M,40.73M,+77%,3.3%
46625H100,JPM,JPMORGAN CHASE & CO,129019,129019,37.95M,37.95M,NEW,1.3%
79466L302,CRM,SALESFORCE INC,170371,170371,31.8M,31.8M,NEW,1.1%
172967424,C,CITIGROUP INC,193000,193000,21.89M,21.89M,NEW,0.76%
060505104,BAC,BANK AMERICA CORP,1477061,223000,72.01M,10.87M,+17.8%,2.5%
722304102,PDD,PDD HOLDINGS INC,55000,9000,5.62M,919.62K,+19.6%,0.2%
47215P106,JD,JD.COM INC,0,-236400,0,-6.78M,CLOSE,0%
444859102,HUM,HUMANA INC,0,-34310,0,-8.79M,CLOSE,0%
30303M102,META,META PLATFORMS INC,140000,-29500,80.1M,-16.88M,-17.4%,2.8%
35671D857,FCX,FREEPORT MCMORAN INC,9275434,-346000,545.21M,-20.34M,-3.6%,19.1%
254687106,DIS,DISNEY WALT CO,277000,-276000,26.7M,-26.6M,-49.9%,0.93%
67066G104,NVDA,NVIDIA CORPORATION,1405000,-184000,245.03M,-32.09M,-11.6%,8.6%
037833100,AAPL,APPLE INC,0,-234053,0,-63.63M,CLOSE,0%
571903202,MAR,MARRIOTT INTL INC NEW,0,-208952,0,-64.83M,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,-835348,0,-105.15M,CLOSE,0%
872590104,TMUS,T-MOBILE US INC,80168,-791913,16.84M,-166.33M,-90.8%,0.59%
Total,,,,,2.86B,462.02M,+18.1%,100%
