CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,Apple Inc.,11498987,1434268,2.92B,364M,+14.3%,7%
023135106,AMZN,Amazon.com Inc,9660799,1040541,2.01B,216.71M,+12.1%,4.9%
67066G104,NVDA,Nvidia Corp. (US),18443817,745763,3.22B,130.06M,+4.2%,7.8%
594918104,MSFT,Microsoft Corp.,5628067,324747,2.08B,120.21M,+6.1%,5%
G9456A100,GLNG,Golar LNG Ltd. (USD),1600000,1600000,86.58M,86.58M,NEW,0.21%
94106L109,WM,Waste Management Inc.,648580,311819,149.04M,71.65M,+92.6%,0.36%
406216101,HAL,Halliburton Co.,3266823,1460878,127.37M,56.96M,+80.9%,0.31%
682680103,OKE,ONEOK Inc.,2273360,581927,205.49M,52.6M,+34.4%,0.5%
532457108,LLY,Eli Lilly & Co.,760386,56822,699.38M,52.26M,+8.1%,1.7%
031162100,AMGN,Amgen Inc.,433304,141330,152.46M,49.73M,+48.4%,0.37%
882508104,TXN,Texas Instruments Inc,724345,210502,140.62M,40.87M,+41%,0.34%
98850P109,YUMC,Yum China Holdings Inc,888337,834360,43.33M,40.7M,+1545.8%,0.1%
00287Y109,ABBV,AbbVie Inc,1320250,150645,287.14M,32.76M,+12.9%,0.69%
007903107,AMD,Advanced Micro Devices Inc.,1047343,153526,213.06M,31.23M,+17.2%,0.51%
36828A101,GEV,GE Vernova Inc,191461,35225,167.13M,30.75M,+22.5%,0.4%
G8994E103,TT,Trane Technologies PLC,214798,58365,89.51M,24.32M,+37.3%,0.22%
36467J108,GLPI,Gaming and Leisure Properties Inc,809753,530509,35.93M,23.54M,+190%,0.09%
539830109,LMT,Lockheed Martin Corp.,38019,38018,22.98M,22.98M,+3801800%,0.06%
171779309,CIEN,Ciena Corp.,93834,57134,36.43M,22.18M,+155.7%,0.09%
55024U109,LITE,Lumentum Holdings Inc,30000,29400,21.08M,20.66M,+4900%,0.05%
65339F101,NEE,NextEra Energy Inc.,1558689,220526,144.77M,20.48M,+16.5%,0.35%
35905A109,FTDR,Frontdoor Inc,377094,376594,19.93M,19.91M,+75318.8%,0.05%
21037T109,CEG,Constellation Energy Corp,291132,69827,81.3M,19.5M,+31.6%,0.2%
052769106,ADSK,Autodesk Inc.,364363,75537,87.23M,18.08M,+26.2%,0.21%
617446448,MS,Morgan Stanley,848561,109331,139.65M,17.99M,+14.8%,0.34%
595112103,MU,Micron Technology Inc,951373,53007,321.41M,17.91M,+5.9%,0.77%
46120E602,ISRG,Intuitive Surgical Inc.,295062,37089,136.02M,17.1M,+14.4%,0.33%
548661107,LOW,Lowes Co.,332726,69339,78.62M,16.38M,+26.3%,0.19%
231561101,CW,Curtiss-Wright Corp,23873,23428,16.26M,15.96M,+5264.7%,0.04%
74340W103,PLD,Prologis Inc,664786,118942,87.87M,15.72M,+21.8%,0.21%
24703L202,DELL,Dell Technologies Inc C,718944,94989,118M,15.59M,+15.2%,0.28%
61174X109,MNST,Monster Beverage Corp,566978,212537,41.08M,15.4M,+60%,0.1%
28176E108,EW,Edwards Lifesciences Corp.,534724,188201,42.82M,15.07M,+54.3%,0.1%
032654105,ADI,Analog Devices Inc,355076,45759,112.96M,14.56M,+14.8%,0.27%
038222105,AMAT,Applied Materials Inc.,491192,41974,167.88M,14.35M,+9.3%,0.4%
80004C200,SNDK,Sandisk Corp/DE,24373,22573,15.49M,14.34M,+1254.1%,0.04%
494368103,KMB,Kimberly-Clark Corp.,302071,144977,29.14M,13.99M,+92.3%,0.07%
19247G107,COHR,Coherent Corp,59400,57700,14.15M,13.74M,+3394.1%,0.03%
911363109,URI,United Rentals Inc.,51969,18677,37.86M,13.61M,+56.1%,0.09%
110122108,BMY,Bristol-Myers Squibb Co. (US),1445624,223921,87.68M,13.58M,+18.3%,0.21%
G51502105,JCI,Johnson Controls International plc,413994,103299,54.21M,13.53M,+33.2%,0.13%
29444U700,EQIX,Equinix Inc (US),91949,13504,90.13M,13.24M,+17.2%,0.22%
G0250X149,AMCR,Amcor PLC,327648,327648,13.02M,13.02M,NEW,0.03%
693475105,PNC,PNC Financial Services Group Inc/The,358995,62403,74.7M,12.99M,+21%,0.18%
902973304,USB,US Bancorp,1138264,246362,59.2M,12.81M,+27.6%,0.14%
929740108,WAB,Westinghouse Air Brake Technologies Corp.,173495,50553,43.36M,12.63M,+41.1%,0.1%
01973R101,ALSN,Allison Transmission Holdings Inc,108607,107707,12.71M,12.61M,+11967.4%,0.03%
75513E101,RTX,RTX Corporation (US),1083629,65349,209.03M,12.61M,+6.4%,0.5%
34959E109,FTNT,Fortinet Inc,536281,152306,43.82M,12.45M,+39.7%,0.11%
H1467J104,CB,Chubb Ltd (USD),700400,36895,228.28M,12.03M,+5.6%,0.55%
858119100,STLD,Steel Dynamics Inc.,342334,66709,61.62M,12.01M,+24.2%,0.15%
G1151C101,ACN,Accenture Plc A (USD),498515,59867,98.85M,11.87M,+13.6%,0.24%
11135F101,AVGO,Broadcom Inc,3220231,37841,996.69M,11.71M,+1.2%,2.4%
109641100,EAT,Brinker International Inc.,92430,81711,13.2M,11.67M,+762.3%,0.03%
637417106,NNN,NNN REIT Inc,278028,276928,11.69M,11.64M,+25175.3%,0.03%
G3730V105,FTAI,FTAI Aviation Ltd,48300,47400,11.83M,11.61M,+5266.7%,0.03%
19260Q107,COIN,Coinbase Global Inc A,199467,66202,34.83M,11.56M,+49.7%,0.08%
550021109,LULU,Lululemon Athletica Inc,141704,75298,21.69M,11.53M,+113.4%,0.05%
38141G104,GS,Goldman Sachs Group Inc/The,249757,13580,211.29M,11.49M,+5.7%,0.51%
L8681T102,SPOT,Spotify Technology SA,121173,22303,58.76M,10.81M,+22.6%,0.14%
29249E109,ACT,Enact Holdings Inc,263901,263901,10.77M,10.77M,NEW,0.03%
147528103,CASY,Casey's General Stores Inc,14840,14400,10.8M,10.48M,+3272.7%,0.03%
416515104,HIG,Hartford Insurance Group Inc/The,759355,76336,102.69M,10.32M,+11.2%,0.25%
701094104,PH,Parker-Hannifin Corp.,108998,11392,97.58M,10.2M,+11.7%,0.24%
364760108,GAP,Gap Inc/The,422975,420875,10.24M,10.19M,+20041.7%,0.02%
97717P104,WT,WisdomTree Inc,692639,692639,10.08M,10.08M,NEW,0.02%
45579U109,INDV,Indivior Pharmaceuticals Inc,322523,322523,9.83M,9.83M,NEW,0.02%
31428X106,FDX,FedEx Corp.,171300,26107,61.01M,9.3M,+18%,0.15%
070830104,BBWI,Bath & Body Works Inc,485461,483961,9.06M,9.04M,+32264.1%,0.02%
609839105,MPWR,Monolithic Power Systems Inc.,32674,8257,35.72M,9.03M,+33.8%,0.09%
219948106,CPAY,Corpay Inc B,68771,30978,20.01M,9.01M,+82%,0.05%
15135B101,CNC,Centene Corp,536614,273516,17.57M,8.95M,+104%,0.04%
099724106,BWA,BorgWarner Inc.,652985,160786,35.43M,8.72M,+32.7%,0.09%
704326107,PAYX,Paychex Inc,299074,93733,27.55M,8.63M,+45.6%,0.07%
099502106,BAH,Booz Allen Hamilton Holding Corp,167177,110086,13.04M,8.59M,+192.8%,0.03%
199908104,FIX,Comfort Systems USA Inc.,35912,6111,49.52M,8.43M,+20.5%,0.12%
064058100,BK,Bank of New York Mellon Corp/The,809469,70739,96.03M,8.39M,+9.6%,0.23%
83601L102,SHC,Sotera Health Co,581140,581140,8.33M,8.33M,NEW,0.02%
