CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,4000000,1500000,598.24M,224.34M,+60%,12.7%
253393102,DKS,DICKS SPORTING GOODS INC,1375000,875000,272.65M,173.5M,+175%,5.8%
934550203,WMG,WARNER MUSIC GROUP CORP,11850000,3850000,302.65M,98.33M,+48.1%,6.4%
294429105,EFX,EQUIFAX INC,1500000,500000,270.11M,90.03M,+50%,5.8%
531229755,FWONK,LIBERTY MEDIA CORP DEL,4300000,700000,365.59M,59.51M,+19.4%,7.8%
974155103,WING,WINGSTOP INC,1250000,250000,193.71M,38.74M,+25%,4.1%
531229771,FWONA,LIBERTY MEDIA CORP DEL,850000,37250,66.37M,2.91M,+4.6%,1.4%
278768106,SATS,ECHOSTAR CORP,7000000,0,819.49M,0,NO CHANGE,17.4%
83601L102,SHC,SOTERA HEALTH CO,26000000,0,372.84M,0,NO CHANGE,7.9%
808513105,SCHW,SCHWAB CHARLES CORP,2250000,0,211.46M,0,NO CHANGE,4.5%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,2655469,-344531,196.29M,-25.47M,-11.5%,4.2%
N00985106,AER,AERCAP HOLDINGS NV,0,-475000,0,-68.29M,CLOSE,0%
40412C101,HCA,HCA HEALTHCARE INC,750000,-250000,354.93M,-118.31M,-25%,7.6%
92537N108,VRT,VERTIV HOLDINGS CO,1000000,-500000,250.58M,-125.29M,-33.3%,5.3%
650111107,NYT,NEW YORK TIMES CO MTN BE,5038727,-2620173,421.89M,-219.39M,-34.2%,9%
893641100,TDG,TRANSDIGM GROUP INC,0,-200000,0,-265.97M,CLOSE,0%
Total,,,,,4.7B,-135.34M,-2.7%,100%
