CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,54000,54000,11.25M,11.25M,NEW,13.1%
553368101,MP,MP MATERIALS CORP,100000,100000,4.83M,4.83M,NEW,5.6%
594918104,MSFT,MICROSOFT CORP,7500,7500,2.78M,2.78M,NEW,3.2%
87612E106,TGT,TARGET CORP,20000,20000,2.42M,2.42M,NEW,2.8%
46438R105,ETHA,ISHARES ETHEREUM TR,192708,135666,3.05M,2.15M,+237.8%,3.5%
H17182108,CRSP,CRISPR THERAPEUTICS AG,25000,25000,1.19M,1.19M,NEW,1.4%
292671708,UUUU,ENERGY FUELS INC,50000,50000,912.5K,912.5K,NEW,1.1%
576690101,MTRN,MATERION CORP,4540,4540,656.71K,656.71K,NEW,0.76%
G7997W102,SDRL,SEADRILL LTD,5000,5000,227.5K,227.5K,NEW,0.26%
02079K107,GOOG,ALPHABET INC,54000,0,15.49M,0,NO CHANGE,18%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,58630,0,8.58M,0,NO CHANGE,10%
46120E602,ISRG,INTUITIVE SURGICAL INC,15425,0,7.11M,0,NO CHANGE,8.3%
68389X105,ORCL,ORACLE CORP,36000,0,5.3M,0,NO CHANGE,6.2%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,300000,0,4.49M,0,NO CHANGE,5.2%
22160K105,COST,COSTCO WHOLESALE CORPORATION,4050,0,4.04M,0,NO CHANGE,4.7%
67066G104,NVDA,NVIDIA CORPORATION,18990,0,3.31M,0,NO CHANGE,3.9%
37954Y871,URA,GLOBAL X FDS,27169,0,1.32M,0,NO CHANGE,1.5%
G9460G101,VAL,VALARIS LTD,10000,0,980.4K,0,NO CHANGE,1.1%
85208P303,URNM,SPROTT FDS TR,15000,0,947.25K,0,NO CHANGE,1.1%
293594107,ENVX,ENOVIX CORPORATION,138375,0,716.78K,0,NO CHANGE,0.83%
916896103,UEC,URANIUM ENERGY CORP,41835,0,564.77K,0,NO CHANGE,0.66%
248356107,DNN,DENISON MINES CORP,120243,0,424.46K,0,NO CHANGE,0.49%
H8817H100,RIG,TRANSOCEAN LTD,60000,0,397.8K,0,NO CHANGE,0.46%
389638107,ETHE,GRAYSCALE ETHEREUM STAKING E,10000,0,170.7K,0,NO CHANGE,0.2%
46138G474,PSCE,INVESCO EXCH TRADED FD TR,0,-9000,0,-386.77K,CLOSE,0%
829933100,SIRI,SIRIUSXM HOLDINGS INC,0,-29312,0,-586.09K,CLOSE,0%
640268306,NKTR,NEKTAR THERAPEUTICS,18000,-19349,1.3M,-1.39M,-51.8%,1.5%
Y3894J187,IMPP,IMPERIAL PETE INC,826754,-772332,3.54M,-3.31M,-48.3%,4.1%
Total,,,,,85.97M,20.74M,+30.1%,100%
