CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91332U101,U,UNITY SOFTWARE INC,1399900,1100900,30.71M,24.15M,+368.2%,22.3%
81141R100,SE,SEA LTD,190900,190900,15.81M,15.81M,NEW,11.5%
18915M107,NET,CLOUDFLARE INC,64600,64600,13.33M,13.33M,NEW,9.7%
888787108,TOST,TOAST INC,156162,97000,4.14M,2.57M,+164%,3%
770700102,HOOD,ROBINHOOD MKTS INC,133000,34900,9.22M,2.42M,+35.6%,6.7%
00835Q202,AEVA,AEVA TECHNOLOGIES INC,807021,45200,10.62M,594.83K,+5.9%,7.7%
58733R102,MELI,MERCADOLIBRE INC,5567,0,9.63M,0,NO CHANGE,7%
732908108,PONY,PONY AI INC,839900,-14000,7.93M,-132.16K,-1.6%,5.8%
146869102,CVNA,CARVANA CO,26340,-5520,8.28M,-1.74M,-17.3%,6%
20717M103,CFLT,CONFLUENT INC,0,-79129,0,-2.39M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-17600,0,-7.92M,CLOSE,0%
093712107,BE,BLOOM ENERGY CORP,205276,-65400,27.81M,-8.86M,-24.2%,20.2%
44812J104,HUT,HUT 8 CORP,0,-214700,0,-9.86M,CLOSE,0%
Total,,,,,137.48M,27.98M,+23.9%,100%
