CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
75526L886,FEGE,RBB FUND TRUST,107865,56821,5.07M,2.67M,+111.3%,1.6%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,279604,14353,40.9M,2.1M,+5.4%,12.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,11837,4196,4M,1.42M,+54.9%,1.3%
14020W106,CGDV,CAPITAL GROUP DIVIDEND VALUE,368405,32657,15.67M,1.39M,+9.7%,4.9%
46090E103,QQQ,INVESCO QQQ TR,5990,2229,3.46M,1.29M,+59.3%,1.1%
67066G104,NVDA,NVIDIA CORPORATION,100736,7342,17.57M,1.28M,+7.9%,5.5%
33740F755,BUFR,FIRST TR EXCHNG TRADED FD VI,42627,35134,1.44M,1.19M,+468.9%,0.45%
808524797,SCHD,SCHWAB STRATEGIC TR,37191,37191,1.14M,1.14M,NEW,0.36%
46641Q217,BBJP,J P MORGAN EXCHANGE TRADED F,15607,15607,1.08M,1.08M,NEW,0.34%
594918104,MSFT,MICROSOFT CORP,21416,2249,7.93M,832.5K,+11.7%,2.5%
81369Y506,XLE,SELECT SECTOR SPDR TR,18007,12691,1.1M,777.44K,+238.7%,0.35%
78463V107,GLD,SPDR GOLD TR,20790,1675,8.95M,720.74K,+8.8%,2.8%
532457108,LLY,ELI LILLY & CO,4334,658,3.99M,605.21K,+17.9%,1.2%
30303M102,META,META PLATFORMS INC,5991,1048,3.43M,599.57K,+21.2%,1.1%
464288760,ITA,ISHARES TR,2674,2674,584.94K,584.94K,NEW,0.18%
75513E101,RTX,RTX CORPORATION,8833,3028,1.7M,584.09K,+52.2%,0.53%
02079K107,GOOG,ALPHABET INC,10099,2011,2.9M,576.9K,+24.9%,0.91%
037833100,AAPL,APPLE INC,54789,1976,13.9M,501.49K,+3.7%,4.4%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,6520,6520,489.65K,489.65K,NEW,0.15%
78464A821,MDYG,SPDR SERIES TRUST,4659,4659,447.06K,447.06K,NEW,0.14%
22160K105,COST,COSTCO WHOLESALE CORPORATION,433,433,431.68K,431.68K,NEW,0.14%
921946406,VYM,VANGUARD WHITEHALL FDS,2890,2890,428.06K,428.06K,NEW,0.13%
46138E354,SPLV,INVESCO EXCH TRADED FD TR II,5709,5709,417.57K,417.57K,NEW,0.13%
023135106,AMZN,AMAZON COM INC,19405,1914,4.04M,398.63K,+10.9%,1.3%
921932703,VOOV,VANGUARD ADMIRAL FDS INC,4461,1910,909.04K,389.21K,+74.9%,0.28%
92206C623,VTWG,VANGUARD SCOTTSDALE FDS,1664,1664,381.17K,381.17K,NEW,0.12%
N07059210,ASML,ASML HLDG NV,286,286,377.76K,377.76K,NEW,0.12%
958102105,WDC,WESTERN DIGITAL CORP,1364,1364,368.95K,368.95K,NEW,0.12%
