CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
771049103,RBLX,ROBLOX CORP,310000,310000,17.53M,17.53M,NEW,4.7%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,149500,34500,22.36M,5.16M,+30%,6%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,49500,9500,24M,4.61M,+23.8%,6.4%
146869102,CVNA,CARVANA CO,92000,6000,28.92M,1.89M,+7%,7.8%
57636Q104,MA,MASTERCARD INCORPORATED,49500,3000,24.73M,1.5M,+6.5%,6.6%
22266T109,CPNG,COUPANG INC,1465000,70000,27.66M,1.32M,+5%,7.4%
023135106,AMZN,AMAZON COM INC,230000,0,47.9M,0,NO CHANGE,12.9%
30303M102,META,META PLATFORMS INC,61000,0,34.9M,0,NO CHANGE,9.4%
58733R102,MELI,MERCADOLIBRE INC,19500,0,33.72M,0,NO CHANGE,9.1%
82509L107,SHOP,SHOPIFY INC,230000,0,27.28M,0,NO CHANGE,7.3%
92826C839,V,VISA INC,63000,0,19.04M,0,NO CHANGE,5.1%
90353T100,UBER,UBER TECHNOLOGIES INC,230000,0,16.54M,0,NO CHANGE,4.4%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,385000,-35000,21.95M,-2M,-8.3%,5.9%
N07059210,ASML,ASML HLDG NV,19500,-11500,25.76M,-15.19M,-37.1%,6.9%
Total,,,,,372.3M,14.82M,+3.6%,100%
