CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
038222105,AMAT,APPLIED MATLS INC,10142,10142,3.47M,3.47M,NEW,5.2%
19247G107,COHR,COHERENT CORP,14410,14410,3.43M,3.43M,NEW,5.1%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,16305,16305,2.86M,2.86M,NEW,4.3%
N07059210,ASML,ASML HLDG NV,1405,1405,1.86M,1.86M,NEW,2.8%
880770102,TER,TERADYNE INC,6225,6225,1.85M,1.85M,NEW,2.7%
925550105,VIAV,VIAVI SOLUTIONS INC,45116,45116,1.5M,1.5M,NEW,2.2%
464286772,EWY,ISHARES INC,1067,1067,131.25K,131.25K,NEW,0.2%
595112103,MU,MICRON TECHNOLOGY INC,3118,27,1.05M,9.12K,+0.9%,1.6%
406216101,HAL,HALLIBURTON CO,0,-3226,0,-91.17K,CLOSE,0%
55354G100,MSCI,MSCI INC,0,-195,0,-111.88K,CLOSE,0%
375558103,GILD,GILEAD SCIENCES INC,0,-1246,0,-152.93K,CLOSE,0%
78409V104,SPGI,S&P GLOBAL INC,0,-309,0,-161.48K,CLOSE,0%
871607107,SNPS,SYNOPSYS INC,0,-400,0,-187.89K,CLOSE,0%
58933Y105,MRK,MERCK & CO INC,0,-1838,0,-193.47K,CLOSE,0%
194162103,CL,COLGATE PALMOLIVE CO,0,-2736,0,-216.2K,CLOSE,0%
G0403H108,AON,AON PLC,0,-649,0,-229.02K,CLOSE,0%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,1298,-434,844.14K,-282.25K,-25.1%,1.3%
742718109,PG,PROCTER AND GAMBLE CO,0,-2026,0,-290.35K,CLOSE,0%
00287Y109,ABBV,ABBVIE INC,0,-1287,0,-294.07K,CLOSE,0%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,0,-3919,0,-300.47K,CLOSE,0%
539830109,LMT,LOCKHEED MARTIN CORP,0,-669,0,-323.57K,CLOSE,0%
22160K105,COST,COSTCO WHSL CORP NEW,0,-412,0,-355.28K,CLOSE,0%
80004C200,SNDK,SANDISK CORP,5883,-624,3.74M,-396.45K,-9.6%,5.6%
02079K305,GOOGL,ALPHABET INC,776,-1420,223.15K,-408.34K,-64.7%,0.33%
166764100,CVX,CHEVRON CORP NEW,0,-2687,0,-409.53K,CLOSE,0%
617446448,MS,MORGAN STANLEY,0,-2377,0,-421.99K,CLOSE,0%
30231G102,XOM,EXXON MOBIL CORP,0,-3662,0,-440.69K,CLOSE,0%
92826C839,V,VISA INC,0,-1379,0,-483.63K,CLOSE,0%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,0,-3000,0,-513.84K,CLOSE,0%
478160104,JNJ,JOHNSON & JOHNSON,0,-2582,0,-534.35K,CLOSE,0%
191216100,KO,COCA COLA CO,0,-8276,0,-578.58K,CLOSE,0%
75513E101,RTX,RTX CORPORATION,0,-3162,0,-579.91K,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,3738,-671,3.26M,-585.72K,-15.2%,4.9%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,0,-1308,0,-657.47K,CLOSE,0%
580135101,MCD,MCDONALDS CORP,0,-2182,0,-666.88K,CLOSE,0%
512807306,LRCX,LAM RESEARCH CORP,14145,-3763,3.02M,-804K,-21%,4.5%
532457108,LLY,ELI LILLY & CO,0,-829,0,-890.91K,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,12926,-3618,3.24M,-906.6K,-21.9%,4.8%
18915M107,NET,CLOUDFLARE INC,9959,-4641,2.05M,-957.62K,-31.8%,3.1%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,2396,-2829,938.66K,-1.11M,-54.1%,1.4%
78468R663,BIL,SPDR SERIES TRUST,0,-12504,0,-1.14M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO.,0,-3841,0,-1.24M,CLOSE,0%
171779309,CIEN,CIENA CORP,9236,-3825,3.59M,-1.48M,-29.3%,5.3%
833445109,SNOW,SNOWFLAKE INC,0,-8750,0,-1.92M,CLOSE,0%
23804L103,DDOG,DATADOG INC,0,-14186,0,-1.93M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,7000,-3452,4.92M,-2.43M,-33%,7.3%
15101Q207,CLS,CELESTICA INC,0,-9062,0,-2.68M,CLOSE,0%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,4229,-9776,1.65M,-3.82M,-69.8%,2.5%
60937P106,MDB,MONGODB INC,0,-9214,0,-3.87M,CLOSE,0%
88160R101,TSLA,TESLA INC,7468,-20019,2.78M,-7.44M,-72.8%,4.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,14391,-22832,4.86M,-7.72M,-61.3%,7.2%
46090E103,QQQ,INVESCO QQQ TR,0,-14452,0,-8.88M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,2858,-36013,884.58K,-11.15M,-92.6%,1.3%
30303M102,META,META PLATFORMS INC,3018,-20824,1.73M,-11.91M,-87.3%,2.6%
023135106,AMZN,AMAZON COM INC,9454,-65297,1.97M,-13.6M,-87.4%,2.9%
594918104,MSFT,MICROSOFT CORP,5063,-46740,1.87M,-17.3M,-90.2%,2.8%
02079K107,GOOG,ALPHABET INC,12028,-66013,3.45M,-18.94M,-84.6%,5.1%
037833100,AAPL,APPLE INC,7020,-81880,1.78M,-20.78M,-92.1%,2.7%
67066G104,NVDA,NVIDIA CORPORATION,23904,-178555,4.17M,-31.14M,-88.2%,6.2%
Total,,,,,67.12M,-168.79M,-69.4%,100%
