CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78463V107,GLD,SPDR GOLD TR,23500,15700,10.11M,6.76M,+201.3%,16.9%
125269100,CF,CF INDUSTRIES HOLD,11800,11800,1.53M,1.53M,NEW,2.6%
02079K107,GOOG,ALPHABET INC,17200,4840,4.95M,1.39M,+39.2%,8.3%
91324P102,UNH,UNITEDHEALTH GROUP INC,4000,3990,1.08M,1.08M,+39900%,1.8%
9EQ00MPD0,,STANDARD CHARTERED PLC,50000,50000,1.03M,1.03M,NEW,1.7%
00108J109,ACMR,ACM RESEARCH CL A ORD,26000,26000,1.02M,1.02M,NEW,1.7%
46428Q109,SLV,ISHARES SILVER TR,12040,12040,820.41K,820.41K,NEW,1.4%
06849F108,B,BARRICK MNG CORP,20000,20000,815.8K,815.8K,NEW,1.4%
01609W102,BABA,ALIBABA GROUP HLDG LTD,7392,6499,927.4K,815.36K,+727.8%,1.5%
871607107,SNPS,SYNOPSYS INC,2000,2000,792.96K,792.96K,NEW,1.3%
67077M108,NTR,NUTRIEN LTD,10000,10000,754.6K,754.6K,NEW,1.3%
25461H564,TSLS,DIREXION SHARES ETF TRUST,11000,11000,663.19K,663.19K,NEW,1.1%
25460G781,NUGT,DIREXION SHS ETF TR,9021,9021,621.63K,621.63K,NEW,1%
29084Q100,EME,"EMCOR GROUP, INC. CMN",690,580,509.43K,428.22K,+527.3%,0.85%
880770102,TER,TERADYNE INC,910,910,422.44K,422.44K,NEW,0.71%
31188V100,FSLY,FASTLY INC,14500,14500,421.37K,421.37K,NEW,0.7%
697435105,PANW,PALO ALTO NETWORKS INC,7501,2520,1.2M,404.01K,+50.6%,2%
56585A102,MPC,MARATHON PETE CORP,1625,1625,396.79K,396.79K,NEW,0.66%
278768106,SATS,ECHOSTAR CORP-A,3000,3000,351.21K,351.21K,NEW,0.59%
219350105,GLW,CORNING INC,2360,2360,320.89K,320.89K,NEW,0.54%
36828A101,GEV,GE VERNOVA INC,361,360,315.12K,314.24K,+36000%,0.53%
931142103,WMT,WALMART INC,2523,2500,312.87K,310.02K,+10869.6%,0.52%
18915M107,NET,CLOUDFLARE INC,1500,1500,309.51K,309.51K,NEW,0.52%
16411R208,LNG,CHENIERE ENERGY INC,1000,1000,283.76K,283.76K,NEW,0.47%
126633205,UAN,CVR PARTNERS LP/CVR NITROGEN,2200,2200,278.67K,278.67K,NEW,0.47%
149123101,CAT,CATERPILLAR INC,400,390,283.38K,276.3K,+3900%,0.47%
571903202,MAR,MARRIOTT INTL INC NEW,800,800,261.66K,261.66K,NEW,0.44%
88642R109,TDW,TIDEWATER ORD,41000,3000,3.43M,250.65K,+7.9%,5.7%
171779309,CIEN,CIENA CORP,600,600,232.94K,232.94K,NEW,0.39%
92835K103,VPG,VISHAY PRECISION GROUP INC,50,50,225.52K,225.52K,NEW,0.38%
485924104,KRMN,KARMAN HLDGS INC,2800,2800,224.14K,224.14K,NEW,0.37%
55024U109,LITE,LUMENTUM HLDGS INC,300,300,210.83K,210.83K,NEW,0.35%
00214Q104,ARKK,ARK ETF TR,3001,3000,202.84K,202.77K,+300000%,0.34%
192422103,CGNX,COGNEX CORP,4000,4000,195.96K,195.96K,NEW,0.33%
595112103,MU,MICRON TECHNOLOGY INC,600,550,202.7K,185.81K,+1100%,0.34%
48581R205,KSPI,KASPI KZ JSC,11500,2500,851.8K,185.17K,+27.8%,1.4%
701094104,PH,PARKER-HANNIFIN CORP,200,200,179.05K,179.05K,NEW,0.3%
458140100,INTC,INTEL CORPORATION CMN,34100,4000,1.5M,176.52K,+13.3%,2.5%
30303M102,META,META PLATFORMS INC,2059,300,1.18M,171.64K,+17.1%,2%
573874104,MRVL,MARVELL TECHNOLOGY INC,1600,1590,158.48K,157.49K,+15900%,0.26%
063679385,FNGU,BANK MONTREAL MEDIUM,10040,9000,156.93K,140.67K,+865.4%,0.26%
112463104,BKD,BROOKDALE SR LIVING INC,10000,10000,136.8K,136.8K,NEW,0.23%
88023B103,TEM,TEMPUS AI INC-CL A,12500,2500,565.25K,113.05K,+25%,0.94%
00370M103,ABVX,ABIVAX SA,1000,1000,111.35K,111.35K,NEW,0.19%
81369Y605,XLF,SELECT SECTOR SPDR TR,2210,2200,109.11K,108.61K,+22000%,0.18%
980228308,WDS,WOODSIDE ENERGY GROUP LTD,4500,4500,107.46K,107.46K,NEW,0.18%
25179M103,DVN,DEVON ENERGY CORP NEW,2000,2000,100.64K,100.64K,NEW,0.17%
464287655,IWM,ISHARES TR,1002,1000,91.05K,90.86K,+50000%,0.15%
13321L108,CCJ,CAMECO CORP,700,700,76.03K,76.03K,NEW,0.13%
22788C105,CRWD,"CROWDSTRIKE HOLDINGS, INC. CMN",246,190,96.04K,74.18K,+339.3%,0.16%
23703Q203,DQ,DAQO NEW ENERGY CORP,67000,3000,1.43M,63.81K,+4.7%,2.4%
80004C200,SNDK,SANDISK CORP,100,100,63.53K,63.53K,NEW,0.11%
125141101,CECO,CECO ENVIRONMENTAL CORP,24000,1000,1.43M,59.58K,+4.3%,2.4%
88160R101,TSLA,TESLA INC,511,100,269.78K,52.79K,+24.3%,0.45%
46120E602,ISRG,INTUITIVE SURGICAL INC,30,30,13.83K,13.83K,NEW,0.02%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,1400,90,204.79K,13.17K,+6.9%,0.34%
