CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922908744,VTV,VANGUARD INDEX FDS,49356,16688,9.79M,3.31M,+51.1%,2.9%
808524300,SCHG,SCHWAB STRATEGIC TR,66751,59253,2.04M,1.81M,+790.3%,0.6%
808524409,SCHV,SCHWAB STRATEGIC TR,39209,39209,1.31M,1.31M,NEW,0.38%
81369Y506,XLE,SELECT SECTOR SPDR TR,27457,18007,1.68M,1.1M,+190.6%,0.49%
464287523,SOXX,ISHARES TR,10026,3054,3.36M,1.02M,+43.8%,0.98%
00214Q807,ARKX,ARK ETF TR,33704,23051,1M,686.26K,+216.4%,0.29%
808524102,SCHB,SCHWAB STRATEGIC TR,25644,25644,664.09K,664.09K,NEW,0.19%
81369Y886,XLU,SELECT SECTOR SPDR TR,55461,9997,2.54M,458.3K,+22%,0.74%
92189H607,OIH,VANECK ETF TRUST,1034,1034,446.65K,446.65K,NEW,0.13%
30231G102,XOM,EXXON MOBIL CORP,11809,2201,2M,373.42K,+22.9%,0.59%
907818108,UNP,UNION PAC CORP,1155,1155,280.06K,280.06K,NEW,0.08%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,3378,3378,253.71K,253.71K,NEW,0.07%
46625H100,JPM,JPMORGAN CHASE & CO,17298,807,5.1M,237.86K,+4.9%,1.5%
532457108,LLY,ELI LILLY & CO,1807,256,1.66M,235.46K,+16.5%,0.49%
78464A755,XME,SPDR SERIES TRUST,2204,2204,229.97K,229.97K,NEW,0.07%
512807306,LRCX,LAM RESEARCH CORP,985,985,210.38K,210.38K,NEW,0.06%
02209S103,MO,ALTRIA GROUP INC,3043,3043,200.8K,200.8K,NEW,0.06%
36828A101,GEV,GE VERNOVA INC,2799,224,2.51M,200.61K,+8.7%,0.73%
147528103,CASY,CASEYS GEN STORES INC,2190,243,1.59M,176.82K,+12.5%,0.47%
166764100,CVX,CHEVRON CORPORATION,16272,670,3.37M,138.62K,+4.3%,0.99%
617446448,MS,MORGAN STANLEY,6417,582,1.06M,95.79K,+10%,0.31%
02079K107,GOOG,ALPHABET INC,30941,287,8.9M,82.52K,+0.9%,2.6%
097023105,BA,BOEING CO,3182,296,633.31K,58.91K,+10.3%,0.19%
983793100,XPO,XPO INC,3416,299,664.58K,58.17K,+9.6%,0.19%
92206C102,VGSH,VANGUARD SCOTTSDALE FDS,7333,721,429.2K,42.2K,+10.9%,0.13%
92206C409,VCSH,VANGUARD SCOTTSDALE FDS,13277,449,1.05M,35.59K,+3.5%,0.31%
369604301,GE,GE AEROSPACE,1747,116,495.77K,32.92K,+7.1%,0.15%
931142103,WMT,WALMART INC,33663,246,4.28M,31.29K,+0.7%,1.3%
37954Y673,PAVE,GLOBAL X FDS,11136,496,565.79K,25.2K,+4.7%,0.17%
911363109,URI,UNITED RENTALS INC,358,34,260.44K,24.73K,+10.5%,0.08%
808524797,SCHD,SCHWAB STRATEGIC TR,11433,656,422.49K,24.24K,+6.1%,0.12%
G51502105,JCI,JOHNSON CONTROLS INTERNATION,2701,181,353.7K,23.7K,+7.2%,0.1%
38141G104,GS,GOLDMAN SACHS GROUP INC,1572,22,1.35M,18.9K,+1.4%,0.4%
75513E101,RTX,RTX CORPORATION,9551,86,1.9M,17.12K,+0.9%,0.56%
172967424,C,CITIGROUP INC,11470,143,1.3M,16.22K,+1.3%,0.38%
68389X105,ORCL,ORACLE CORP,1705,101,244.72K,14.5K,+6.3%,0.07%
26441C204,DUK,DUKE ENERGY CORP NEW,14870,57,1.95M,7.46K,+0.4%,0.57%
697435105,PANW,PALO ALTO NETWORKS INC,1986,46,318.4K,7.37K,+2.4%,0.09%
747525103,QCOM,QUALCOMM INC,1965,44,253.11K,5.67K,+2.3%,0.07%
842587107,SO,SOUTHERN CO,3658,22,353.08K,2.12K,+0.6%,0.1%
20825C104,COP,CONOCOPHILLIPS,2354,16,310.76K,2.11K,+0.7%,0.09%
22160K105,COST,COSTCO WHOLESALE CORPORATION,2818,2,2.81M,1.99K,+0.1%,0.82%
209115104,ED,CONSOLIDATED EDISON INC,2369,16,268.12K,1.81K,+0.7%,0.08%
548661107,LOW,LOWES COS INC,2462,5,581.67K,1.18K,+0.2%,0.17%
949746101,WFC,WELLS FARGO & CO,2694,13,214.48K,1.03K,+0.5%,0.06%
58155Q103,MCK,MCKESSON CORP,457,1,396.15K,866.86,+0.2%,0.12%
009158106,APD,AIR PRODUCTS AND CHEMICALS I,858,2,249.34K,581.22,+0.2%,0.07%
