CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
36118L106,FUTU,FUTU HLDGS LTD,1226000,718500,167.67M,98.26M,+141.6%,6.8%
770700102,HOOD,ROBINHOOD MKTS INC COM,1144222,1095300,79.3M,75.9M,+2238.9%,3.2%
78462F103,SPY,SPDR S&P 500 ETF TR TR,345231,100360,224.52M,65.27M,+41%,9.2%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN COM,9924043,738935,665.61M,49.56M,+8%,27.2%
724078100,PIPR,PIPER JAFFRAY COS,416769,312569,31.9M,23.93M,+300%,1.3%
46050R102,THM,INTERNATIONAL TOWER HILL MIN,10000000,10000000,23M,23M,NEW,0.94%
70450Y103,PYPL,PAYPAL HLDGS INC,455523,329693,20.6M,14.91M,+262%,0.84%
G32089107,ETOR,ETORO GROUP LTD,430000,333500,12.91M,10.02M,+345.6%,0.53%
46429B747,STIP,ISHARES TR,95911,95911,9.92M,9.92M,NEW,0.4%
553368101,MP,MP MATERIALS CORP COM,150091,150091,7.24M,7.24M,NEW,0.3%
46436E718,SGOV,ISHARES TR 0-3 MNTH,152994,50735,15.4M,5.11M,+49.6%,0.63%
02072L433,ROE,EA SERIES TRUST,290081,95514,10.28M,3.38M,+49.1%,0.42%
46654Q559,JFLX,J P MORGAN EXCHANGE TRADED F,53345,53345,2.65M,2.65M,NEW,0.11%
02072L565,BOXX,EA SERIES TRUST,30479,13180,3.54M,1.53M,+76.2%,0.14%
72346Q104,PNFP,PINNACLE FINL PARTNERS INC,17588,17588,1.51M,1.52M,NEW,0.06%
33737J182,FEM,FIRST TR EXCH TRD ALPHDX FD,46545,46545,1.39M,1.39M,NEW,0.06%
45259A258,GRNJ,TIDAL TRUST III,55659,55659,1.39M,1.39M,NEW,0.06%
74255Y607,PSC,PRINCIPAL EXCHANGE TRADED FD,66484,23315,3.81M,1.34M,+54%,0.16%
025072703,AVDE,AMERICAN CENTY ETF TR,75697,15698,6.42M,1.33M,+26.2%,0.26%
97717Y527,USFR,WISDOMTREE TR FLOATNG RAT,111278,23841,5.6M,1.2M,+27.3%,0.23%
03463K760,CARY,ANGEL OAK FUNDS TRUST,444549,53809,9.23M,1.12M,+13.8%,0.38%
025072877,AVUV,AMERICAN CENTY TR US SML CP VALU,105409,9152,11.64M,1.01M,+9.5%,0.48%
00775Y652,SAGP,ADVISORS INNER CIRCLE FD III,99842,22173,3.43M,760.85K,+28.5%,0.14%
704223387,BLDX,IMPAX FUNDS SERIES TRUST I,26180,26180,671K,671K,NEW,0.03%
00775Y645,SAMT,ADVISORS INNER CIRCLE FD III,282263,16997,11.08M,667.44K,+6.4%,0.45%
