CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,686796,380000,232.1M,128.42M,+123.9%,12.8%
67066G104,NVDA,NVIDIA CORPORATION,743791,333500,129.72M,58.16M,+81.3%,7.1%
11135F101,AVGO,BROADCOM INC,473916,152150,146.68M,47.09M,+47.3%,8.1%
370920100,GENB,GENERATE BIOMEDICINES INC,1111100,1111100,13.89M,13.89M,NEW,0.76%
594918104,MSFT,MICROSOFT CORP,513065,23387,189.92M,8.66M,+4.8%,10.5%
023135106,AMZN,AMAZON COM INC,717539,37694,149.44M,7.85M,+5.5%,8.2%
30303M102,META,META PLATFORMS INC,194554,12789,111.31M,7.32M,+7%,6.1%
907818108,UNP,UNION PAC CORP,634376,23143,153.91M,5.61M,+3.8%,8.5%
09857L108,BKNG,BOOKING HOLDINGS INC,34928,1270,147.06M,5.35M,+3.8%,8.1%
88025U109,TXG,10X GENOMICS INC,170000,0,3.61M,0,NO CHANGE,0.2%
74623V111,PCTTW,PURECYCLE TECHNOLOGIES INC,714285,0,550K,0,NO CHANGE,0.03%
98954M101,ZG,ZILLOW GROUP INC,284800,-16322,11.79M,-675.57K,-5.4%,0.65%
316841105,FIG,FIGMA INC,0,-50454,0,-1.89M,CLOSE,0%
G3643J108,FLUT,FLUTTER ENTMT PLC,80341,-35140,8.19M,-3.58M,-30.4%,0.45%
98954M200,Z,ZILLOW GROUP INC,562045,-100000,23.26M,-4.14M,-15.1%,1.3%
G5279N105,KLAR,KLARNA GROUP PLC,0,-459163,0,-13.27M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,616960,-190940,177.41M,-54.91M,-23.6%,9.8%
78463V107,GLD,SPDR GOLD TR,464450,-162000,199.85M,-69.71M,-25.9%,11%
46438R105,ETHA,ISHARES ETHEREUM TR,0,-3870900,0,-86.82M,CLOSE,0%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,3044612,-2309000,116.97M,-88.71M,-43.1%,6.4%
Total,,,,,1.82B,-41.35M,-2%,100%
