CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC,189000,152600,108.13M,87.31M,+419.2%,17.4%
67066G104,NVDA,NVIDIA CORP,315000,315000,54.94M,54.94M,NEW,8.8%
02079K305,GOOGL,ALPHABET INC,230000,130000,66.14M,37.38M,+130%,10.6%
25809K105,DASH,DOORDASH INC,210000,210000,31.53M,31.53M,NEW,5.1%
770700102,HOOD,ROBINHOOD MARKETS INC,367000,367000,25.43M,25.43M,NEW,4.1%
89677Q107,TCOM,TRIP COM GROUP LTD,660000,335000,32.86M,16.68M,+103.1%,5.3%
36118L106,FUTU,FUTU HLDGS LTD,100000,100000,13.68M,13.68M,NEW,2.2%
771049103,RBLX,ROBLOX CORP,200000,200000,11.31M,11.31M,NEW,1.8%
H5919C104,ONON,ON HLDG AG,300000,300000,10.21M,10.21M,NEW,1.6%
595112103,MU,MICRON TECHNOLOGY INC,107000,29000,36.15M,9.8M,+37.2%,5.8%
48553T106,BZ,KANZHUN LTD,300000,300000,4.02M,4.02M,NEW,0.65%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-16000,0,-2.35M,CLOSE,0%
037833950,AAPL,APPLE INC,0,-624000,0,-3.14M,CLOSE,0%
985817105,YELP,YELP INC,0,-150000,0,-4.56M,CLOSE,0%
98850P109,YUMC,YUM CHINA HLDGS INC,0,-100000,0,-4.77M,CLOSE,0%
896945201,TRIP,TRIPADVISOR INC,0,-350000,0,-5.1M,CLOSE,0%
55024U109,LITE,LUMENTUM HOLDINGS INC,20000,-10000,14.06M,-7.03M,-33.3%,2.3%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,0,-200000,0,-7.88M,CLOSE,0%
44332N106,HTHT,H WORLD GROUP LTD,0,-200000,0,-9.41M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG,336000,-28000,113.55M,-9.46M,-7.7%,18.3%
722304102,PDD,PDD HOLDINGS INC,150000,-110000,15.33M,-11.24M,-42.3%,2.5%
316841105,FIG,FIGMA INC,0,-520000,0,-19.43M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-104000,0,-24.01M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,295000,-177000,84.62M,-50.77M,-37.5%,13.6%
Total,,,,,621.95M,143.13M,+29.8%,100%
