CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,1238189,1238189,356.05M,356.05M,NEW,11.3%
30303M102,META,META PLATFORMS INC,566975,271144,324.38M,155.13M,+91.7%,10.3%
N07059210,ASML,ASML HLDG NV,149613,42056,197.61M,55.55M,+39.1%,6.3%
05464C101,AXON,AXON ENTERPRISE INC,220956,73805,93.84M,31.34M,+50.2%,3%
46120E602,ISRG,INTUITIVE SURGICAL INC,279907,66424,129.03M,30.62M,+31.1%,4.1%
88160R101,TSLA,TESLA INC,1156020,49897,429.75M,18.55M,+4.5%,13.7%
023135106,AMZN,AMAZON COM INC,1478015,24757,307.83M,5.16M,+1.7%,9.8%
57636Q104,MA,MASTERCARD INCORPORATED,111915,1779,55.92M,888.9K,+1.6%,1.8%
852234103,XYZ,BLOCK INC,2510006,-142514,151.05M,-8.58M,-5.4%,4.8%
22160K105,COST,COSTCO WHOLESALE CORPORATION,63106,-11741,62.88M,-11.7M,-15.7%,2%
92826C839,V,VISA INC,214649,-47095,64.88M,-14.23M,-18%,2.1%
98138H101,WDAY,WORKDAY INC,0,-123624,0,-26.55M,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,1598537,-237648,241.83M,-35.95M,-12.9%,7.7%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,236657,-98211,114.76M,-47.62M,-29.3%,3.7%
461202103,INTU,INTUIT,90106,-125082,38.96M,-54.08M,-58.1%,1.2%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,977953,-536481,143.05M,-78.48M,-35.4%,4.6%
67066G104,NVDA,NVIDIA CORPORATION,1284712,-644300,224.05M,-112.37M,-33.4%,7.1%
81762P102,NOW,SERVICENOW INC,363066,-1185904,37.96M,-123.99M,-76.6%,1.2%
594918104,MSFT,MICROSOFT CORP,442511,-401794,163.8M,-148.73M,-47.6%,5.2%
Total,,,,,3.14B,-8.99M,-0.3%,100%
