CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,1291717,199224,478.15M,73.75M,+18.2%,2.2%
78468R663,BIL,SPDR SERIES TRUST,4777199,766731,437.78M,70.26M,+19.1%,2%
11135F101,AVGO,BROADCOM INC,830351,181515,257M,56.18M,+28%,1.2%
26142V105,DKNG,DRAFTKINGS INC NEW,4110545,1997313,88.87M,43.18M,+94.5%,0.41%
67066G104,NVDA,NVIDIA CORPORATION,4914315,182162,857.06M,31.77M,+3.8%,4%
78409V104,SPGI,S&P GLOBAL INC,92934,69183,39.53M,29.43M,+291.3%,0.18%
122017106,BURL,BURLINGTON STORES INC,92740,88848,30.18M,28.91M,+2282.8%,0.14%
260557103,DOW,DOW HLDGS INC,678918,678918,28.28M,28.28M,NEW,0.13%
22160K105,COST,COSTCO WHOLESALE CORPORATION,119168,25931,118.74M,25.84M,+27.8%,0.55%
922908363,VOO,VANGUARD INDEX FDS,524192,35251,313.23M,21.06M,+7.2%,1.5%
550021109,LULU,LULULEMON ATHLETICA INC,141063,134911,21.6M,20.65M,+2193%,0.1%
46432F834,IXUS,ISHARES TR,240385,238007,20.83M,20.62M,+10008.7%,0.1%
72348N109,PNFP,PINNACLE FINL PARTNERS INC,231622,231622,19.95M,19.95M,NEW,0.09%
571748102,MRSH,MARSH & MCLENNAN COS INC,194321,114713,33.71M,19.9M,+144.1%,0.16%
097023105,BA,BOEING CO,111997,99440,22.29M,19.79M,+791.9%,0.1%
60855R100,MOH,MOLINA HEALTHCARE INC,145812,145812,19.44M,19.44M,NEW,0.09%
09290D101,BLK,BLACKROCK INC,30712,20144,29.54M,19.37M,+190.6%,0.14%
294429105,EFX,EQUIFAX INC,105833,102781,19.06M,18.51M,+3367.7%,0.09%
349553107,FTS,FORTIS INC,327871,318950,18.29M,17.79M,+3575.3%,0.08%
235851102,DHR,DANAHER CORP DEL,213543,93488,40.49M,17.73M,+77.9%,0.19%
02079K107,GOOG,ALPHABET INC,1026759,57372,294.54M,16.46M,+5.9%,1.4%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,1721625,267368,104.42M,16.22M,+18.4%,0.48%
674599105,OXY,OCCIDENTAL PETE CORP,264461,243510,17.19M,15.83M,+1162.3%,0.08%
69331C108,PCG,PG&E CORP,5708926,895064,100.31M,15.73M,+18.6%,0.47%
438516106,HON,HONEYWELL INTL INC,132965,69313,30.05M,15.67M,+108.9%,0.14%
48251W104,KKR,KKR & CO INC,174684,168467,16.16M,15.58M,+2709.8%,0.08%
55024U109,LITE,LUMENTUM HLDGS INC,22896,21884,16.09M,15.38M,+2162.5%,0.07%
032095101,APH,AMPHENOL CORP,458641,121625,57.95M,15.37M,+36.1%,0.27%
92537N108,VRT,VERTIV HOLDINGS CO,212189,58525,53.17M,14.67M,+38.1%,0.25%
45073V108,ITT,ITT INC,120189,76869,22.9M,14.65M,+177.4%,0.11%
101137107,BSX,BOSTON SCIENTIFIC CORP,312659,232814,19.62M,14.61M,+291.6%,0.09%
02079K305,GOOGL,ALPHABET INC,1330735,49392,382.67M,14.2M,+3.9%,1.8%
45784P101,PODD,INSULET CORP,81911,66901,17.19M,14.04M,+445.7%,0.08%
742718109,PG,PROCTER & GAMBLE CO,250624,97156,36.2M,14.03M,+63.3%,0.17%
281020107,EIX,EDISON INTL,1347064,189697,98.58M,13.88M,+16.4%,0.46%
34959E109,FTNT,FORTINET INC,535160,168249,43.73M,13.75M,+45.9%,0.2%
125523100,CI,THE CIGNA GROUP,87120,50850,23.24M,13.56M,+140.2%,0.11%
165167735,EXE,EXPAND ENERGY CORPORATION,146256,123366,16.06M,13.54M,+539%,0.07%
81762P102,NOW,SERVICENOW INC,495857,126649,51.84M,13.24M,+34.3%,0.24%
09260D107,BX,BLACKSTONE INC,347248,113556,39.93M,13.06M,+48.6%,0.19%
464287515,IGV,ISHARES TR,211735,159884,16.95M,12.8M,+308.4%,0.08%
29444U700,EQIX,EQUINIX INC,23323,13021,22.86M,12.76M,+126.4%,0.11%
191216100,KO,COCA COLA CO,291105,167004,22.14M,12.7M,+134.6%,0.1%
29084Q100,EME,EMCOR GROUP INC,50374,17143,37.19M,12.66M,+51.6%,0.17%
860630102,SF,STIFEL FINL CORP,311569,170937,23.03M,12.64M,+121.5%,0.11%
595112103,MU,MICRON TECHNOLOGY INC,305467,37280,103.2M,12.59M,+13.9%,0.48%
143658300,CCL,CARNIVAL CORP,642211,484651,16.62M,12.54M,+307.6%,0.08%
82982L103,SITE,SITEONE LANDSCAPE SUPPLY INC,108884,91977,14.49M,12.24M,+544%,0.07%
143130102,KMX,CARMAX INC,621298,289974,25.83M,12.06M,+87.5%,0.12%
871607107,SNPS,SYNOPSYS INC,44234,30409,17.54M,12.06M,+220%,0.08%
217204106,CPRT,COPART INC,453559,355541,15.06M,11.8M,+362.7%,0.07%
31620M106,FIS,FIDELITY NATL INFORMATION SV,276526,251483,12.97M,11.8M,+1004.2%,0.06%
N53745100,LYB,LYONDELLBASELL INDUSTRIES NV,145825,145825,11.75M,11.75M,NEW,0.05%
040413205,ANET,ARISTA NETWORKS INC,753762,92731,92.55M,11.39M,+14%,0.43%
464288257,ACWI,ISHARES TR,770683,81577,106.64M,11.29M,+11.8%,0.5%
G54950103,LIN,LINDE PLC,56013,22509,27.77M,11.16M,+67.2%,0.13%
918204108,VFC,V F CORP,1194353,636081,20.29M,10.81M,+113.9%,0.09%
67059N108,NTNX,NUTANIX INC,569891,282397,21.66M,10.73M,+98.2%,0.1%
608190104,MHK,MOHAWK INDS INC,199717,108689,19.66M,10.7M,+119.4%,0.09%
