CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,10760942,10760942,1.57B,1.57B,NEW,1.1%
369604301,GE,GE AEROSPACE,11026006,3017937,3.13B,856.4M,+37.7%,2.2%
482480100,KLAC,KLA CORP,384456,384456,566.08M,566.08M,NEW,0.39%
512807306,LRCX,LAM RESEARCH CORP,3373306,2523351,720.74M,539.14M,+296.9%,0.5%
18915M107,NET,CLOUDFLARE INC,4394484,2530872,906.76M,522.22M,+135.8%,0.62%
009066101,ABNB,AIRBNB INC,3172959,3139315,400.68M,396.43M,+9331%,0.28%
093712107,BE,BLOOM ENERGY CORP,2687029,2673710,364.07M,362.26M,+20074.4%,0.25%
144285103,CRS,CARPENTER TECHNOLOGY CORP,805306,805306,317.41M,317.41M,NEW,0.22%
11135F101,AVGO,BROADCOM INC,22783092,890882,7.05B,275.74M,+4.1%,4.8%
57636Q104,MA,MASTERCARD INCORPORATED,5123041,480725,2.56B,240.2M,+10.4%,1.8%
872540109,TJX,TJX COS INC NEW,3297139,1493913,526.55M,238.58M,+82.8%,0.36%
36828A101,GEV,GE VERNOVA INC,904703,256912,789.71M,224.26M,+39.7%,0.54%
N97284108,NBIS,NEBIUS GROUP N.V.,1700223,1700223,176.42M,176.42M,NEW,0.12%
701094104,PH,PARKER-HANNIFIN CORP,261912,158081,234.47M,141.52M,+152.2%,0.16%
G0593M107,AZN.L,ASTRAZENECA PLC,663945,663945,130.94M,130.94M,NEW,0.09%
M3760D101,ESLT,ELBIT SYS LTD,150909,150909,128.14M,128.14M,NEW,0.09%
595112103,MU,MICRON TECHNOLOGY INC,344048,344048,116.23M,116.23M,NEW,0.08%
146869102,CVNA,CARVANA CO,313110,313110,98.44M,98.44M,NEW,0.07%
21873S108,CRWV,COREWEAVE INC,1228027,1228027,95.14M,95.14M,NEW,0.07%
75886F107,REGN,REGENERON PHARMACEUTICALS,115199,115199,89.01M,89.01M,NEW,0.06%
22160K105,COST,COSTCO WHOLESALE CORPORATION,2312440,84805,2.3B,84.5M,+3.8%,1.6%
58933Y105,MRK,MERCK & CO INC,6249337,689849,751.73M,82.98M,+12.4%,0.52%
91913Y100,VLO,VALERO ENERGY CORP,413437,326777,102.15M,80.74M,+377.1%,0.07%
03073E105,COR,CENCORA INC,426092,252089,133.85M,79.19M,+144.9%,0.09%
74366E102,PTGX,PROTAGONIST THERAPEUTICS INC,1072011,740847,112.99M,78.09M,+223.7%,0.08%
75513E101,RTX,RTX CORPORATION,1378798,375655,265.97M,72.46M,+37.4%,0.18%
91324P102,UNH,UNITEDHEALTH GROUP INC,658056,242456,178.06M,65.61M,+58.3%,0.12%
038222105,AMAT,APPLIED MATLS INC,292287,190056,99.9M,64.96M,+185.9%,0.07%
45258J102,IMVT,IMMUNOVANT INC,3196705,2496241,79.41M,62.01M,+356.4%,0.05%
G51502105,JCI,JOHNSON CONTROLS INTERNATION,1154315,464874,151.16M,60.88M,+67.4%,0.1%
674215207,CHRD,CHORD ENERGY CORPORATION,423338,423338,60.19M,60.19M,NEW,0.04%
92243G108,PCVX,VAXCYTE INC,1698011,1020458,98.67M,59.3M,+150.6%,0.07%
133131102,CPT,CAMDEN PPTY TR,1206854,603997,117.86M,58.99M,+100.2%,0.08%
260557103,DOW,DOW HLDGS INC,1386562,1386562,57.75M,57.75M,NEW,0.04%
127203107,WHD,CACTUS INC,1713701,1146766,81.18M,54.32M,+202.3%,0.06%
88080T104,WULF,TERAWULF INC,3701895,3701895,53.42M,53.42M,NEW,0.04%
377322102,GKOS,GLAUKOS CORP,487020,487020,52.43M,52.43M,NEW,0.04%
N07059210,ASML,ASML HLDG NV,115553,39625,152.63M,52.34M,+52.2%,0.1%
375558103,GILD,GILEAD SCIENCES INC,1264546,375359,176.24M,52.31M,+42.2%,0.12%
