CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
90353T100,UBER,UBER TECHNOLOGIES INC,1276800,1276800,91.84M,91.84M,NEW,1.9%
303250104,FICO,FAIR ISAAC CORP,385000,79320,411M,84.68M,+25.9%,8.4%
09857L108,BKNG,BOOKING HOLDINGS INC,19560,19560,82.35M,82.35M,NEW,1.7%
03831W108,APP,APPLOVIN CORP,3284250,165750,1.31B,65.97M,+5.3%,26.7%
92826C839,V,VISA INC,949100,174900,286.86M,52.86M,+22.6%,5.9%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,2348200,2348200,35.13M,35.13M,NEW,0.72%
892672106,TW,TRADEWEB MKTS INC,1007800,279700,118.58M,32.91M,+38.4%,2.4%
02079K305,GOOGL,ALPHABET INC,1509500,111900,434.07M,32.18M,+8%,8.9%
78409V104,SPGI,S&P GLOBAL INC,113500,66200,48.28M,28.16M,+140%,0.99%
594918104,MSFT,MICROSOFT CORP,403400,64800,149.33M,23.99M,+19.1%,3%
617700109,MORN,MORNINGSTAR INC,135000,135000,22.82M,22.82M,NEW,0.47%
458140100,INTC,INTEL CORP,485000,485000,21.4M,21.4M,NEW,0.44%
023135106,AMZN,AMAZON COM INC,1072100,44100,223.29M,9.18M,+4.3%,4.6%
16411R208,LNG,CHENIERE ENERGY INC,424900,0,120.57M,0,NO CHANGE,2.5%
743315103,PGR,PROGRESSIVE CORP,498500,0,98.82M,0,NO CHANGE,2%
64107A113,NPWRWS,NET POWER INC,455200,-10000,122.9K,-2.7K,-2.1%,<.01%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,322500,-7200,98.07M,-2.19M,-2.2%,2%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,716600,-15800,112.71M,-2.49M,-2.2%,2.3%
117043109,BC,BRUNSWICK CORP,0,-144600,0,-10.74M,CLOSE,0%
256746108,DLTR,DOLLAR TREE INC,0,-302800,0,-37.25M,CLOSE,0%
443201108,HWM,HOWMET AEROSPACE INC,5083600,-180900,1.17B,-41.69M,-3.4%,23.9%
863667101,SYK,STRYKER CORPORATION,0,-121500,0,-42.7M,CLOSE,0%
74935Q107,RBA,RB GLOBAL INC,0,-433900,0,-44.64M,CLOSE,0%
78351F107,RYAN,RYAN SPECIALTY HOLDINGS INC,0,-959500,0,-49.54M,CLOSE,0%
22160N109,CSGP,COSTAR GROUP INC,0,-901600,0,-60.62M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-136900,0,-79.5M,CLOSE,0%
81141R100,SE,SEA LTD,768100,-1112300,63.61M,-92.11M,-59.2%,1.3%
Total,,,,,4.9B,120.01M,+2%,100%
