CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
75513E101,RTX,RTX CORPORATION,396500,396500,76.48M,76.48M,NEW,4.3%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,5243200,5243200,44.31M,44.31M,NEW,2.5%
15101Q207,CLS,CELESTICA INC,123000,123000,34.65M,34.65M,NEW,1.9%
F21107101,CSTM,CONSTELLIUM SE,1312400,1312400,32.26M,32.26M,NEW,1.8%
023135106,AMZN,AMAZON COM INC,755752,154100,157.4M,32.09M,+25.6%,8.8%
80004C200,SNDK,SANDISK CORP,49206,49206,31.26M,31.26M,NEW,1.7%
82509L107,SHOP,SHOPIFY INC,377026,263400,44.72M,31.24M,+231.8%,2.5%
156431108,CENX,CENTURY ALUM CO,531700,531700,31.21M,31.21M,NEW,1.7%
482480100,KLAC,KLA CORP,19880,19880,29.27M,29.27M,NEW,1.6%
038222105,AMAT,APPLIED MATLS INC,82900,82900,28.33M,28.33M,NEW,1.6%
007903107,AMD,ADVANCED MICRO DEVICES INC,231200,132300,47.03M,26.91M,+133.8%,2.6%
81141R100,SE,SEA LTD,1252156,311100,103.69M,25.76M,+33.1%,5.8%
11135F101,AVGO,BROADCOM INC,361040,80040,111.75M,24.77M,+28.5%,6.3%
21873S108,CRWV,COREWEAVE INC,530600,311900,41.11M,24.16M,+142.6%,2.3%
36828A101,GEV,GE VERNOVA INC,30405,21440,26.54M,18.71M,+239.2%,1.5%
23804L103,DDOG,DATADOG INC,155800,155800,18.39M,18.39M,NEW,1%
824348106,SHW,SHERWIN WILLIAMS CO,72913,56280,23.37M,18.04M,+338.4%,1.3%
70932M107,PFSI,PENNYMAC FINL SVCS INC NEW,308800,182900,26.99M,15.99M,+145.3%,1.5%
40131M109,GH,GUARDANT HEALTH INC,129900,129900,12M,12M,NEW,0.67%
771049103,RBLX,ROBLOX CORP,179500,179500,10.15M,10.15M,NEW,0.57%
77311W101,RKT,ROCKET COS INC,602600,602600,8.59M,8.59M,NEW,0.48%
G4253H101,JHX,JAMES HARDIE INDS PLC,1712100,442100,32.43M,8.37M,+34.8%,1.8%
146869102,CVNA,CARVANA CO,172419,22220,54.21M,6.99M,+14.8%,3%
68389X105,ORCL,ORACLE CORP,42600,23400,6.27M,3.44M,+121.9%,0.35%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,98360,6860,47.7M,3.33M,+7.5%,2.7%
G6683N103,NU,NU HLDGS LTD,2517028,199500,36.17M,2.87M,+8.6%,2%
02553E106,AEO,AMERICAN EAGLE OUTFITTERS IN,451400,148100,7.54M,2.47M,+48.8%,0.42%
88160R101,TSLA,TESLA INC,12648,0,4.7M,0,NO CHANGE,0.26%
67066G104,NVDA,NVIDIA CORPORATION,880725,-3200,153.6M,-558.08K,-0.4%,8.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,348254,-2680,117.69M,-905.71K,-0.8%,6.6%
M6191J100,FROG,JFROG LTD,450629,-39798,21.15M,-1.87M,-8.1%,1.2%
25809K105,DASH,DOORDASH INC,197312,-13074,29.63M,-1.96M,-6.2%,1.7%
98980F104,GTM,ZOOMINFO TECHNOLOGIES INC,0,-1046480,0,-10.64M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-49800,0,-10.92M,CLOSE,0%
461202103,INTU,INTUIT,0,-17559,0,-11.63M,CLOSE,0%
63947X101,NCNO,NCINO INC,140800,-808200,2.11M,-12.11M,-85.2%,0.12%
09581B103,OWL,BLUE OWL CAPITAL INC,0,-810548,0,-12.11M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,55886,-33320,22.24M,-13.26M,-37.4%,1.2%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,59200,-36000,23.19M,-14.1M,-37.8%,1.3%
30303M102,META,META PLATFORMS INC,0,-26830,0,-17.71M,CLOSE,0%
75734B100,RDDT,REDDIT INC,24560,-132000,3.31M,-17.77M,-84.3%,0.19%
64110L106,NFLX,NETFLIX INC,0,-195250,0,-18.31M,CLOSE,0%
22266T109,CPNG,COUPANG INC,123200,-1168000,2.33M,-22.05M,-90.5%,0.13%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,0,-249949,0,-22.32M,CLOSE,0%
60937P106,MDB,MONGODB INC,37167,-93400,9.1M,-22.86M,-71.5%,0.51%
546347105,LPX,LOUISIANA PAC CORP,133395,-314400,9.7M,-22.87M,-70.2%,0.54%
04010E109,AGX,ARGAN INC,62000,-55000,33.77M,-29.96M,-47%,1.9%
82982L103,SITE,SITEONE LANDSCAPE SUPPLY INC,84101,-235874,11.19M,-31.4M,-73.7%,0.63%
980745103,WWD,WOODWARD INC,174698,-88900,62.53M,-31.82M,-33.7%,3.5%
31488V107,FERG,FERGUSON ENTERPRISES INC,96600,-149400,22.53M,-34.85M,-60.7%,1.3%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,727800,-494600,55.43M,-37.67M,-40.5%,3.1%
632307104,NTRA,NATERA INC,60800,-212500,12.16M,-42.5M,-77.8%,0.68%
254687106,DIS,DISNEY WALT CO,222973,-513000,21.49M,-49.44M,-69.7%,1.2%
144285103,CRS,CARPENTER TECHNOLOGY CORP,71800,-186000,28.3M,-73.31M,-72.1%,1.6%
594918104,MSFT,MICROSOFT CORP,15681,-205000,5.8M,-75.88M,-92.9%,0.32%
02079K107,GOOG,ALPHABET INC,39600,-269600,11.36M,-77.34M,-87.2%,0.64%
Total,,,,,1.79B,-116.07M,-5.6%,100%
