CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81141R100,SE,SEA LTD,3563098,428007,295.06M,35.44M,+13.7%,42.1%
91332U101,U,UNITY SOFTWARE INC,1594227,1566000,34.98M,34.36M,+5547.9%,5%
N97284108,NBIS,NEBIUS GROUP N.V.,1055816,203000,109.55M,21.06M,+23.8%,15.6%
771049103,RBLX,ROBLOX CORP,390000,195000,22.06M,11.03M,+100%,3.1%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,657333,119000,30.7M,5.56M,+22.1%,4.4%
48581R205,KSPI,KASPI KZ JSC,241500,72000,17.89M,5.33M,+42.5%,2.5%
G6683N103,NU,NU HLDGS LTD,7265000,0,104.4M,0,NO CHANGE,14.9%
722304102,PDD,PDD HOLDINGS INC,490650,0,50.13M,0,NO CHANGE,7.1%
58733R102,MELI,MERCADOLIBRE INC,21257,0,36.75M,0,NO CHANGE,5.2%
Total,,,,,701.53M,112.79M,+15%,100%
