CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,30800,0,9.16M,0,NO CHANGE,16.1%
594918104,MSFT,MICROSOFT CORP,12300,0,4.54M,0,NO CHANGE,8%
15101Q207,CLS,CELESTICA INC,11100,0,3.2M,0,NO CHANGE,5.6%
023135106,AMZN,AMAZON COM INC,13900,0,2.93M,0,NO CHANGE,5.1%
46120E602,ISRG,INTUITIVE SURGICAL INC,5600,0,2.6M,0,NO CHANGE,4.6%
74349Y753,SH,PROSHARES TR,55000,0,2.07M,0,NO CHANGE,3.6%
74349Y837,PSQ,PROSHARES TR,59000,0,1.88M,0,NO CHANGE,3.3%
11135F101,AVGO,BROADCOM INC,4000,0,1.25M,0,NO CHANGE,2.2%
57636Q104,MA,MASTERCARD INCORPORATED,1000,0,491.65K,0,NO CHANGE,0.86%
747525103,QCOM,QUALCOMM INC,3800,0,483.66K,0,NO CHANGE,0.85%
30303M102,META,META PLATFORMS INC,800,0,463.38K,0,NO CHANGE,0.81%
007903107,AMD,ADVANCED MICRO DEVICES INC,2200,0,462.46K,0,NO CHANGE,0.81%
03831W108,APP,APPLOVIN CORP,800,0,310.27K,0,NO CHANGE,0.55%
042068205,ARM,ARM HOLDINGS PLC,2000,0,310.14K,0,NO CHANGE,0.54%
N3167Y103,RACE,FERRARI N V,700,0,239.7K,0,NO CHANGE,0.42%
22160K105,COST,COSTCO WHOLESALE CORP,0,-600,0,-517.4K,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,23000,-7500,3.37M,-1.1M,-24.6%,5.9%
532457108,LLY,ELI LILLY & CO,0,-1218,0,-1.31M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,74500,-10000,13.09M,-1.76M,-11.8%,23%
64110L106,NFLX,NETFLIX INC,0,-20000,0,-1.88M,CLOSE,0%
037833100,AAPL,APPLE INC,39400,-7600,10.07M,-1.94M,-16.2%,17.7%
Total,,,,,56.93M,-8.5M,-11.9%,100%
