CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
09857L108,BKNG,BOOKING HOLDINGS INC,122877,120894,517.35M,509M,+6096.5%,0.7%
67066G104,NVDA,NVIDIA CORP,40977042,636374,7.15B,110.98M,+1.6%,9.6%
68389X105,ORCL,ORACLE CORP,16839240,638885,2.48B,93.99M,+3.9%,3.3%
023135106,AMZN,AMAZON.COM INC,18325770,362660,3.82B,75.53M,+2%,5.1%
30212P303,EXPE,EXPEDIA INC,391396,315518,90.37M,72.85M,+415.8%,0.12%
64110L106,NFLX,NETFLIX.COM INC,37973545,743146,3.65B,71.45M,+2%,4.9%
02079K305,GOOGL,ALPHABET INC-CL A,17339594,197124,4.99B,56.68M,+1.1%,6.7%
902252105,TYL,TYLER TECHNOLOGIES INC,189857,161097,65M,55.16M,+560.1%,0.09%
724078209,PIPR,PIPER SANDLER COS,536352,536352,41.06M,41.06M,NEW,0.06%
69366J200,PTCT,PTC THERAPEUTICS INC,493603,493603,33.63M,33.63M,NEW,0.05%
00676P107,ADEA,ADEIA INC,1333941,1333941,32.05M,32.05M,NEW,0.04%
743315103,PGR,PROGRESSIVE CORP,760877,156769,150.84M,31.08M,+26%,0.2%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,1674108,844869,52.78M,26.64M,+101.9%,0.07%
594918104,MSFT,MICROSOFT CORP,6063327,66645,2.24B,24.67M,+1.1%,3%
30303M102,META,META PLATFORMS INC,7450101,43118,4.26B,24.67M,+0.6%,5.7%
90184D100,TWST,TWIST BIOSCIENCE CORP,492290,492290,23.39M,23.39M,NEW,0.03%
464287614,IWF,ISHARES RUSSELL 1000 GROWTH INDEX FUND,77353,53292,32.98M,22.72M,+221.5%,0.04%
860630102,SF,STIFEL FINANCIAL CORP,673597,305793,49.79M,22.6M,+83.1%,0.07%
67073D102,JQC,NUVEEN CREDIT STRAT INCM,4526488,4526488,22.04M,22.04M,NEW,0.03%
67072T108,JFR,NUVEEN FLOAT RATE INC FD,2897039,2897039,21.79M,21.79M,NEW,0.03%
82706C108,SIMO,SILICON MOTION TECHNOL-ADR,188653,188653,21.18M,21.18M,NEW,0.03%
G8588X103,SGHC,SUPER GROUP SGHC LTD,1867557,1867557,20.17M,20.17M,NEW,0.03%
159864107,CRL,CHARLES RIVER LABS,170982,108438,29.49M,18.71M,+173.4%,0.04%
