CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,165175,122944,55.82M,41.55M,+291.1%,7.4%
042068205,ARM,ARM HOLDINGS PLC,351641,67824,53.2M,10.26M,+23.9%,7.1%
595112103,MU,MICRON TECHNOLOGY INC,24542,24542,8.29M,8.29M,NEW,1.1%
219350105,GLW,CORNING INC,60589,60589,8.24M,8.24M,NEW,1.1%
983134107,WYNN,WYNN RESORTS LTD,330442,63625,33.56M,6.46M,+23.8%,4.5%
037833100,AAPL,APPLE INC,124120,24532,31.5M,6.23M,+24.6%,4.2%
023135106,AMZN,AMAZON COM INC,270887,26384,56.42M,5.49M,+10.8%,7.5%
26142V105,DKNG,DRAFTKINGS INC NEW,305751,253229,6.61M,5.47M,+482.1%,0.88%
67066G104,NVDA,NVIDIA CORPORATION,476914,22988,83.17M,4.01M,+5.1%,11%
603170101,MLYS,MINERALYS THERAPEUTICS INC,144875,144875,3.92M,3.92M,NEW,0.52%
767292105,RIOT,RIOT PLATFORMS INC,1740320,307034,21.51M,3.79M,+21.4%,2.9%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,827686,316481,7.47M,2.85M,+61.9%,0.99%
30303M102,META,META PLATFORMS INC,132076,2239,75.56M,1.28M,+1.7%,10%
02079K305,GOOGL,ALPHABET INC,251573,2606,72.34M,749.38K,+1%,9.6%
14040H105,COF,CAPITAL ONE FINL CORP,123810,4094,22.59M,746.87K,+3.4%,3%
53635D202,LQDA,LIQUIDIA CORPORATION,18006,18006,679.55K,679.55K,NEW,0.09%
64110L106,NFLX,NETFLIX INC.,116440,6357,11.2M,611.23K,+5.8%,1.5%
N07059210,ASML,ASML HLDG NV,16181,401,21.37M,529.65K,+2.5%,2.8%
02079K107,GOOG,ALPHABET INC,12660,-539,3.63M,-154.62K,-4.1%,0.48%
573284106,MLM,MARTIN MARIETTA MATLS INC,1605,-365,944.83K,-214.87K,-18.5%,0.13%
828806109,SPG,SIMON PPTY GROUP INC NEW,6253,-1895,1.17M,-353.47K,-23.3%,0.15%
808513105,SCHW,SCHWAB CHARLES CORP,69446,-6349,6.53M,-596.68K,-8.4%,0.87%
88160R101,TSLA,TESLA INC,3549,-2047,1.32M,-760.97K,-36.6%,0.18%
369604301,GE,GE AEROSPACE,37267,-3080,10.58M,-874.01K,-7.6%,1.4%
097023105,BA,BOEING CO,205882,-4715,40.98M,-938.43K,-2.2%,5.4%
44812J104,HUT,HUT 8 CORP,97868,-22739,4.59M,-1.07M,-18.9%,0.61%
72352L106,PINS,PINTEREST INC,0,-45225,0,-1.17M,CLOSE,0%
75513E101,RTX,RTX CORPORATION,210306,-12488,40.57M,-2.41M,-5.6%,5.4%
36828A101,GEV,GE VERNOVA INC,55948,-3161,48.84M,-2.76M,-5.3%,6.5%
11135F101,AVGO,BROADCOM INC,0,-8766,0,-3.03M,CLOSE,0%
807066105,SCHL,SCHOLASTIC CORP,0,-112891,0,-3.34M,CLOSE,0%
16935C109,CHYM,CHIME FINL INC,110205,-198778,2.06M,-3.72M,-64.3%,0.27%
934423104,WBD,WARNER BROS DISCOVERY INC,0,-161599,0,-4.66M,CLOSE,0%
46120E602,ISRG,INTUITIVE SURGICAL INC,0,-9497,0,-5.38M,CLOSE,0%
654106103,NKE,NIKE INC,0,-107004,0,-6.82M,CLOSE,0%
907818108,UNP,UNION PAC CORP,0,-42239,0,-9.77M,CLOSE,0%
79466L302,CRM,SALESFORCE INC,0,-38023,0,-10.07M,CLOSE,0%
949746101,WFC,WELLS FARGO CO NEW,0,-118683,0,-11.06M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,62223,-78293,9.15M,-11.52M,-55.7%,1.2%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-25424,0,-14.76M,CLOSE,0%
254687106,DIS,DISNEY WALT CO,95703,-184131,9.22M,-17.75M,-65.8%,1.2%
G3643J108,FLUT,FLUTTER ENTMT PLC,0,-241260,0,-51.88M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-109045,0,-52.74M,CLOSE,0%
Total,,,,,753.03M,-106.63M,-11.9%,100%
