CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
12572Q105,CME,CME GROUP INC,52874,52874,15.62M,15.62M,NEW,1.9%
532457108,LLY,ELI LILLY & CO,27183,4469,25.01M,4.11M,+19.7%,3.1%
464288257,ACWI,ISHARES TR,42117,8024,5.83M,1.11M,+23.5%,0.71%
863667101,SYK,STRYKER CORPORATION,50214,2079,16.5M,683.21K,+4.3%,2%
697435105,PANW,PALO ALTO NETWORKS INC,196965,3738,31.58M,599.29K,+1.9%,3.9%
90353T100,UBER,UBER TECHNOLOGIES INC,334839,5283,24.09M,380.01K,+1.6%,2.9%
09857L108,BKNG,BOOKING HOLDINGS INC,6211,42,26.17M,176.97K,+0.7%,3.2%
02079K305,GOOGL,ALPHABET INC,90441,11,26.01M,3.16K,+0%,3.2%
464287200,IVV,ISHARES TR,321,1,209.71K,653.29,+0.3%,0.03%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,622,0,298.06K,0,NO CHANGE,0.04%
G6683N103,NU,NU HLDGS LTD,1682438,-6381,24.18M,-91.7K,-0.4%,2.9%
922042742,VT,VANGUARD INTL EQUITY INDEX F,1572,-941,217.51K,-130.2K,-37.4%,0.03%
594918104,MSFT,MICROSOFT CORP,0,-448,0,-216.77K,CLOSE,0%
46120E602,ISRG,INTUITIVE SURGICAL INC,70382,-573,32.45M,-264.17K,-0.8%,4%
037833100,AAPL,APPLE INC,156174,-1293,39.64M,-328.16K,-0.8%,4.8%
252131107,DXCM,DEXCOM INC,299552,-5597,18.81M,-351.5K,-1.8%,2.3%
023135106,AMZN,AMAZON COM INC,297063,-2153,61.87M,-448.41K,-0.7%,7.5%
81762P102,NOW,SERVICENOW INC,240834,-4532,25.18M,-473.83K,-1.8%,3.1%
N07059210,ASML,ASML HLDG NV,37372,-391,49.37M,-516.52K,-1%,6%
57636Q104,MA,MASTERCARD INCORPORATED,80418,-1332,40.18M,-665.59K,-1.6%,4.9%
30303M102,META,META PLATFORMS INC,119970,-1564,68.64M,-894.85K,-1.3%,8.4%
58733R102,MELI,MERCADOLIBRE INC,24301,-915,42.03M,-1.58M,-3.6%,5.1%
02079K107,GOOG,ALPHABET INC,290778,-7536,83.41M,-2.16M,-2.5%,10.2%
67066G104,NVDA,NVIDIA CORPORATION,932066,-19696,162.55M,-3.43M,-2.1%,19.8%
40415F101,HDB,HDFC BANK LTD,0,-356320,0,-13.02M,CLOSE,0%
81141R100,SE,SEA LTD,0,-123418,0,-15.75M,CLOSE,0%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,0,-306113,0,-25.14M,CLOSE,0%
79466L302,CRM,SALESFORCE INC,0,-133036,0,-35.24M,CLOSE,0%
Total,,,,,819.83M,-78.03M,-7.9%,100%
