CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46269C102,IRDM,IRIDIUM COMMUNICATIONS INC,154000,154000,4.27M,4.27M,NEW,5.3%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,36000,36000,4.23M,4.23M,NEW,5.2%
042068205,ARM,ARM HOLDINGS PLC,20000,20000,3.03M,3.03M,NEW,3.7%
36828A101,GEV,GE VERNOVA INC,12500,0,10.91M,0,NO CHANGE,13.4%
67066G104,NVDA,NVIDIA CORPORATION,60000,0,10.46M,0,NO CHANGE,12.9%
532457108,LLY,ELI LILLY & CO,9000,0,8.28M,0,NO CHANGE,10.2%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,50000,0,7.31M,0,NO CHANGE,9%
773121108,RKLB,ROCKET LAB CORP,100000,0,6.42M,0,NO CHANGE,7.9%
023135106,AMZN,AMAZON COM INC,26300,0,5.48M,0,NO CHANGE,6.7%
458140100,INTC,INTEL CORP,110000,0,4.85M,0,NO CHANGE,6%
594918104,MSFT,MICROSOFT CORP,10600,0,3.92M,0,NO CHANGE,4.8%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,13500,-1500,4.11M,-456.12K,-10%,5.1%
53626N102,LION,LIONSGATE STUDIOS CORP,400000,-50000,3.84M,-479.5K,-11.1%,4.7%
45337C102,INCY,INCYTE CORP,0,-20000,0,-1.98M,CLOSE,0%
49845K101,KVYO,KLAVIYO INC,0,-85000,0,-2.76M,CLOSE,0%
090043100,BILL,BILL HOLDINGS INC,0,-66000,0,-3.6M,CLOSE,0%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,0,-14500,0,-3.71M,CLOSE,0%
64110L106,NFLX,NETFLIX INC.,42500,-47500,4.09M,-4.57M,-52.8%,5%
90138F102,TWLO,TWILIO INC,0,-32500,0,-4.62M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,0,-15000,0,-4.71M,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,0,-30000,0,-4.83M,CLOSE,0%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,0,-63000,0,-4.83M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-12500,0,-5.62M,CLOSE,0%
146869102,CVNA,CARVANA CO,0,-15000,0,-6.33M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-13500,0,-7.84M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-13200,0,-8.71M,CLOSE,0%
Total,,,,,81.2M,-53.52M,-39.2%,100%
