CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
443201108,HWM,HOWMET AEROSPACE INC,30624,30624,7.06M,7.06M,NEW,2.7%
040413205,ANET,ARISTA NETWORKS INC,47442,47442,5.82M,5.82M,NEW,2.2%
573874104,MRVL,MARVELL TECHNOLOGY INC,57665,57665,5.71M,5.71M,NEW,2.2%
199908104,FIX,COMFORT SYS USA INC,5480,3718,7.56M,5.13M,+211%,2.9%
30231G102,XOM,EXXON MOBIL CORP,1249,1249,211.91K,211.91K,NEW,0.08%
808524805,SCHF,SCHWAB STRATEGIC TR,9372,5274,231.96K,130.53K,+128.7%,0.09%
808524409,SCHV,SCHWAB STRATEGIC TR,3524,2108,107.48K,64.29K,+148.9%,0.04%
464287234,EEM,ISHARES TR,1049,1049,59.57K,59.57K,NEW,0.02%
872540109,TJX,TJX COS INC NEW,15002,325,2.4M,51.9K,+2.2%,0.92%
464287655,IWM,ISHARES TR,3279,36,813.19K,8.93K,+1.1%,0.31%
808524102,SCHB,SCHWAB STRATEGIC TR,1897,355,47.62K,8.91K,+23%,0.02%
808524508,SCHM,SCHWAB STRATEGIC TR,5137,185,159.04K,5.73K,+3.7%,0.06%
38141G104,GS,GOLDMAN SACHS GROUP INC,8572,6,7.25M,5.08K,+0.1%,2.8%
922908769,VTI,VANGUARD INDEX FDS,6711,0,2.15M,0,NO CHANGE,0.83%
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,2,0,1.44M,0,NO CHANGE,0.55%
464287150,ITOT,ISHARES TR,7704,0,1.1M,0,NO CHANGE,0.42%
02079K107,GOOG,ALPHABET INC,2640,0,757.31K,0,NO CHANGE,0.29%
166764100,CVX,CHEVRON CORPORATION,2585,0,534.84K,0,NO CHANGE,0.21%
25434V609,DFAT,DIMENSIONAL ETF TRUST,8329,0,520.15K,0,NO CHANGE,0.2%
92345Y106,VRSK,VERISK ANALYTICS INC,2167,0,411.19K,0,NO CHANGE,0.16%
46137V613,PRF,INVESCO EXCHANGE TRADED FD T,8500,0,404K,0,NO CHANGE,0.16%
931142103,WMT,WALMART INC,3000,0,372.84K,0,NO CHANGE,0.14%
58155Q103,MCK,MCKESSON CORP,330,0,285.57K,0,NO CHANGE,0.11%
58933Y105,MRK,MERCK & CO INC,2000,0,240.58K,0,NO CHANGE,0.09%
464287622,IWB,ISHARES TR,640,0,228.2K,0,NO CHANGE,0.09%
291011104,EMR,EMERSON ELEC CO,1650,0,216.18K,0,NO CHANGE,0.08%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,357,0,171.07K,0,NO CHANGE,0.07%
808524201,SCHX,SCHWAB STRATEGIC TR,6241,0,160.02K,0,NO CHANGE,0.06%
922908629,VO,VANGUARD INDEX FDS,402,0,115.5K,0,NO CHANGE,0.04%
464287689,IWV,ISHARES TR,293,0,108.61K,0,NO CHANGE,0.04%
46137V266,RPG,INVESCO EXCHANGE TRADED FD T,900,0,42.07K,0,NO CHANGE,0.02%
464287465,EFA,ISHARES TR,149,0,14.47K,0,NO CHANGE,<.01%
464287499,IWR,ISHARES TR,128,0,12.45K,0,NO CHANGE,<.01%
464287630,IWN,ISHARES TR,57,0,10.81K,0,NO CHANGE,<.01%
808524607,SCHA,SCHWAB STRATEGIC TR,278,0,8.08K,0,NO CHANGE,<.01%
922908736,VUG,VANGUARD INDEX FDS,17,0,7.42K,0,NO CHANGE,<.01%
464287432,TLT,ISHARES TR,53,0,4.59K,0,NO CHANGE,<.01%
464287242,LQD,ISHARES TR,41,0,4.47K,0,NO CHANGE,<.01%
464287440,IEF,ISHARES TR,45,0,4.29K,0,NO CHANGE,<.01%
808524706,SCHE,SCHWAB STRATEGIC TR,2,0,66,0,NO CHANGE,<.01%
464287226,AGG,ISHARES TR,7914,-9,785.62K,-893.43,-0.1%,0.3%
464287200,IVV,ISHARES TR,659,-11,430.46K,-7.19K,-1.6%,0.17%
15101Q207,CLS,CELESTICA INC,17938,-37,5.05M,-10.42K,-0.2%,1.9%
808524300,SCHG,SCHWAB STRATEGIC TR,11504,-400,335.11K,-11.65K,-3.4%,0.13%
512807306,LRCX,LAM RESEARCH CORP,31248,-57,6.68M,-12.18K,-0.2%,2.6%
64110L106,NFLX,NETFLIX INC.,80153,-230,7.71M,-22.11K,-0.3%,3%
11135F101,AVGO,BROADCOM INC,38319,-86,11.86M,-26.62K,-0.2%,4.6%
464287507,IJH,ISHARES TR,10202,-439,688.94K,-29.65K,-4.1%,0.26%
G93A5A101,VIK,VIKING HOLDINGS LTD,67988,-489,5M,-35.93K,-0.7%,1.9%
88160R101,TSLA,TESLA INC,35032,-105,13.02M,-39.03K,-0.3%,5%
92826C839,V,VISA INC,21825,-157,6.6M,-47.45K,-0.7%,2.5%
30303M102,META,META PLATFORMS INC,11774,-97,6.74M,-55.5K,-0.8%,2.6%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,7200,-87,4.68M,-56.58K,-1.2%,1.8%
369604301,GE,GE AEROSPACE,31673,-207,8.99M,-58.74K,-0.6%,3.4%
46090E103,QQQ,INVESCO QQQ TR,4450,-106,2.57M,-61.18K,-2.3%,0.99%
037833100,AAPL,APPLE INC,57566,-329,14.61M,-83.5K,-0.6%,5.6%
36828A101,GEV,GE VERNOVA INC,13374,-112,11.67M,-97.76K,-0.8%,4.5%
02079K305,GOOGL,ALPHABET INC,70616,-371,20.31M,-106.68K,-0.5%,7.8%
064058100,BK,BANK NEW YORK MELLON CORP,68800,-922,8.16M,-109.38K,-1.3%,3.1%
464287614,IWF,ISHARES TR,2498,-268,1.07M,-114.28K,-9.7%,0.41%
67066G104,NVDA,NVIDIA CORPORATION,132222,-693,23.06M,-120.86K,-0.5%,8.8%
22160K105,COST,COSTCO WHOLESALE CORPORATION,14797,-124,14.74M,-123.56K,-0.8%,5.7%
594918104,MSFT,MICROSOFT CORP,29127,-397,10.78M,-146.96K,-1.3%,4.1%
29444U700,EQIX,EQUINIX INC,840,-165,823.4K,-161.74K,-16.4%,0.32%
023135106,AMZN,AMAZON COM INC,64949,-819,13.53M,-170.57K,-1.2%,5.2%
532457108,LLY,ELI LILLY & CO,15174,-193,13.96M,-177.52K,-1.3%,5.4%
92840M102,VST,VISTRA CORP,0,-27324,0,-4.41M,CLOSE,0%
25809K105,DASH,DOORDASH INC,0,-21469,0,-4.86M,CLOSE,0%
025816109,AXP,AMERICAN EXPRESS CO,0,-17746,0,-6.57M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-11638,0,-6.76M,CLOSE,0%
101137107,BSX,BOSTON SCIENTIFIC CORP,0,-72958,0,-6.96M,CLOSE,0%
90384S303,ULTA,ULTA BEAUTY INC,0,-13420,0,-8.12M,CLOSE,0%
Total,,,,,260.59M,-15.29M,-5.3%,100%
