CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
639193101,NAVN,Navan Inc,5874257,0,77.78M,0,NO CHANGE,33.4%
770700102,HOOD,Robinhood Markets Inc,1049802,0,72.75M,0,NO CHANGE,31.2%
090168105,BLLN,BillionToOne Inc,233333,0,18.42M,0,NO CHANGE,7.9%
19247G107,COHR,Coherent Corp,43744,0,10.42M,0,NO CHANGE,4.5%
682189105,ON,ON Semiconductor Corp,127709,0,7.91M,0,NO CHANGE,3.4%
055477103,BCAX,Bicara Therapeutics Inc,113780,0,2.26M,0,NO CHANGE,0.97%
74275K108,PCOR,Procore Technologies Inc,26649,0,1.52M,0,NO CHANGE,0.65%
16935C109,CHYM,Chime Financial Inc,11878,0,222.47K,0,NO CHANGE,0.1%
093712107,BE,Bloom Energy Corp,18806,-8654,2.55M,-1.17M,-31.5%,1.1%
46438F101,IBIT,iShares Bitcoin Trust ETF,0,-37476,0,-1.86M,CLOSE,0%
040413205,ANET,Arista Networks Inc,33038,-22166,4.06M,-2.72M,-40.2%,1.7%
037833100,AAPL,Apple Inc,0,-10100,0,-2.75M,CLOSE,0%
67059N108,NTNX,Nutanix Inc,0,-56033,0,-2.9M,CLOSE,0%
461202103,INTU,Intuit,0,-5631,0,-3.73M,CLOSE,0%
518415104,LSCC,Lattice Semiconductor Corp,32598,-45444,3.02M,-4.22M,-58.2%,1.3%
22788C105,CRWD,CrowdStrike Holdings Inc,0,-9112,0,-4.27M,CLOSE,0%
64110L106,NFLX,Netflix Inc,0,-49250,0,-4.62M,CLOSE,0%
82509L107,SHOP,Shopify Inc,0,-30392,0,-4.89M,CLOSE,0%
052769106,ADSK,Autodesk Inc,0,-16786,0,-4.97M,CLOSE,0%
594918104,MSFT,Microsoft Corp,0,-12043,0,-5.82M,CLOSE,0%
30303M102,META,Meta Platforms Inc,0,-8877,0,-5.86M,CLOSE,0%
437076102,HD,Home Depot Inc,0,-17533,0,-6.03M,CLOSE,0%
874039100,TSM,Taiwan Semiconductor Manufacturing,40383,-18995,13.65M,-6.42M,-32%,5.9%
697435105,PANW,Palo Alto Networks Inc,0,-35583,0,-6.55M,CLOSE,0%
833445109,SNOW,Snowflake Inc,0,-33577,0,-7.37M,CLOSE,0%
78410G104,SBAC,SBA Communications Corporation,0,-39374,0,-7.62M,CLOSE,0%
053332102,AZO,AutoZone Inc,0,-2586,0,-8.77M,CLOSE,0%
871607107,SNPS,Synopsys Inc,7442,-22376,2.95M,-8.87M,-75%,1.3%
02079K305,GOOGL,Alphabet Inc,0,-31612,0,-9.89M,CLOSE,0%
512807306,LRCX,Lam Research Corporation,58345,-47244,12.47M,-10.09M,-44.7%,5.4%
023135106,AMZN,Amazon Com Inc,0,-48679,0,-11.24M,CLOSE,0%
58155Q103,MCK,Mckesson Corp,0,-14830,0,-12.16M,CLOSE,0%
67066G104,NVDA,NVIDIA Corporation,8418,-71015,1.47M,-12.39M,-89.4%,0.63%
872540109,TJX,The TJX Companies Inc,0,-87651,0,-13.46M,CLOSE,0%
235851102,DHR,Danaher Corporation,0,-59673,0,-13.66M,CLOSE,0%
57636Q104,MA,Mastercard Incorporated,0,-29749,0,-16.98M,CLOSE,0%
11135F101,AVGO,Broadcom Inc,4927,-55977,1.52M,-17.33M,-91.9%,0.65%
Total,,,,,232.96M,-218.61M,-42.5%,100%
