CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
60770K107,MRNA,MODERNA INC,6053,6053,307.49K,307.49K,NEW,<.01%
30303M102,META,META PLATFORMS INC,9797414,0,5.61B,0,NO CHANGE,36.3%
02079K305,GOOGL,ALPHABET INC,6207074,0,1.78B,0,NO CHANGE,11.5%
770700102,HOOD,ROBINHOOD MKTS INC,24158860,0,1.67B,0,NO CHANGE,10.8%
88160R101,TSLA,TESLA INC,3766106,0,1.4B,0,NO CHANGE,9.1%
023135106,AMZN,AMAZON COM INC,6589070,0,1.37B,0,NO CHANGE,8.9%
25809K105,DASH,DOORDASH INC,7068299,0,1.06B,0,NO CHANGE,6.9%
82509L107,SHOP,SHOPIFY INC,6325050,0,750.28M,0,NO CHANGE,4.9%
64110L106,NFLX,NETFLIX INC,6707220,0,644.9M,0,NO CHANGE,4.2%
594918104,MSFT,MICROSOFT CORP,1050322,0,388.8M,0,NO CHANGE,2.5%
47215P106,JD,JD.COM INC,11693590,0,345.78M,0,NO CHANGE,2.2%
808513105,SCHW,SCHWAB CHARLES CORP,3196166,0,300.38M,0,NO CHANGE,1.9%
037833100,AAPL,APPLE INC,248975,0,63.19M,0,NO CHANGE,0.41%
01609W102,BABA,ALIBABA GROUP HLDG LTD,269858,0,33.86M,0,NO CHANGE,0.22%
02079K107,GOOG,ALPHABET INC,90740,0,26.03M,0,NO CHANGE,0.17%
19260Q107,COIN,COINBASE GLOBAL INC,13757,0,2.4M,0,NO CHANGE,0.02%
256163106,DOCU,DOCUSIGN INC,0,-2922708,0,-199.91M,CLOSE,0%
98138H101,WDAY,WORKDAY INC,0,-1363667,0,-292.89M,CLOSE,0%
Total,,,,,15.45B,-492.49M,-2.5%,100%
