CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
19247G107,COHR,COHERENT CORP,134405,61913,32.02M,14.75M,+85.4%,5.5%
67066G104,NVDA,NVIDIA CORPORATION,479593,44642,83.64M,7.79M,+10.3%,14.4%
11271J107,BN,BROOKFIELD CORP,563809,119398,22.82M,4.83M,+26.9%,3.9%
55024U109,LITE,LUMENTUM HLDGS INC,6400,6400,4.5M,4.5M,NEW,0.77%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,42172,10930,16.46M,4.27M,+35%,2.8%
11276H106,BIPC,BROOKFIELD INFRASTRUCTURE CO,97700,97700,3.86M,3.86M,NEW,0.66%
92840M102,VST,VISTRA CORP,66430,22620,9.99M,3.4M,+51.6%,1.7%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,37050,37050,3.13M,3.13M,NEW,0.54%
11285B108,BEPC,BROOKFIELD RENEWABLE CORP,56950,56950,2.27M,2.27M,NEW,0.39%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,52700,9150,12.77M,2.22M,+21%,2.2%
81762P102,NOW,SERVICENOW INC,31650,19870,3.31M,2.08M,+168.7%,0.57%
N97284108,NBIS,NEBIUS GROUP N.V.,203816,19045,21.15M,1.98M,+10.3%,3.6%
921937827,BSV,VANGUARD BD INDEX FDS,21290,21290,1.67M,1.67M,NEW,0.29%
21037T109,CEG,CONSTELLATION ENERGY CORP,7600,5900,2.12M,1.65M,+347.1%,0.36%
595112103,MU,MICRON TECHNOLOGY INC,222540,4259,75.18M,1.44M,+2%,12.9%
26884L109,EQT,EQT CORP,128925,21802,8.2M,1.39M,+20.4%,1.4%
64110L106,NFLX,NETFLIX INC.,232320,14220,22.34M,1.37M,+6.5%,3.8%
38141G104,GS,GOLDMAN SACHS GROUP INC,3700,1550,3.13M,1.31M,+72.1%,0.54%
G16258108,BEP,BROOKFIELD RENEWABLE ENERGY,38500,38500,1.26M,1.26M,NEW,0.22%
25746U109,D,DOMINION ENERGY INC,242200,16800,14.97M,1.04M,+7.5%,2.6%
04626A103,ALAB,ASTERA LABS INC,89050,7850,9.76M,860.36K,+9.7%,1.7%
36828A101,GEV,GE VERNOVA INC,950,950,829.25K,829.25K,NEW,0.14%
594918104,MSFT,MICROSOFT CORP,10296,2195,3.81M,812.51K,+27.1%,0.65%
46625H100,JPM,JPMORGAN CHASE & CO,7000,2400,2.06M,705.98K,+52.2%,0.35%
02079K305,GOOGL,ALPHABET INC,85389,2390,24.55M,687.27K,+2.9%,4.2%
46432F842,IEFA,ISHARES TR,7236,7236,655.08K,655.08K,NEW,0.11%
093712107,BE,BLOOM ENERGY CORP,4600,4600,623.25K,623.25K,NEW,0.11%
85208P881,COPP,SPROTT FDS TR,14000,14000,500.08K,500.08K,NEW,0.09%
921937835,BND,VANGUARD BD INDEX FDS,5377,5377,395.96K,395.96K,NEW,0.07%
35671D857,FCX,FREEPORT MCMORAN INC,17100,6300,1.01M,370.31K,+58.3%,0.17%
037833100,AAPL,APPLE INC,49525,1374,12.57M,348.71K,+2.9%,2.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,29377,1565,5.98M,318.37K,+5.6%,1%
92189F676,SMH,VANECK ETF TRUST,800,800,306.72K,306.72K,NEW,0.05%
13321L108,CCJ,CAMECO CORP,2550,2550,276.96K,276.96K,NEW,0.05%
72201R585,PYLD,PIMCO ETF TR,9500,9500,248.9K,248.9K,NEW,0.04%
72201R833,MINT,PIMCO ETF TR,9884,2384,994.03K,239.76K,+31.8%,0.17%
88160R101,TSLA,TESLA INC,595,595,221.19K,221.19K,NEW,0.04%
29250N105,ENB,ENBRIDGE INC,4000,4000,216.56K,216.56K,NEW,0.04%
816851109,SRE,SEMPRA,55400,2000,5.38M,194.34K,+3.7%,0.92%
22160K105,COST,COSTCO WHOLESALE CORPORATION,19573,175,19.5M,174.38K,+0.9%,3.3%
