CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
770700102,HOOD,ROBINHOOD MKTS INC,200000,200000,13.86M,13.86M,NEW,7%
02079K305,GOOGL,ALPHABET INC,45262,45262,13.02M,13.02M,NEW,6.6%
G8068L108,SN,SHARKNINJA INC,125000,120000,13.24M,12.71M,+2400%,6.7%
16935C109,CHYM,CHIME FINL INC,528556,528556,9.9M,9.9M,NEW,5%
H5919C104,ONON,ON HLDG AG,951175,105626,32.36M,3.59M,+12.5%,16.4%
25459W102,TECL,DIREXION SHARES ETF TRUST,20000,-5000,1.73M,-432.75K,-20%,0.88%
25809K105,DASH,DOORDASH INC,122500,-27500,18.39M,-4.13M,-18.3%,9.4%
30303M102,META,META PLATFORMS INC,80000,-15000,45.77M,-8.58M,-15.8%,23.3%
67066G104,NVDA,NVIDIA CORPORATION,40000,-60000,6.98M,-10.46M,-60%,3.5%
00827B106,AFRM,AFFIRM HLDGS INC,0,-150000,0,-11.16M,CLOSE,0%
G0260P102,AS,AMER SPORTS INC,164526,-431368,5.42M,-14.2M,-72.4%,2.8%
03831W108,APP,APPLOVIN CORP,0,-30000,0,-20.21M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-184985,0,-20.7M,CLOSE,0%
64110L106,NFLX,NETFLIX INC.,375000,-375000,36.06M,-36.06M,-50%,18.3%
Total,,,,,196.72M,-72.87M,-24%,100%
