CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
21873S108,CRWV,COREWEAVE INC,896762,896762,69.47M,69.47M,NEW,14.9%
03831W108,APP,APPLOVIN CORP,219684,125706,87.43M,50.03M,+133.8%,18.7%
67066G104,NVDA,NVIDIA CORPORATION,280000,280000,48.83M,48.83M,NEW,10.5%
654902204,NOK,NOKIA CORP,5960932,5960932,47.93M,47.93M,NEW,10.3%
458140100,INTC,INTEL CORP,811115,811115,35.79M,35.79M,NEW,7.7%
36118L106,FUTU,FUTU HLDGS LTD,90000,90000,12.31M,12.31M,NEW,2.6%
56585A102,MPC,MARATHON PETE CORP,21805,21805,5.32M,5.32M,NEW,1.1%
91822M502,VEON,VEON LTD,557612,42685,25.82M,1.98M,+8.3%,5.5%
26884L109,EQT,EQT CORP,472600,-10000,30.08M,-636.4K,-2.1%,6.4%
G27907107,DOLE,DOLE PLC,1355823,-76152,19.37M,-1.09M,-5.3%,4.1%
92189F106,GDX,VANECK ETF TRUST,478146,-95154,43.88M,-8.73M,-16.6%,9.4%
876030107,TPR,TAPESTRY INC,0,-80000,0,-10.22M,CLOSE,0%
92189F791,GDXJ,VANECK ETF TRUST,341365,-86835,40.98M,-10.42M,-20.3%,8.8%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,0,-146452,0,-12.03M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-181680,0,-20.6M,CLOSE,0%
Total,,,,,467.22M,207.94M,+74.7%,100%
