CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69888T207,PARR,PAR PAC HOLDINGS INC,693834,693834,43.46M,43.46M,NEW,2.3%
69318G106,PBF,PBF ENERGY INC,799998,799998,38.1M,38.1M,NEW,2%
928254101,VIRT,VIRTU FINL INC,1211887,835604,53.3M,36.75M,+222.1%,2.8%
44952J104,CRGY,CRESCENT ENERGY COMPANY,2601142,2561242,35.12M,34.58M,+6419.2%,1.9%
626755102,MUSA,MURPHY USA INC,48107,48107,23.76M,23.76M,NEW,1.3%
G3323L100,FN,FABRINET,54763,43885,28.56M,22.89M,+403.4%,1.5%
172573107,CRCL,CIRCLE INTERNET GROUP INC,213796,213796,20.4M,20.4M,NEW,1.1%
Y2065G121,DHT,DHT HOLDINGS INC,1091788,1091788,19.95M,19.95M,NEW,1.1%
Y64177101,ECO,OKEANIS ECO TANKERS COR,538860,377045,27.26M,19.07M,+233%,1.5%
74758T303,QLYS,QUALYS INC,239028,187173,21M,16.44M,+361%,1.1%
91307C102,UTHR,UNITED THERAPEUTICS CORP DEL,63435,26682,37.62M,15.82M,+72.6%,2%
Y2990R101,HAFN,HAFNIA LTD,1948717,1948717,14.81M,14.81M,NEW,0.79%
M2197Q107,CLBT,CELLEBRITE DI LTD,2180924,893637,30.05M,12.31M,+69.4%,1.6%
135086106,GOOS,CANADA GOOSE HLDGS INC,3218277,1079373,35.3M,11.84M,+50.5%,1.9%
G0260P102,AS,AMER SPORTS INC,357826,357826,11.78M,11.78M,NEW,0.63%
056752108,BIDU,BAIDU INC,366429,102748,40.83M,11.45M,+39%,2.2%
00676P107,ADEA,ADEIA INC,729461,473253,17.53M,11.37M,+184.7%,0.93%
218937100,CNR,CORE NATURAL RESOURCES INC,237036,106794,24.82M,11.18M,+82%,1.3%
30049H102,EVLV,EVOLV TECHNOLOGIES HLDNGS IN,1795688,1795688,10.86M,10.86M,NEW,0.58%
23834J201,DAVE,DAVE INC,105442,61441,18.36M,10.7M,+139.6%,0.98%
654902204,NOK,NOKIA CORP,2393970,1317848,19.25M,10.6M,+122.5%,1%
030111207,AMSC,AMERICAN SUPERCONDUCTOR CORP,295636,295636,10.01M,10.01M,NEW,0.53%
90138F102,TWLO,TWILIO INC,74769,74769,9.41M,9.41M,NEW,0.5%
75585H206,REAX,THE REAL BROKERAGE INC,14519848,3740005,36.3M,9.35M,+34.7%,1.9%
91688F104,UPWK,UPWORK INC,1570560,850916,17.21M,9.33M,+118.2%,0.92%
615394202,MOGA,MOOG INC,29437,29437,8.61M,8.61M,NEW,0.46%
55406W103,LUXE,LUXEXPERIENCE BV,3733943,1073269,29.87M,8.59M,+40.3%,1.6%
922417100,VECO,VEECO INSTRS INC DEL,253379,253379,8.58M,8.58M,NEW,0.46%
42226A107,HQY,HEALTHEQUITY INC,101646,101646,8.49M,8.49M,NEW,0.45%
384556106,GHM,GRAHAM CORP,103556,103556,8.17M,8.17M,NEW,0.43%
501270102,KRUS,KURA SUSHI USA INC,301212,110416,21.02M,7.71M,+57.9%,1.1%
28618M106,ESI,ELEMENT SOLUTIONS INC,221232,221232,7.55M,7.55M,NEW,0.4%
74587B101,PLSE,PULSE BIOSCIENCES INC,733372,339873,15.83M,7.34M,+86.4%,0.84%
15101Q207,CLS,CELESTICA INC,197863,25588,55.73M,7.21M,+14.9%,3%
054540208,ACLS,AXCELIS TECHNOLOGIES INC,77168,77168,7.18M,7.18M,NEW,0.38%
H5919C104,ONON,ON HLDG AG,202444,202444,6.89M,6.89M,NEW,0.37%
278642103,EBAY,EBAY INC.,126096,67952,11.48M,6.18M,+116.9%,0.61%
92835K103,VPG,VISHAY PRECISION GROUP INC,1019868,142199,44.28M,6.17M,+16.2%,2.4%
09062X103,BIIB,BIOGEN INC,118481,33491,21.72M,6.14M,+39.4%,1.2%
665531307,NOG,NORTHERN OIL & GAS INC,204244,204244,5.97M,5.97M,NEW,0.32%
09239B109,BL,BLACKLINE INC,159026,159026,5.88M,5.88M,NEW,0.31%
137404109,CADL,CANDEL THERAPEUTICS INC,2894325,1198958,14.18M,5.87M,+70.7%,0.75%
15118V207,CELH,CELSIUS HLDGS INC,164597,164597,5.84M,5.84M,NEW,0.31%
758750103,RRX,REGAL REXNORD CORPORATION,53975,30877,10.11M,5.78M,+133.7%,0.54%
156431108,CENX,CENTURY ALUM CO,95039,95039,5.58M,5.58M,NEW,0.3%
578605107,MEC,MAYVILLE ENGR CO INC,821136,308374,14.74M,5.54M,+60.1%,0.78%
87961M105,TLX,TELIX PHARMACEUTICAL LTD,541267,541267,5.18M,5.18M,NEW,0.28%
59356Q108,MIAX,MIAMI INTL HLDGS INC,128819,128819,5.01M,5.01M,NEW,0.27%
925550105,VIAV,VIAVI SOLUTIONS INC,145844,145844,4.85M,4.85M,NEW,0.26%
346563109,FORR,FORRESTER RESH INC,1541276,835527,8.72M,4.73M,+118.4%,0.46%
683344105,ONTO,ONTO INNOVATION INC,22263,22263,4.57M,4.57M,NEW,0.24%
74347M108,PUMP,PROPETRO HLDG CORP,314815,314815,4.54M,4.54M,NEW,0.24%
70014A104,PKE,PARK AEROSPACE CORP,410655,165620,11.24M,4.53M,+67.6%,0.6%
74164F103,PRIM,PRIMORIS SVCS CORP,130626,24910,18.68M,3.56M,+23.6%,0.99%
87484T108,TALO,TALOS ENERGY INC,344549,225449,5.43M,3.55M,+189.3%,0.29%
34631F102,FPS,FORGENT POWER SOLUTIONS INC,117933,117933,3.45M,3.45M,NEW,0.18%
26142Q304,DPRO,DRAGANFLY INC.,682730,682730,3.35M,3.35M,NEW,0.18%
98422D105,XPEV,XPENG INC,275432,178505,4.71M,3.05M,+184.2%,0.25%
81663L200,WGS,GENEDX HOLDINGS CORP,102575,46799,6.59M,3.01M,+83.9%,0.35%
G037AX101,AMBA,AMBARELLA INC,108749,54507,5.6M,2.81M,+100.5%,0.3%
96924N100,WLDN,WILLDAN GROUP INC,93964,36351,7.19M,2.78M,+63.1%,0.38%
68373J104,LPRO,OPEN LENDING CORP,6902888,2166258,8.63M,2.71M,+45.7%,0.46%
60741F104,MBLY,MOBILEYE GLOBAL INC,678135,336199,4.66M,2.31M,+98.3%,0.25%
71535D106,PSNL,PERSONALIS INC,736713,357516,4.69M,2.28M,+94.3%,0.25%
87422Q109,TLN,TALEN ENERGY CORP,81574,6590,26.04M,2.1M,+8.8%,1.4%
90385V107,UCTT,ULTRA CLEAN HLDGS INC,33700,33700,2.1M,2.1M,NEW,0.11%
466313103,JBL,JABIL INC,77197,6532,20.51M,1.74M,+9.2%,1.1%
500688106,KOS,KOSMOS ENERGY LTD,602542,602542,1.68M,1.68M,NEW,0.09%
358010106,FEIM,FREQUENCY ELECTRS INC,150141,37065,6.65M,1.64M,+32.8%,0.35%
85209W109,SPT,SPROUT SOCIAL INC,558350,256877,3.18M,1.46M,+85.2%,0.17%
019330109,ALNT,ALLIENT INC,323453,21565,19.11M,1.27M,+7.1%,1%
75960P104,RELY,REMITLY GLOBAL INC,698166,70147,10.94M,1.1M,+11.2%,0.58%
25961D105,DOUG,DOUGLAS ELLIMAN INC,2669030,315080,4.38M,516.73K,+13.4%,0.23%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,27930,8456,1.58M,477.85K,+43.4%,0.08%
733245104,PRCH,PORCH GROUP INC,2144890,61835,15.38M,443.36K,+3%,0.82%
76029L100,RPAY,REPAY HLDGS CORP,2856178,65897,7.43M,171.33K,+2.4%,0.4%
90138A103,VNET,VNET GROUP INC,825490,18690,6.93M,156.81K,+2.3%,0.37%
44951W106,IESC,IES HOLDINGS INC,11869,77,5.66M,36.69K,+0.7%,0.3%
N30577105,ZGN,ERMENEGILDO ZEGNA N V,710626,92,7.4M,958.64,+0%,0.39%
55024U109,LITE,LUMENTUM HLDGS INC,5822,0,4.09M,0,NO CHANGE,0.22%
300426103,ECG,EVERUS CONSTR GROUP,8725,0,1.03M,0,NO CHANGE,0.05%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,2157,0,744.49K,0,NO CHANGE,0.04%
533535100,LINC,LINCOLN EDL SVCS CORP,14007,0,569.8K,0,NO CHANGE,0.03%
36165L108,GDS,GDS HLDGS LTD,15281,-78,615.67K,-3.14K,-0.5%,0.03%
87876P201,TGEN,TECOGEN INC NEW,443555,-2255,1.14M,-5.77K,-0.5%,0.06%
147448104,CWST,CASELLA WASTE SYS INC,15100,-125,1.2M,-9.92K,-0.8%,0.06%
75321W103,PACK,RANPAK HOLDINGS CORP,1947681,-3049,6.95M,-10.88K,-0.2%,0.37%
30303M102,META,META PLATFORMS INC,10261,-57,5.87M,-32.61K,-0.6%,0.31%
74276L105,PRCT,PROCEPT BIOROBOTICS CORP,251716,-3402,6.3M,-85.08K,-1.3%,0.34%
03212B103,AMPY,AMPLIFY ENERGY CORP NEW,74120,-14943,462.51K,-93.24K,-16.8%,0.02%
80007P869,SD,SANDRIDGE ENERGY INC,123591,-10409,2.02M,-169.77K,-7.8%,0.11%
416906105,HBIO,HARVARD BIOSCIENCE INC,0,-409650,0,-273.97K,CLOSE,0%
94724R108,WEAV,WEAVE COMMUNICATIONS INC,0,-47600,0,-361.28K,CLOSE,0%
18270D106,CMTG,CLAROS MTG TR INC,0,-119700,0,-366.28K,CLOSE,0%
02079K107,GOOG,ALPHABET INC,5710,-1282,1.64M,-367.75K,-18.3%,0.09%
651229106,NWL,NEWELL BRANDS INC,0,-126100,0,-469.09K,CLOSE,0%
72703X106,PL,PLANET LABS PBC,47288,-21427,1.32M,-598.88K,-31.2%,0.07%
82489W107,SHLS,SHOALS TECHNOLOGIES GROUP IN,0,-72781,0,-618.64K,CLOSE,0%
G3934V109,GENI,GENIUS SPORTS LIMITED,2791018,-147101,12.36M,-651.66K,-5%,0.66%
75734B100,RDDT,REDDIT INC,0,-3558,0,-817.88K,CLOSE,0%
632307104,NTRA,NATERA INC,11418,-4170,2.28M,-833.96K,-26.8%,0.12%
359664109,FLGT,FULGENT GENETICS INC,106642,-62948,1.7M,-1M,-37.1%,0.09%
