CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29664W105,ESPR,ESPERION THERAPEUTICS INC NE,3299441,3299441,9.04M,9.04M,NEW,1.9%
09061G101,BMRN,BIOMARIN PHARMACEUTICAL INC,92305,92305,5.21M,5.21M,NEW,1.1%
24823R105,DNLI,DENALI THERAPEUTICS INC,254857,254857,4.89M,4.89M,NEW,1%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,12222,12222,4.04M,4.04M,NEW,0.84%
462222100,IONS,IONIS PHARMACEUTICALS INC,290024,49200,21.78M,3.69M,+20.4%,4.5%
Q4982L109,IREN,IREN LIMITED,320150,40150,10.97M,1.38M,+14.3%,2.3%
N90064101,QURE,UNIQURE NV,486520,70250,7.95M,1.15M,+16.9%,1.7%
60855R100,MOH,MOLINA HEALTHCARE INC,8140,8140,1.09M,1.09M,NEW,0.23%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,11355,2000,5.07M,893.08K,+21.4%,1.1%
023135106,AMZN,AMAZON COM INC,125000,4000,26.03M,833.08K,+3.3%,5.4%
52567D107,LMND,LEMONADE INC,255259,7000,16M,438.76K,+2.8%,3.3%
11777Q209,BTG,B2GOLD CORP,96477,96477,437.04K,437.04K,NEW,0.09%
M96088105,URGN,UROGEN PHARMA LTD,238122,23500,4.28M,422.53K,+10.9%,0.89%
717081103,PFE,PFIZER INC,52679,14929,1.48M,419.21K,+39.5%,0.31%
007903107,AMD,ADVANCED MICRO DEVICES INC,62000,2000,12.61M,406.86K,+3.3%,2.6%
03969K108,ARQT,ARCUTIS BIOTHERAPEUTICS INC,320972,15000,7.56M,353.4K,+4.9%,1.6%
Y95308105,WVE,WAVE LIFE SCIENCES LTD,241010,48000,1.75M,348K,+24.9%,0.36%
05464T104,AXSM,AXSOME THERAPEUTICS INC.,58729,1851,9.93M,312.86K,+3.3%,2.1%
77313F106,RCKT,ROCKET PHARMACEUTICALS INC,242146,72000,866.88K,257.76K,+42.3%,0.18%
697900108,PAAS,PAN AMERN SILVER CORP,3900,3900,213.06K,213.06K,NEW,0.04%
N71542109,PRQR,PROQR THRAPEUTICS N V,5467149,109387,8.86M,177.21K,+2%,1.8%
90400D108,RARE,ULTRAGENYX PHARMACEUTICAL IN,364802,7300,7.64M,152.94K,+2%,1.6%
G59665102,MGTX,MEIRAGTX HLDGS PLC,212112,12112,1.84M,104.89K,+6.1%,0.38%
92915B106,VYGR,VOYAGER THERAPEUTICS INC,120000,25000,463.2K,96.5K,+26.3%,0.1%
877619106,TSHA,TAYSHA GENE THERAPIES INC,181900,17000,813.09K,75.99K,+10.3%,0.17%
52886X107,LXEO,LEXEO THERAPEUTICS INC,205000,12450,1.18M,71.46K,+6.5%,0.24%
803607100,SRPT,SAREPTA THERAPEUTICS INC,46000,3000,1M,65.28K,+7%,0.21%
31189P102,FATE,FATE THERAPEUTICS INC,414311,45211,497.17K,54.25K,+12.2%,0.1%
05280R100,AUTL,AUTOLUS THERAPEUTICS LTD,363430,37185,501.53K,51.32K,+11.4%,0.1%
816212302,RNAC,CARTESIAN THERAPEUTICS INC,179114,6614,1.1M,40.68K,+3.8%,0.23%
811916105,SA,SEABRIDGE GOLD INC,24828,1072,703.63K,30.38K,+4.5%,0.15%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,200000,0,29.26M,0,NO CHANGE,6.1%
67066G104,NVDA,NVIDIA CORPORATION,81000,0,14.13M,0,NO CHANGE,2.9%
19260Q107,COIN,COINBASE GLOBAL INC,79000,0,13.79M,0,NO CHANGE,2.9%
00217D100,ASTS,AST SPACEMOBILE INC,145000,0,12.02M,0,NO CHANGE,2.5%
81141R100,SE,SEA LTD,138000,0,11.43M,0,NO CHANGE,2.4%
92790C104,VRDN,VIRIDIAN THERAPEUTICS INC,173516,0,3.39M,0,NO CHANGE,0.71%
98887Q104,ZLAB,ZAI LAB LTD,132189,0,2.49M,0,NO CHANGE,0.52%
29286M105,ENGN,ENGENE HOLDINGS INC,352087,0,2.4M,0,NO CHANGE,0.5%
H17182108,CRSP,CRISPR THERAPEUTICS AG,42874,0,2.04M,0,NO CHANGE,0.42%
433000106,HIMS,HIMS & HERS HEALTH INC,40000,0,830.4K,0,NO CHANGE,0.17%
