CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,120000,120000,30.45M,30.45M,NEW,10.1%
11135F101,AVGO,BROADCOM INC,130000,56500,40.24M,17.49M,+76.9%,13.3%
03831W108,APP,APPLOVIN CORP,38500,36000,15.32M,14.33M,+1440%,5.1%
M98068105,WIX,WIX COM LTD,77500,77500,6.98M,6.98M,NEW,2.3%
30303M102,META,META PLATFORMS INC,25000,12000,14.3M,6.87M,+92.3%,4.7%
79589L106,IOT,SAMSARA INC,182000,182000,5.77M,5.77M,NEW,1.9%
594918104,MSFT,MICROSOFT CORP,90000,15000,33.32M,5.55M,+20%,11%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,35881,35881,5.25M,5.25M,NEW,1.7%
26603R106,DUOL,DUOLINGO INC,68450,52200,6.75M,5.15M,+321.2%,2.2%
25809K105,DASH,DOORDASH INC,33582,33582,5.04M,5.04M,NEW,1.7%
78435P105,SEZL,SEZZLE INC,68232,68232,4.32M,4.32M,NEW,1.4%
770700102,HOOD,ROBINHOOD MKTS INC,92500,55000,6.41M,3.81M,+146.7%,2.1%
67066G104,NVDA,NVIDIA CORPORATION,255000,20000,44.47M,3.49M,+8.5%,14.7%
81141R100,SE,SEA LTD,125000,40000,10.35M,3.31M,+47.1%,3.4%
55318A108,MNTN,MNTN INC,325441,325441,2.86M,2.86M,NEW,0.95%
G7341A129,PAACU,PROEM ACQUISITION CORP I,242924,242924,2.43M,2.43M,NEW,0.8%
852234103,XYZ,BLOCK INC,40000,40000,2.41M,2.41M,NEW,0.8%
595112103,MU,MICRON TECHNOLOGY INC,15000,5000,5.07M,1.69M,+50%,1.7%
433000106,HIMS,HIMS & HERS HEALTH INC,110000,65000,2.28M,1.35M,+144.4%,0.75%
68389X105,ORCL,ORACLE CORP,20000,4982,2.94M,732.9K,+33.2%,0.97%
12047B105,BMBL,BUMBLE INC,177608,177608,579K,579K,NEW,0.19%
G6683N103,NU,NU HLDGS LTD,425614,0,6.12M,0,NO CHANGE,2%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,55000,0,875.6K,0,NO CHANGE,0.29%
31188V100,FSLY,FASTLY INC,259343,-10657,7.54M,-309.69K,-3.9%,2.5%
26622P107,DOCS,DOXIMITY INC,0,-7500,0,-332.1K,CLOSE,0%
G29018101,DLO,DLOCAL LTD,425485,-74515,5.52M,-966.46K,-14.9%,1.8%
58733R102,MELI,MERCADOLIBRE INC,5300,-1200,9.16M,-2.07M,-18.5%,3%
Q4982L109,IREN,IREN LIMITED,0,-55000,0,-2.08M,CLOSE,0%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-35000,0,-2.93M,CLOSE,0%
697435105,PANW,PALO ALTO NETWORKS INC,0,-20500,0,-3.78M,CLOSE,0%
093712107,BE,BLOOM ENERGY CORP,0,-45094,0,-3.92M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,15700,-19309,3.19M,-3.93M,-55.2%,1.1%
98980G102,ZS,ZSCALER INC,0,-20000,0,-4.5M,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,0,-30000,0,-6.78M,CLOSE,0%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,0,-190000,0,-9.43M,CLOSE,0%
60937P106,MDB,MONGODB INC,0,-23489,0,-9.86M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,65000,-47500,18.65M,-13.63M,-42.2%,6.2%
023135106,AMZN,AMAZON COM INC,20000,-139000,4.17M,-28.95M,-87.4%,1.4%
Total,,,,,302.76M,36.39M,+12.3%,100%
