CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
15643U104,LEU,CENTRUS ENERGY CORP,50460,50460,8.76M,8.76M,NEW,1.1%
68236H204,ONDS,ONDAS INC,894643,894643,8.09M,8.09M,NEW,0.98%
833445109,SNOW,SNOWFLAKE INC,81462,52605,12.29M,7.93M,+182.3%,1.5%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,38028,15760,14.85M,6.15M,+70.8%,1.8%
67079K100,SMR,NUSCALE PWR CORP,1043473,272505,11.31M,2.95M,+35.3%,1.4%
75776W103,RDW,REDWIRE CORPORATION,285500,214000,2.43M,1.82M,+299.3%,0.29%
02079K107,GOOG,ALPHABET INC,142766,4671,40.95M,1.34M,+3.4%,4.9%
81762P102,NOW,SERVICENOW INC,114923,11748,12.02M,1.23M,+11.4%,1.4%
670100205,NVO,NOVO-NORDISK A S,260620,31355,9.58M,1.15M,+13.7%,1.2%
79466L302,CRM,SALESFORCE INC,55381,5878,10.34M,1.1M,+11.9%,1.2%
98980G102,ZS,ZSCALER INC,51396,5789,7.21M,812.14K,+12.7%,0.87%
679295105,OKTA,OKTA INC,132241,9429,10.41M,742.16K,+7.7%,1.3%
26701L100,BROS,DUTCH BROS INC,43110,14340,2.18M,726.46K,+49.8%,0.26%
037833100,AAPL,APPLE INC,132982,2007,33.75M,509.35K,+1.5%,4.1%
594918104,MSFT,MICROSOFT CORP,64088,1319,23.72M,488.25K,+2.1%,2.9%
880779103,TEX,TEREX CORP NEW,26405,7445,1.56M,440K,+39.3%,0.19%
023135106,AMZN,AMAZON COM INC,137177,2061,28.57M,429.24K,+1.5%,3.4%
17275R102,CSCO,CISCO SYS INC,174250,5104,13.52M,396.02K,+3%,1.6%
78463V107,GLD,SPDR GOLD TR,8939,896,3.85M,385.54K,+11.1%,0.46%
46432F834,IXUS,ISHARES TR,3863,3863,334.69K,334.69K,NEW,0.04%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,759790,18565,12.1M,295.55K,+2.5%,1.5%
46625H100,JPM,JPMORGAN CHASE & CO,46381,967,13.64M,284.45K,+2.1%,1.6%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,147212,1689,21.53M,247.07K,+1.2%,2.6%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,616,616,241.32K,241.32K,NEW,0.03%
91332U101,U,UNITY SOFTWARE INC,62770,10945,1.38M,240.13K,+21.1%,0.17%
