CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,17900,17549,10.33M,10.13M,+4999.7%,6.7%
36828A101,GEV,GE VERNOVA INC,13395,10470,11.69M,9.14M,+357.9%,7.6%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,12900,12900,6.18M,6.18M,NEW,4%
037833100,AAPL,APPLE INC,55101,20375,13.98M,5.17M,+58.7%,9.1%
00287Y109,ABBV,ABBVIE INC,23190,23190,5.04M,5.04M,NEW,3.3%
64110L106,NFLX,NETFLIX INC.,42735,42735,4.11M,4.11M,NEW,2.7%
92189F601,NLR,VANECK ETF TRUST,27475,27475,3.66M,3.66M,NEW,2.4%
595112103,MU,MICRON TECHNOLOGY INC,10040,10040,3.39M,3.39M,NEW,2.2%
922908363,VOO,VANGUARD INDEX FDS,400,400,239.02K,239.02K,NEW,0.16%
67066G104,NVDA,NVIDIA CORPORATION,66015,-76,11.51M,-13.25K,-0.1%,7.5%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-3075,0,-658.54K,CLOSE,0%
02156V109,OKLO,OKLO INC,0,-10510,0,-754.2K,CLOSE,0%
369604301,GE,GE AEROSPACE,16557,-3608,4.7M,-1.02M,-17.9%,3.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,39480,-8790,13.34M,-2.97M,-18.2%,8.7%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,137150,-59600,7.61M,-3.31M,-30.3%,5%
21037T109,CEG,CONSTELLATION ENERGY CORP,6750,-14575,1.88M,-4.07M,-68.3%,1.2%
594918104,MSFT,MICROSOFT CORP,13605,-14445,5.04M,-5.35M,-51.5%,3.3%
023135106,AMZN,AMAZON COM INC,28115,-26220,5.86M,-5.46M,-48.3%,3.8%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,-33925,0,-6.03M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO,30628,-24757,9.01M,-7.28M,-44.7%,5.9%
02079K305,GOOGL,ALPHABET INC,24086,-27890,6.93M,-8.02M,-53.7%,4.5%
11135F101,AVGO,BROADCOM INC,18941,-26229,5.86M,-8.12M,-58.1%,3.8%
88160R101,TSLA,TESLA INC,11885,-22335,4.42M,-8.3M,-65.3%,2.9%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,0,-19955,0,-9.35M,CLOSE,0%
92189F676,SMH,VANECK ETF TRUST,36740,-29460,14.09M,-11.29M,-44.5%,9.2%
30303M102,META,META PLATFORMS INC,7970,-25080,4.56M,-14.35M,-75.9%,3%
Total,,,,,153.44M,-49.3M,-22.7%,100%
