CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91324P102,UNH,UNITEDHEALTH GROUP INC,33626,24028,9.1M,6.5M,+250.3%,3.8%
80004C200,SNDK,SANDISK CORP,16190,6445,10.29M,4.09M,+66.1%,4.3%
413216300,HMY,HARMONY GOLD MNG LTD,212390,160690,3.26M,2.47M,+310.8%,1.4%
92837L109,VIST,VISTA ENERGY S.A.B. DE C.V.,24079,24079,1.82M,1.82M,NEW,0.75%
55024U109,LITE,LUMENTUM HLDGS INC,4654,2158,3.27M,1.52M,+86.5%,1.4%
594918104,MSFT,MICROSOFT CORP,18254,4042,6.76M,1.5M,+28.4%,2.8%
Q4982L109,IREN,IREN LIMITED,83091,37292,2.85M,1.28M,+81.4%,1.2%
18915M107,NET,CLOUDFLARE INC,7259,4873,1.5M,1.01M,+204.2%,0.62%
674599105,OXY,OCCIDENTAL PETE CORP,18278,10931,1.19M,710.51K,+148.8%,0.49%
68389X105,ORCL,ORACLE CORP,17618,4580,2.59M,673.76K,+35.1%,1.1%
747525103,QCOM,QUALCOMM INC,8236,5084,1.06M,654.72K,+161.3%,0.44%
98149E303,GLDM,WORLD GOLD TR,36785,6861,3.41M,635.95K,+22.9%,1.4%
595112103,MU,MICRON TECHNOLOGY INC,48138,1817,16.26M,613.86K,+3.9%,6.8%
670100205,NVO,NOVO-NORDISK A S,28428,16176,1.04M,594.47K,+132%,0.43%
192108504,CDE,COEUR MNG INC,46068,27281,864.7K,512.06K,+145.2%,0.36%
G65163100,JOBY,JOBY AVIATION INC,137773,59369,1.14M,490.39K,+75.7%,0.47%
78467X109,DIA,STATE STR SPDR DOW JONES IND,1159,933,536.84K,432.16K,+412.8%,0.22%
023135106,AMZN,AMAZON COM INC,12048,1998,2.51M,416.2K,+19.9%,1%
464288687,PFF,ISHARES TR,16033,13619,486.12K,412.93K,+564.2%,0.2%
22052L104,CTVA,CORTEVA INC,4787,4778,400.72K,399.97K,+53088.9%,0.17%
594972408,MSTR,STRATEGY INC,22815,2996,2.85M,373.98K,+15.1%,1.2%
46090E103,QQQ,INVESCO QQQ TR,6259,642,3.61M,370.62K,+11.4%,1.5%
146869102,CVNA,CARVANA CO,1343,1151,422.21K,361.85K,+599.5%,0.18%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,39434,38988,355.69K,351.67K,+8741.7%,0.15%
G1151C101,ACN,ACCENTURE PLC IRELAND,2250,1396,446.15K,276.81K,+163.5%,0.19%
219350105,GLW,CORNING INC,3185,1803,433.06K,245.15K,+130.5%,0.18%
166764100,CVX,CHEVRON CORPORATION,1631,1157,337.45K,239.38K,+244.1%,0.14%
922042742,VT,VANGUARD INTL EQUITY INDEX F,5135,1690,710.27K,233.76K,+49.1%,0.3%
36828A101,GEV,GE VERNOVA INC,1043,262,910.43K,228.7K,+33.5%,0.38%
00724F101,ADBE,ADOBE INC,5611,912,1.36M,221.69K,+19.4%,0.57%
02376R102,AAL,AMERICAN AIRLINES GROUP INC,23788,20634,255.48K,221.61K,+654.2%,0.11%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,1846,559,723.19K,218.99K,+43.4%,0.3%
861012102,STM,STMICROELECTRONICS N V,9252,6072,319.66K,209.79K,+190.9%,0.13%
81369Y506,XLE,SELECT SECTOR SPDR TR,3542,3314,216.98K,203.02K,+1453.5%,0.09%
38059T106,GFI,GOLD FIELDS LTD,8454,4471,383.81K,202.98K,+112.3%,0.16%
79466L302,CRM,SALESFORCE INC,3001,1086,560.2K,202.72K,+56.7%,0.23%
58733R102,MELI,MERCADOLIBRE INC,230,116,397.68K,200.57K,+101.8%,0.17%
72703X106,PL,PLANET LABS PBC,7009,7009,195.9K,195.9K,NEW,0.08%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,7655,566,2.59M,191.28K,+8%,1.1%
512807306,LRCX,LAM RESEARCH CORP,1777,859,379.67K,183.53K,+93.6%,0.16%
70450Y103,PYPL,PAYPAL HLDGS INC,16133,4014,729.7K,181.55K,+33.1%,0.3%
