CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
925283103,VSNT,VERSANT MEDIA GROUP INC,1694946,1694946,62.75M,62.75M,NEW,8.3%
125523100,CI,THE CIGNA GROUP,175000,175000,46.68M,46.68M,NEW,6.2%
594918104,MSFT,MICROSOFT CORP,110000,110000,40.72M,40.72M,NEW,5.4%
303075105,FDS,FACTSET RESH SYS INC,185991,185991,40.36M,40.36M,NEW,5.3%
380237107,GDDY,GODADDY INC,430000,430000,35.55M,35.55M,NEW,4.7%
57667L107,MTCH,MATCH GROUP INC NEW,1000007,1000007,30.71M,30.71M,NEW,4.1%
00724F101,ADBE,ADOBE INC,100000,100000,24.31M,24.31M,NEW,3.2%
30212P303,EXPE,EXPEDIA GROUP INC,130000,80000,30.02M,18.47M,+160%,4%
093671105,HRB,BLOCK H & R INC,1400000,452000,44.44M,14.35M,+47.7%,5.9%
48581R205,KSPI,KASPI KZ JSC,620000,167442,45.92M,12.4M,+37%,6.1%
913903100,UHS,UNIVERSAL HLTH SVCS INC,260000,58000,46.53M,10.38M,+28.7%,6.1%
23918K108,DVA,DAVITA INC,50000,50000,7.68M,7.68M,NEW,1%
959802109,WU,WESTERN UN CO,5000000,800000,43.65M,6.98M,+19%,5.8%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,136600,23600,39.99M,6.91M,+20.9%,5.3%
501889208,LKQ,LKQ CORP,1516724,196724,44.55M,5.78M,+14.9%,5.9%
20030N101,CMCSA,COMCAST CORP NEW,1783669,160000,51.21M,4.59M,+9.9%,6.8%
60871R209,TAP,MOLSON COORS BEVERAGE CO,900000,74000,38.75M,3.19M,+9%,5.1%
79546E104,SBH,SALLY BEAUTY HLDGS INC,2427587,12920,33.62M,178.94K,+0.5%,4.4%
894164102,TNL,TRAVEL PLUS LEISURE CO,590849,0,40.88M,0,NO CHANGE,5.4%
38911N206,GRVY,GRAVITY CO LTD,139744,0,8.66M,0,NO CHANGE,1.1%
48241A105,KB,KB FINL GROUP INC,0,-21520,0,-1.85M,CLOSE,0%
91324P102,UNH,UNITEDHEALTH GROUP INC,0,-10000,0,-3.3M,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-180000,0,-30.79M,CLOSE,0%
15135B101,CNC,CENTENE CORP DEL,0,-814000,0,-33.5M,CLOSE,0%
577081102,MAT,MATTEL INC,0,-2200000,0,-43.65M,CLOSE,0%
71654V101,PBRA,PETROLEO BRASILEIRO SA PETRO,0,-3980000,0,-44.85M,CLOSE,0%
Total,,,,,756.97M,214.05M,+36.7%,100%
