CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
693506107,PPG,PPG INDS INC,60000,60000,6.41M,6.41M,NEW,0.96%
291011104,EMR,EMERSON ELEC CO,70000,42000,9.17M,5.5M,+150%,1.4%
701094104,PH,PARKER-HANNIFIN CORP,6000,6000,5.37M,5.37M,NEW,0.8%
22160K105,COST,COSTCO WHOLESALE CORPORATION,5000,5000,4.98M,4.98M,NEW,0.74%
02079K305,GOOGL,ALPHABET INC,85859,14410,24.69M,4.14M,+20.2%,3.7%
949746101,WFC,WELLS FARGO & CO,191127,49586,15.22M,3.95M,+35%,2.3%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,127726,119713,4.09M,3.83M,+1494%,0.61%
422806109,HEI,HEICO CORP NEW,10000,10000,2.74M,2.74M,NEW,0.41%
871829107,SYY,SYSCO CORP,30000,30000,2.14M,2.14M,NEW,0.32%
189054109,CLX,CLOROX CO DEL,20000,20000,2.07M,2.07M,NEW,0.31%
79466L302,CRM,SALESFORCE INC,53129,10216,9.92M,1.91M,+23.8%,1.5%
235851102,DHR,DANAHER CORP DEL,62139,9809,11.78M,1.86M,+18.7%,1.8%
98138H101,WDAY,WORKDAY INC,28898,12967,3.75M,1.68M,+81.4%,0.56%
G1151C101,ACN,ACCENTURE PLC IRELAND,24931,6947,4.94M,1.38M,+38.6%,0.74%
941848103,WAT,WATERS CORP,5676,4421,1.69M,1.32M,+352.3%,0.25%
461202103,INTU,INTUIT,13675,2901,5.91M,1.25M,+26.9%,0.88%
05464C101,AXON,AXON ENTERPRISE INC,6302,2877,2.68M,1.22M,+84%,0.4%
773903109,ROK,ROCKWELL AUTOMATION INC,14956,3000,5.37M,1.08M,+25.1%,0.8%
654106103,NKE,NIKE INC,20000,20000,1.06M,1.06M,NEW,0.16%
437076102,HD,HOME DEPOT INC,3000,3000,986.67K,986.67K,NEW,0.15%
452327109,ILMN,ILLUMINA INC,40000,8000,4.93M,986.08K,+25%,0.73%
00724F101,ADBE,ADOBE INC,23238,3880,5.65M,943.15K,+20%,0.84%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,45000,11000,1.68M,410.19K,+32.4%,0.25%
G54950103,LIN,LINDE PLC,22000,0,10.91M,0,NO CHANGE,1.6%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,21000,0,10.32M,0,NO CHANGE,1.5%
65339F101,NEE,NEXTERA ENERGY INC,87000,0,8.08M,0,NO CHANGE,1.2%
14040H105,COF,CAPITAL ONE FINL CORP,40000,0,7.3M,0,NO CHANGE,1.1%
191216100,KO,COCA COLA CO,90000,0,6.84M,0,NO CHANGE,1%
020002101,ALL,ALLSTATE CORP,32000,0,6.63M,0,NO CHANGE,0.99%
278865100,ECL,ECOLAB INC,18306,0,4.87M,0,NO CHANGE,0.73%
L44385109,GLOB,GLOBANT S A,69000,0,3.18M,0,NO CHANGE,0.47%
22822V101,CCI,CROWN CASTLE INC,34950,0,2.84M,0,NO CHANGE,0.42%
40415F101,HDB,HDFC BANK LTD,107850,0,2.68M,0,NO CHANGE,0.4%
550021109,LULU,LULULEMON ATHLETICA INC,13000,0,1.99M,0,NO CHANGE,0.3%
059460303,BBD,BANCO BRADESCO S A,330000,0,1.2M,0,NO CHANGE,0.18%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,320000,0,1.17M,0,NO CHANGE,0.17%
237266101,DAR,DARLING INGREDIENTS INC,15000,0,927.75K,0,NO CHANGE,0.14%
002824100,ABT,ABBOTT LABORATORIES,8565,0,879.37K,0,NO CHANGE,0.13%
04271T100,ARRY,ARRAY TECHNOLOGIES INC,108715,0,786.01K,0,NO CHANGE,0.12%
L0415A103,AUNA,AUNA S A,20401,0,112.41K,0,NO CHANGE,0.02%
83304A106,SNAP,SNAP INC,3792,-141,17.44K,-648.63,-3.6%,<.01%
443573100,HUBS,HUBSPOT INC,83,-3,20.26K,-732.33,-3.5%,<.01%
19260Q107,COIN,COINBASE GLOBAL INC,136,-5,23.75K,-873.05,-3.5%,<.01%
89400J107,TRU,TRANSUNION,397,-15,27.47K,-1.04K,-3.6%,<.01%
88339J105,TTD,THE TRADE DESK INC,1241,-46,28.16K,-1.04K,-3.6%,<.01%
60937P106,MDB,MONGODB INC,123,-5,30.11K,-1.22K,-3.9%,<.01%
72352L106,PINS,PINTEREST INC,2329,-87,42.71K,-1.6K,-3.6%,<.01%
98980L101,ZM,ZOOM COMMUNICATIONS INC,687,-26,55.23K,-2.09K,-3.6%,<.01%
852234103,XYZ,BLOCK INC,1021,-38,61.44K,-2.29K,-3.6%,<.01%
892672106,TW,TRADEWEB MKTS INC,543,-20,63.89K,-2.35K,-3.6%,<.01%
92343V104,VZ,VERIZON COMMUNICATIONS INC,1283,-48,64.41K,-2.41K,-3.6%,<.01%
679295105,OKTA,OKTA INC,879,-33,69.19K,-2.6K,-3.6%,0.01%
833445109,SNOW,SNOWFLAKE INC,480,-18,72.39K,-2.71K,-3.6%,0.01%
337738108,FISV,FISERV INC,1355,-50,75.61K,-2.79K,-3.6%,0.01%
902252105,TYL,TYLER TECHNOLOGIES INC,254,-9,86.97K,-3.08K,-3.4%,0.01%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,454,-17,89.67K,-3.36K,-3.6%,0.01%
