CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
038169207,APLD,APPLIED DIGITAL CORP,68813,68813,1.63M,1.63M,NEW,1.4%
88340C701,CRCG,THEMES ETF TR,498636,498636,1.36M,1.36M,NEW,1.1%
Y95308105,WVE,WAVE LIFE SCIENCES LTD,200331,184758,1.45M,1.34M,+1186.4%,1.2%
92790C104,VRDN,VIRIDIAN THERAPEUTICS INC,65080,65080,1.27M,1.27M,NEW,1.1%
316841105,FIG,FIGMA INC,56986,56986,1.2M,1.2M,NEW,1%
19260Q107,COIN,COINBASE GLOBAL INC,6516,6516,1.14M,1.14M,NEW,0.95%
33829M101,FIVE,FIVE BELOW INC,4792,4792,1.09M,1.09M,NEW,0.91%
23284F105,CTMX,CYTOMX THERAPEUTICS INC.,230598,230598,1.08M,1.08M,NEW,0.9%
80706P103,SRRK,SCHOLAR ROCK HLDG CORP,26288,21274,1.29M,1.05M,+424.3%,1.1%
833445109,SNOW,SNOWFLAKE INC,6782,6782,1.02M,1.02M,NEW,0.85%
02156V109,OKLO,OKLO INC,23699,20416,1.18M,1.01M,+621.9%,0.98%
38747R801,CONL,GRANITESHARES ETF TR,152525,134159,1.07M,939.11K,+730.5%,0.89%
39874R101,GO,GROCERY OUTLET HLDG CORP,127501,127501,898.88K,898.88K,NEW,0.75%
91332U101,U,UNITY SOFTWARE INC,40355,40355,885.39K,885.39K,NEW,0.74%
378973507,GSAT,GLOBALSTAR INC,13218,13218,877.94K,877.94K,NEW,0.73%
91532F102,UMAC,UNUSUAL MACHS INC,70792,70792,877.82K,877.82K,NEW,0.73%
86989Y109,SWMR,SWARMER INC,18039,18039,851.44K,851.44K,NEW,0.71%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,21476,21476,800.84K,800.84K,NEW,0.67%
640268306,NKTR,NEKTAR THERAPEUTICS,11032,11032,793.75K,793.75K,NEW,0.66%
925550105,VIAV,VIAVI SOLUTIONS INC,23565,23565,784.24K,784.24K,NEW,0.65%
09175A206,BMNR,BITMINE IMMERSION TECNOLOGIE,39080,39080,773K,773K,NEW,0.64%
08975B109,BBAI,BIGBEAR AI HLDGS INC,212009,212009,746.27K,746.27K,NEW,0.62%
30303M102,META,META PLATFORMS INC,1288,1288,736.9K,736.9K,NEW,0.61%
803607100,SRPT,SAREPTA THERAPEUTICS INC,33008,33008,718.25K,718.25K,NEW,0.6%
88340C685,BMNG,THEMES ETF TR,585626,585626,708.61K,708.61K,NEW,0.59%
502160104,LXU,LSB INDS INC,46188,46188,688.2K,688.2K,NEW,0.57%
83417M104,SEDG,SOLAREDGE TECHNOLOGIES INC,12853,12853,656.15K,656.15K,NEW,0.55%
90364P105,PATH,UIPATH INC,58583,58583,650.27K,650.27K,NEW,0.54%
022307102,ALMS,ALUMIS INC,29405,29405,647.79K,647.79K,NEW,0.54%
M6191J100,FROG,JFROG LTD,13696,13696,642.75K,642.75K,NEW,0.54%
29337E102,ELVN,ENLIVEN THERAPEUTICS INC,15827,15827,620.42K,620.42K,NEW,0.52%
31816X106,FLY,FIREFLY AEROSPACE INC,21472,21472,611.31K,611.31K,NEW,0.51%
433000106,HIMS,HIMS & HERS HEALTH INC,48166,29135,999.93K,604.84K,+153.1%,0.83%
92189H805,REMX,VANECK ETF TRUST,6585,6585,579.48K,579.48K,NEW,0.48%
92837L109,VIST,VISTA ENERGY S.A.B. DE C.V.,7659,7659,578.02K,578.02K,NEW,0.48%
31188V100,FSLY,FASTLY INC,19497,19497,566.58K,566.58K,NEW,0.47%
92847W103,VITL,VITAL FARMS INC,38697,38697,546.4K,546.4K,NEW,0.46%
44812J104,HUT,HUT 8 CORP,11514,11514,540.12K,540.12K,NEW,0.45%
278768106,SATS,ECHOSTAR CORP,11738,4535,1.37M,530.91K,+63%,1.1%
45167R104,IEX,IDEX CORP,2687,2687,509.32K,509.32K,NEW,0.42%
01609W102,BABA,ALIBABA GROUP HLDG LTD,4034,4034,506.11K,506.11K,NEW,0.42%
163072101,CAKE,CHEESECAKE FACTORY INC,9159,9159,501.45K,501.45K,NEW,0.42%
836100107,SOUN,SOUNDHOUND AI INC,72826,72826,500.31K,500.31K,NEW,0.42%
697900108,PAAS,PAN AMERN SILVER CORP,8880,8880,485.11K,485.11K,NEW,0.4%
192108504,CDE,COEUR MNG INC,24982,24982,468.91K,468.91K,NEW,0.39%
25154H749,DGP,DEUTSCHE BK AG LONDON BRH,2542,2542,465.13K,465.13K,NEW,0.39%
345370860,F,FORD MTR CO,39364,39364,454.26K,454.26K,NEW,0.38%
25460G328,DRIP,DIREXION SHARES ETF TRUST,106650,106650,441.53K,441.53K,NEW,0.37%
25461A544,TSMX,DIREXION SHARES ETF TRUST,7472,7472,426.8K,426.8K,NEW,0.36%
72352L106,PINS,PINTEREST INC,22973,22973,421.32K,421.32K,NEW,0.35%
464287838,IYM,ISHARES TR,2350,2350,413.41K,413.41K,NEW,0.34%
360852107,VCX,FUNDRISE INNOVATION FD LLC,3125,3125,409.22K,409.22K,NEW,0.34%
G65163100,JOBY,JOBY AVIATION INC,49433,49433,408.32K,408.32K,NEW,0.34%
650111107,NYT,NEW YORK TIMES CO MTN BE,4754,4754,398.05K,398.05K,NEW,0.33%
7591EP100,RF,REGIONS FINANCIAL CORP NEW,15049,15049,393.08K,393.08K,NEW,0.33%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,24322,24322,387.21K,387.21K,NEW,0.32%
500688106,KOS,KOSMOS ENERGY LTD,138072,138072,383.84K,383.84K,NEW,0.32%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,1234,1234,375.24K,375.24K,NEW,0.31%
247361702,DAL,DELTA AIR LINES INC,5586,5586,371.36K,371.36K,NEW,0.31%
35834F104,TE,T1 ENERGY INC,84132,84132,369.34K,369.34K,NEW,0.31%
24703L202,DELL,DELL TECHNOLOGIES INC,2247,2247,368.8K,368.8K,NEW,0.31%
85208P873,SLVR,SPROTT FDS TR,6205,6205,367.21K,367.21K,NEW,0.31%
G38644103,GCT,GIGACLOUD TECHNOLOGY INC,8014,8014,363.68K,363.68K,NEW,0.3%
H01301128,ALC,ALCON AG,4808,4808,362.28K,362.28K,NEW,0.3%
736508847,POR,PORTLAND GEN ELEC CO,6846,6846,361.26K,361.26K,NEW,0.3%
00773J202,SYRE,SPYRE THERAPEUTICS INC,7088,7088,357.52K,357.52K,NEW,0.3%
92645B103,VCTR,VICTORY CAP HLDGS INC DEL,5425,5425,355.23K,355.23K,NEW,0.3%
09581B103,OWL,BLUE OWL CAPITAL INC,54916,38825,501.38K,354.47K,+241.3%,0.42%
984245100,YPF,YPF SOCIEDAD ANONIMA,7664,7664,354.23K,354.23K,NEW,0.3%
452308109,ITW,ILLINOIS TOOL WKS INC,1358,1358,353.47K,353.47K,NEW,0.29%
372303206,GMAB,GENMAB A/S,13109,13109,351.71K,351.71K,NEW,0.29%
471024109,JAN,JANUS LIVING INC,14827,14827,349.47K,349.47K,NEW,0.29%
01644J108,ALKT,ALKAMI TECHNOLOGY INC,22210,22210,348.03K,348.03K,NEW,0.29%
45104G104,IBN,ICICI BANK LIMITED,13359,13359,346K,346K,NEW,0.29%
26856L103,ELF,E L F BEAUTY INC,5658,5658,342.93K,342.93K,NEW,0.29%
67577C105,OCGN,OCUGEN INC,188525,188525,341.23K,341.23K,NEW,0.28%
670100205,NVO,NOVO-NORDISK A S,9274,9274,340.82K,340.82K,NEW,0.28%
86366E106,GPCR,STRUCTURE THERAPEUTICS INC,6958,6958,335.38K,335.38K,NEW,0.28%
872657101,TPG,TPG INC,8184,8184,331.53K,331.53K,NEW,0.28%
311900104,FAST,FASTENAL CO,7110,7110,329.9K,329.9K,NEW,0.28%
302520101,FNB,F N B CORP,19701,19701,329.4K,329.4K,NEW,0.27%
01741R102,ATI,ATI INC,2215,2215,322.19K,322.19K,NEW,0.27%
20464U100,COMP,COMPASS INC,63969,43951,467.61K,321.28K,+219.6%,0.39%
268603107,LOCO,EL POLLO LOCO HLDGS INC,22979,22979,318.49K,318.49K,NEW,0.27%
45579U109,INDV,INDIVIOR PHARMACEUTICALS INC,10201,10201,310.93K,310.93K,NEW,0.26%
573874104,MRVL,MARVELL TECHNOLOGY INC,3118,3118,308.84K,308.84K,NEW,0.26%
589889104,MMSI,MERIT MED SYS INC,4479,4479,308.74K,308.74K,NEW,0.26%
23954D109,DAWN,DAY ONE BIOPHARMACEUTICALS I,14342,14342,307.49K,307.49K,NEW,0.26%
889478103,TOL,TOLL BROTHERS INC,2253,2253,307.47K,307.47K,NEW,0.26%
G6683N103,NU,NU HLDGS LTD,21394,21394,307.43K,307.43K,NEW,0.26%
478160104,JNJ,JOHNSON & JOHNSON,1241,1241,303.35K,303.35K,NEW,0.25%
31428X106,FDX,FEDEX CORP,849,849,302.4K,302.4K,NEW,0.25%
15117B202,CLDX,CELLDEX THERAPEUTICS INC NEW,9502,9502,301.4K,301.4K,NEW,0.25%
H2927K103,AMRZ,AMRIZE LTD,5344,5344,299.37K,299.37K,NEW,0.25%
888787108,TOST,TOAST INC,11210,11210,297.18K,297.18K,NEW,0.25%
69318G106,PBF,PBF ENERGY INC,6228,6228,296.58K,296.58K,NEW,0.25%
866796105,SLF,SUN LIFE FINANCIAL INC.,4685,4685,293.09K,293.09K,NEW,0.24%
25459W102,TECL,DIREXION SHARES ETF TRUST,3377,3377,292.28K,292.28K,NEW,0.24%
82452J109,FOUR,SHIFT4 PMTS INC,6656,6656,291.07K,291.07K,NEW,0.24%
46222L108,IONQ,IONQ INC,10006,10006,288.47K,288.47K,NEW,0.24%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,3358,3358,288.05K,288.05K,NEW,0.24%
80401C100,SATL,SATELLOGIC INC,52364,52364,284.86K,284.86K,NEW,0.24%
75513E101,RTX,RTX CORPORATION,1464,1464,282.41K,282.41K,NEW,0.24%
45765U103,NSIT,INSIGHT ENTERPRISES INC,4198,4198,281.31K,281.31K,NEW,0.23%
498894104,KNF,KNIFE RIVER CORP,3431,3431,280.14K,280.14K,NEW,0.23%
46092D665,APLX,INVESTMENT MANAGERS SER TR I,25135,25135,274.73K,274.73K,NEW,0.23%
18467V109,YOU,CLEAR SECURE INC,5672,5672,274.58K,274.58K,NEW,0.23%
88636V652,RGTZ,TIDAL TRUST II,10046,10046,272.45K,272.45K,NEW,0.23%
807066105,SCHL,SCHOLASTIC CORP,6973,6973,272.37K,272.37K,NEW,0.23%
556269108,SHOO,MADDEN STEVEN LTD,8007,8007,271.6K,271.6K,NEW,0.23%
29082A107,EMBJ,EMBRAER S.A.,7679,4541,455.67K,269.46K,+144.7%,0.38%
929033207,VOR,VOR BIOPHARMA INC,15047,15047,268.44K,268.44K,NEW,0.22%
26740W109,QBTS,D-WAVE QUANTUM INC,18525,18525,267.32K,267.32K,NEW,0.22%
75734B100,RDDT,REDDIT INC,1973,1973,265.66K,265.66K,NEW,0.22%
053774105,CAR,AVIS BUDGET GROUP INC,1821,1821,265.59K,265.59K,NEW,0.22%
15643U104,LEU,CENTRUS ENERGY CORP,1515,1515,262.99K,262.99K,NEW,0.22%
98423F109,XMTR,XOMETRY INC,10546,6413,430.7K,261.91K,+155.2%,0.36%
025816109,AXP,AMERICAN EXPRESS CO,862,862,260.74K,260.74K,NEW,0.22%
784730103,SSRM,SSR MINING IN,8827,8827,259.51K,259.51K,NEW,0.22%
136635109,CSIQ,CANADIAN SOLAR INC,18601,18601,257.62K,257.62K,NEW,0.21%
92347M100,VERI,VERITONE INC,130651,130651,257.38K,257.38K,NEW,0.21%
911363109,URI,UNITED RENTALS INC,352,352,256.45K,256.45K,NEW,0.21%
G7S00T104,PNR,PENTAIR PLC,2943,2943,256.37K,256.37K,NEW,0.21%
Y7542C130,STNG,SCORPIO TANKERS INC,3423,3423,255.56K,255.56K,NEW,0.21%
