CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03831W108,APP,APPLOVIN CORP,48700,13000,19.38M,5.17M,+36.4%,6.6%
146869102,CVNA,CARVANA CO,365220,0,114.82M,0,NO CHANGE,39%
023135106,AMZN,AMAZON COM INC,253000,0,52.69M,0,NO CHANGE,17.9%
30303M102,META,META PLATFORMS INC,44750,0,25.6M,0,NO CHANGE,8.7%
02079K305,GOOGL,ALPHABET INC,85275,0,24.52M,0,NO CHANGE,8.3%
98954M101,ZG,ZILLOW GROUP INC,365800,0,15.14M,0,NO CHANGE,5.1%
36165L108,GDS,GDS HLDGS LTD,287000,0,11.56M,0,NO CHANGE,3.9%
67066G104,NVDA,NVIDIA CORPORATION,52000,0,9.07M,0,NO CHANGE,3.1%
64110L106,NFLX,NETFLIX INC.,92300,0,8.87M,0,NO CHANGE,3%
G3643J108,FLUT,FLUTTER ENTMT PLC,85776,0,8.74M,0,NO CHANGE,3%
00091G104,ACVA,ACV AUCTIONS INC,887000,0,3.76M,0,NO CHANGE,1.3%
92826C839,V,VISA INC,0,-18300,0,-6.42M,CLOSE,0%
Total,,,,,294.17M,-1.24M,-0.3%,100%
