CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64119N608,NTSK,NETSKOPE INC,10950921,10950921,92.97M,92.97M,NEW,2.8%
80004C200,SNDK,SANDISK CORP,62900,62900,39.96M,39.96M,NEW,1.2%
11135F101,AVGO,BROADCOM INC,792700,66700,245.35M,20.64M,+9.2%,7.4%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,664100,94100,62.34M,8.83M,+16.5%,1.9%
02079K305,GOOGL,ALPHABET INC,1603000,0,460.96M,0,NO CHANGE,14%
25809K105,DASH,DOORDASH INC,1594000,0,239.34M,0,NO CHANGE,7.3%
81141R100,SE,SEA LTD,1775000,0,146.99M,0,NO CHANGE,4.5%
81762P102,NOW,SERVICENOW INC,1135000,0,118.66M,0,NO CHANGE,3.6%
81764X103,TTAN,SERVICETITAN INC,1229285,0,78.01M,0,NO CHANGE,2.4%
G5279N105,KLAR,KLARNA GROUP PLC,5266524,0,68.94M,0,NO CHANGE,2.1%
565394103,CART,MAPLEBEAR INC,280037,0,10.49M,0,NO CHANGE,0.32%
316841105,FIG,FIGMA INC,60000,0,1.27M,0,NO CHANGE,0.04%
16935C109,CHYM,CHIME FINL INC,4181827,-239014,78.33M,-4.48M,-5.4%,2.4%
88160R101,TSLA,TESLA INC,371600,-35400,138.14M,-13.16M,-8.7%,4.2%
023135106,AMZN,AMAZON COM INC,1178600,-112400,245.47M,-23.41M,-8.7%,7.4%
98954M200,Z,ZILLOW GROUP INC,1264900,-733100,52.34M,-30.34M,-36.7%,1.6%
594918104,MSFT,MICROSOFT CORP,762900,-89100,282.4M,-32.98M,-10.5%,8.6%
833445109,SNOW,SNOWFLAKE INC,535000,-262000,80.69M,-39.51M,-32.9%,2.4%
67066G104,NVDA,NVIDIA CORPORATION,3033700,-291300,529.08M,-50.8M,-8.8%,16%
30303M102,META,META PLATFORMS INC,256800,-89200,146.92M,-51.03M,-25.8%,4.5%
146869102,CVNA,CARVANA CO,0,-208000,0,-87.78M,CLOSE,0%
N07059210,ASML,ASML HLDG NV,137200,-90800,181.22M,-119.93M,-39.8%,5.5%
Total,,,,,3.3B,-291.01M,-6.6%,100%
