CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
009066101,ABNB,AIRBNB INC,247006,247006,31.19M,31.19M,NEW,6%
750917106,RMBS,RAMBUS INC DEL,333817,333817,28.72M,28.72M,NEW,5.5%
888787108,TOST,TOAST INC,732027,732027,19.41M,19.41M,NEW,3.7%
573874104,MRVL,MARVELL TECHNOLOGY INC,563573,185889,55.82M,18.41M,+49.2%,10.7%
00486H105,ADTN,ADTRAN HOLDINGS INC,1219976,1219976,15.35M,15.35M,NEW,2.9%
315616102,FFIV,F5 INC,50196,50196,14.52M,14.52M,NEW,2.8%
05464C101,AXON,AXON ENTERPRISE INC,47442,26726,20.15M,11.35M,+129%,3.8%
53626N102,LION,LIONSGATE STUDIOS CORP,1040934,1040934,9.98M,9.98M,NEW,1.9%
292671708,UUUU,ENERGY FUELS INC,507555,507555,9.26M,9.26M,NEW,1.8%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,73345,73345,8.61M,8.61M,NEW,1.6%
433313103,HNGE,HINGE HEALTH INC,417182,183828,16.09M,7.09M,+78.8%,3.1%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,294398,38965,44.9M,5.94M,+15.3%,8.6%
03831W108,APP,APPLOVIN CORP,14480,14480,5.76M,5.76M,NEW,1.1%
253868103,DLR,DIGITAL RLTY TR INC,29838,29838,5.38M,5.38M,NEW,1%
671044105,OSIS,OSI SYSTEMS INC,19274,19274,5.12M,5.12M,NEW,0.98%
29444U700,EQIX,EQUINIX INC,5102,5102,5M,5M,NEW,0.95%
833445109,SNOW,SNOWFLAKE INC,26377,26377,3.98M,3.98M,NEW,0.76%
45867G101,IDCC,INTERDIGITAL INC,54104,614,16.34M,185.43K,+1.1%,3.1%
52476L109,LGN,LEGENCE CORP,337638,2775,19.06M,156.68K,+0.8%,3.6%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,29150,185,4.26M,27.06K,+0.6%,0.81%
Y2573F102,FLEX,FLEXTRONICS INTL LTD,311223,-2050,20.37M,-134.19K,-0.7%,3.9%
M98068105,WIX,WIX COM LTD,0,-46731,0,-4.85M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-20400,0,-5.82M,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-46212,0,-7.9M,CLOSE,0%
12510Q100,CCC,CCC INTELLIGENT SOLUTIONS HL,0,-1075546,0,-8.55M,CLOSE,0%
30226D106,EXTR,EXTREME NETWORKS,1313061,-591467,19.8M,-8.92M,-31.1%,3.8%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,62863,-63194,9.4M,-9.45M,-50.1%,1.8%
G037AX101,AMBA,AMBARELLA INC,114940,-186153,5.92M,-9.58M,-61.8%,1.1%
256163106,DOCU,DOCUSIGN INC,0,-156813,0,-10.73M,CLOSE,0%
04626A103,ALAB,ASTERA LABS INC,47394,-120247,5.19M,-13.18M,-71.7%,0.99%
15101Q207,CLS,CELESTICA INC,53495,-53635,15.07M,-15.11M,-50.1%,2.9%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,504239,-98565,88.48M,-17.3M,-16.4%,16.9%
19247G107,COHR,COHERENT CORP,87905,-80013,20.94M,-19.06M,-47.7%,4%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,0,-149966,0,-21.58M,CLOSE,0%
49845K101,KVYO,KLAVIYO INC,0,-729703,0,-23.69M,CLOSE,0%
63947X101,NCNO,NCINO INC,0,-1135922,0,-29.13M,CLOSE,0%
185123106,CWAN,CLEARWATER ANALYTICS HLDGS I,0,-1236412,0,-29.82M,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-1065452,0,-47.06M,CLOSE,0%
705573103,PEGA,PEGASYSTEMS INC,0,-1038832,0,-62.04M,CLOSE,0%
Total,,,,,524.08M,-138.47M,-21.7%,100%
