CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
04626A103,ALAB,ASTERA LABS INC,352268,352268,38.61M,38.61M,NEW,3.2%
18915M107,NET,CLOUDFLARE INC,1138617,96518,234.94M,19.92M,+9.3%,19.2%
05464C101,AXON,AXON ENTERPRISE INC,397898,11156,168.98M,4.74M,+2.9%,13.8%
G6683N103,NU,NU HLDGS LTD,4284636,120127,61.57M,1.73M,+2.9%,5%
82509L107,SHOP,SHOPIFY INC,1649987,14412,195.72M,1.71M,+0.9%,16%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,142627,3993,55.68M,1.56M,+2.9%,4.6%
023135106,AMZN,AMAZON COM INC,693165,6082,144.37M,1.27M,+0.9%,11.8%
88160R101,TSLA,TESLA INC,96651,2699,35.93M,1M,+2.9%,2.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,341371,2928,115.37M,989.52K,+0.9%,9.4%
23804L103,DDOG,DATADOG INC,730696,6409,86.26M,756.58K,+0.9%,7.1%
30303M102,META,META PLATFORMS INC,149557,1258,85.57M,719.74K,+0.8%,7%
M7S64H106,MNDY,MONDAY COM LTD,0,-222388,0,-32.82M,CLOSE,0%
Total,,,,,1.22B,40.18M,+3%,100%
