CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,12500,12500,7.21M,7.21M,NEW,74.6%
464287655,IWM,ISHARES TR,2500,2500,620K,620K,NEW,6.4%
88160R101,TSLA,TESLA INC,1000,1000,371.75K,371.75K,NEW,3.8%
92835K103,VPG,VISHAY PRECISION GROUP INC,7000,7000,303.94K,303.94K,NEW,3.1%
573874104,MRVL,MARVELL TECHNOLOGY INC,3000,3000,297.15K,297.15K,NEW,3.1%
N07059210,ASML,ASML HLDG NV,200,200,264.17K,264.17K,NEW,2.7%
26923Q564,BMNU,ETF OPPORTUNITIES TRUST,60000,60000,105.9K,105.9K,NEW,1.1%
45569U101,INDI,INDIE SEMICONDUCTOR INC,30100,30100,96.92K,96.92K,NEW,1%
22890A302,ORBS,EIGHTCO HOLDINGS INC,15000,15000,13.98K,13.98K,NEW,0.14%
64081V109,NRDY,NERDY INC,0,-25000,0,-26K,CLOSE,0%
92922P106,WTI,W & T OFFSHORE INC,0,-24250,0,-39.53K,CLOSE,0%
904311206,UA,UNDER ARMOUR INC,0,-10000,0,-48K,CLOSE,0%
644393100,NFE,NEW FORTRESS ENERGY INC,0,-50000,0,-57K,CLOSE,0%
868927203,SRFM,SURF AIR MOBILITY INC,0,-29550,0,-57.33K,CLOSE,0%
M8001Q126,PYPD,POLYPID LTD,87193,-40133,381.9K,-175.78K,-31.5%,3.9%
98980L101,ZM,ZOOM COMMUNICATIONS INC,0,-2420,0,-208.82K,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-740,0,-211.2K,CLOSE,0%
871607107,SNPS,SYNOPSYS INC,0,-490,0,-230.16K,CLOSE,0%
882681109,TXRH,TEXAS ROADHOUSE INC,0,-1500,0,-249K,CLOSE,0%
81764X103,TTAN,SERVICETITAN INC,0,-2430,0,-258.8K,CLOSE,0%
60937P106,MDB,MONGODB INC,0,-720,0,-302.18K,CLOSE,0%
654106103,NKE,NIKE INC,0,-5000,0,-318.55K,CLOSE,0%
880770102,TER,TERADYNE INC,0,-1990,0,-385.18K,CLOSE,0%
79466L302,CRM,SALESFORCE INC,0,-2500,0,-662.28K,CLOSE,0%
46120E602,ISRG,INTUITIVE SURGICAL INC,0,-2000,0,-1.13M,CLOSE,0%
Total,,,,,9.67M,4.93M,+103.9%,100%
