CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922021605,VTEC,VANGUARD CALIF TAX FREE FDS,15453,15453,1.53M,1.53M,NEW,1.2%
922908363,VOO,VANGUARD INDEX FDS,7296,1168,4.36M,697.9K,+19.1%,3.3%
02079K305,GOOGL,ALPHABET INC,7224,2042,2.08M,587.18K,+39.4%,1.6%
46432F842,IEFA,ISHARES TR,5709,5709,516.84K,516.84K,NEW,0.39%
464287655,IWM,ISHARES TR,1900,1900,471.2K,471.2K,NEW,0.35%
46434G103,IEMG,ISHARES INC,6255,6255,436.29K,436.29K,NEW,0.33%
464287499,IWR,ISHARES TR,4331,4331,421.1K,421.1K,NEW,0.32%
464287226,AGG,ISHARES TR,4150,4150,411.97K,411.97K,NEW,0.31%
594918104,MSFT,MICROSOFT CORP,24496,1072,9.07M,396.82K,+4.6%,6.8%
921943858,VEA,VANGUARD TAX-MANAGED FDS,6157,6157,394.54K,394.54K,NEW,0.3%
922042858,VWO,VANGUARD INTL EQUITY INDEX F,35625,6867,1.93M,371.16K,+23.9%,1.4%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,6315,6315,357.93K,357.93K,NEW,0.27%
464287507,IJH,ISHARES TR,5125,5125,346.11K,346.11K,NEW,0.26%
37950E291,DIV,GLOBAL X FDS,17163,17163,324.38K,324.38K,NEW,0.24%
464288877,EFV,ISHARES TR,4169,4169,309.96K,309.96K,NEW,0.23%
828806109,SPG,SIMON PPTY GROUP INC NEW,1529,1529,285.2K,285.2K,NEW,0.21%
718546104,PSX,PHILLIPS 66,1449,1449,263.98K,263.98K,NEW,0.2%
14020Y805,CGHM,CAPITAL GRP FIXED INCM ETF T,10373,10373,262.64K,262.64K,NEW,0.2%
808524847,SCHH,SCHWAB STRATEGIC TR,12179,12179,261.73K,261.73K,NEW,0.2%
922042742,VT,VANGUARD INTL EQUITY INDEX F,4367,1853,604.04K,256.31K,+73.7%,0.45%
G5960L103,MDT,MEDTRONIC PLC,2932,2932,254.06K,254.06K,NEW,0.19%
037833100,AAPL,APPLE INC,22800,998,5.79M,253.28K,+4.6%,4.3%
91324P102,UNH,UNITEDHEALTH GROUP INC,860,860,232.71K,232.71K,NEW,0.17%
74624M102,PSTG,EVERPURE INC,3746,3746,221.16K,221.16K,NEW,0.17%
464287804,IJR,ISHARES TR,1749,1749,217.45K,217.45K,NEW,0.16%
464287473,IWS,ISHARES TR,1455,1455,212.05K,212.05K,NEW,0.16%
418056107,HAS,HASBRO INC,2188,2188,204.8K,204.8K,NEW,0.15%
060505104,BAC,BANK AMERICA CORP,4141,4141,201.86K,201.86K,NEW,0.15%
464287200,IVV,ISHARES TR,913,259,596.38K,169.18K,+39.6%,0.45%
381430529,GBIL,GOLDMAN SACHS ETF TR,5938,1566,594.93K,156.9K,+35.8%,0.45%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1468,322,703.47K,154.3K,+28.1%,0.53%
46625H100,JPM,JPMORGAN CHASE & CO,1446,508,425.36K,149.43K,+54.2%,0.32%
30303M102,META,META PLATFORMS INC,7340,245,4.2M,140.18K,+3.5%,3.2%
381430230,GSST,GOLDMAN SACHS ETF TR,10846,2393,548.26K,120.97K,+28.3%,0.41%
74933W601,TMFC,RBB FD INC,51874,1723,3.42M,113.67K,+3.4%,2.6%
808524300,SCHG,SCHWAB STRATEGIC TR,20684,3699,602.52K,107.75K,+21.8%,0.45%
70432V102,PAYC,PAYCOM SOFTWARE INC,4529,753,550.46K,91.52K,+19.9%,0.41%
98980L101,ZM,ZOOM COMMUNICATIONS INC,8182,1081,657.75K,86.9K,+15.2%,0.49%
166764100,CVX,CHEVRON CORPORATION,3164,408,654.63K,84.42K,+14.8%,0.49%
74340W103,PLD,PROLOGIS INC.,3858,596,509.95K,78.78K,+18.3%,0.38%
65339F101,NEE,NEXTERA ENERGY INC,5125,833,476.01K,77.37K,+19.4%,0.36%
14020W106,CGDV,CAPITAL GROUP DIVIDEND VALUE,7036,1746,299.31K,74.27K,+33%,0.22%
922908553,VNQ,VANGUARD INDEX FDS,4145,800,367.66K,70.96K,+23.9%,0.28%
922475108,VEEV,VEEVA SYS INC,1875,395,329.36K,69.39K,+26.7%,0.25%
92204A702,VGT,VANGUARD WORLD FD,3450,84,2.41M,58.61K,+2.5%,1.8%
009066101,ABNB,AIRBNB INC,8272,458,1.04M,57.84K,+5.9%,0.78%
922908744,VTV,VANGUARD INDEX FDS,2763,280,542.11K,54.94K,+11.3%,0.41%
931142103,WMT,WALMART INC,3409,381,423.67K,47.35K,+12.6%,0.32%
58733R102,MELI,MERCADOLIBRE INC,1657,26,2.86M,44.95K,+1.6%,2.2%
57636Q104,MA,MASTERCARD INCORPORATED,3441,87,1.72M,43.47K,+2.6%,1.3%
91332U101,U,UNITY SOFTWARE INC,10984,1809,240.99K,39.69K,+19.7%,0.18%
007903107,AMD,ADVANCED MICRO DEVICES INC,3751,183,763.07K,37.23K,+5.1%,0.57%
81369Y704,XLI,SELECT SECTOR SPDR TR,2038,212,329.61K,34.29K,+11.6%,0.25%
532457108,LLY,ELI LILLY & CO,265,37,243.74K,34.03K,+16.2%,0.18%
N07059210,ASML,ASML HLDG NV,645,23,851.93K,30.38K,+3.7%,0.64%
92826C839,V,VISA INC,917,76,277.29K,22.98K,+9%,0.21%
33740F755,BUFR,FIRST TR EXCHNG TRADED FD VI,32372,539,1.09M,18.2K,+1.7%,0.82%
595112103,MU,MICRON TECHNOLOGY INC,1363,44,460.48K,14.86K,+3.3%,0.35%
461202103,INTU,INTUIT,484,34,209.27K,14.7K,+7.6%,0.16%
00724F101,ADBE,ADOBE INC,1389,60,337.64K,14.58K,+4.5%,0.25%
855244109,SBUX,STARBUCKS CORP,7636,136,684.13K,12.18K,+1.8%,0.51%
81762P102,NOW,SERVICENOW INC,6711,96,701.63K,10.04K,+1.5%,0.53%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,31770,309,1.02M,9.89K,+1%,0.76%
464288604,ISCG,ISHARES TR,8053,161,441.3K,8.82K,+2%,0.33%
09857L108,BKNG,BOOKING HOLDINGS INC,65,2,273.67K,8.42K,+3.2%,0.21%
90353T100,UBER,UBER TECHNOLOGIES INC,6874,100,494.45K,7.19K,+1.5%,0.37%
98980G102,ZS,ZSCALER INC,5690,21,798.25K,2.95K,+0.4%,0.6%
79466L302,CRM,SALESFORCE INC,2021,9,377.29K,1.68K,+0.4%,0.28%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,378,1,245.52K,649.52,+0.3%,0.18%
93148P102,WD,WALKER & DUNLOP INC,7494,10,332.56K,443.77,+0.1%,0.25%
962879102,WPM,WHEATON PRECIOUS METALS CORP,2292,0,300.27K,0,NO CHANGE,0.23%
464288885,EFG,ISHARES TR,2473,0,275.42K,0,NO CHANGE,0.21%
650111107,NYT,NEW YORK TIMES CO MTN BE,2983,0,249.77K,0,NO CHANGE,0.19%
808524797,SCHD,SCHWAB STRATEGIC TR,7604,0,233.28K,0,NO CHANGE,0.18%
808524409,SCHV,SCHWAB STRATEGIC TR,7398,0,225.64K,0,NO CHANGE,0.17%
14021L109,CGDG,CAPITAL GROUP DIVIDEND GROWE,5885,0,211.27K,0,NO CHANGE,0.16%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,3372,-4,493.26K,-585.12,-0.1%,0.37%
47215P106,JD,JD.COM INC,8717,-46,257.76K,-1.36K,-0.5%,0.19%
38149W622,GPIX,GOLDMAN SACHS ETF TR,12708,-30,635.92K,-1.5K,-0.2%,0.48%
