CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
576323109,MTZ,MASTEC INC,112741,112741,36.27M,36.27M,NEW,6.4%
82509L107,SHOP,SHOPIFY INC,211795,211795,25.12M,25.12M,NEW,4.5%
032654105,ADI,ANALOG DEVICES INC,63652,63652,20.25M,20.25M,NEW,3.6%
461202103,INTU,INTUIT,131173,41871,56.72M,18.1M,+46.9%,10.1%
922475108,VEEV,VEEVA SYS INC,97238,97238,17.08M,17.08M,NEW,3%
531229755,FWONK,LIBERTY MEDIA CORP DEL,513490,184661,43.66M,15.7M,+56.2%,7.7%
H5919C104,ONON,ON HLDG AG,1197338,335328,40.73M,11.41M,+38.9%,7.2%
G6683N103,NU,NU HLDGS LTD,2827444,486670,40.63M,6.99M,+20.8%,7.2%
G93A5A101,VIK,VIKING HOLDINGS LTD,677087,57092,49.75M,4.2M,+9.2%,8.8%
00827B106,AFRM,AFFIRM HLDGS INC,834289,66535,38.23M,3.05M,+8.7%,6.8%
751212101,RL,RALPH LAUREN CORP,117540,5488,40.43M,1.89M,+4.9%,7.2%
30303M102,META,META PLATFORMS INC,76272,0,43.64M,0,NO CHANGE,7.7%
64110L106,NFLX,NETFLIX INC.,300810,0,28.92M,0,NO CHANGE,5.1%
58733R102,MELI,MERCADOLIBRE INC,10642,-3184,18.4M,-5.51M,-23%,3.3%
22160N109,CSGP,COSTAR GROUP INC,0,-242032,0,-16.27M,CLOSE,0%
171779309,CIEN,CIENA CORP,130272,-48385,50.58M,-18.78M,-27.1%,9%
02079K305,GOOGL,ALPHABET INC,45628,-101197,13.12M,-29.1M,-68.9%,2.3%
26603R106,DUOL,DUOLINGO INC,0,-184867,0,-32.44M,CLOSE,0%
77311W101,RKT,ROCKET COS INC,0,-2231659,0,-43.2M,CLOSE,0%
Total,,,,,563.53M,14.75M,+2.5%,100%
