CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,5565074,1839600,1.88B,621.69M,+49.4%,8.2%
038222105,AMAT,APPLIED MATLS INC,1656900,761700,566.31M,260.34M,+85.1%,2.5%
58733R102,MELI,MERCADOLIBRE INC,135006,135006,233.43M,233.43M,NEW,1%
11135F101,AVGO,BROADCOM INC,3584814,709200,1.11B,219.5M,+24.7%,4.9%
30303M102,META,META PLATFORMS INC,3086864,336249,1.77B,192.38M,+12.2%,7.7%
67066G104,NVDA,NVIDIA CORPORATION,12011752,1000000,2.09B,174.4M,+9.1%,9.2%
22266T109,CPNG,COUPANG INC,34595407,8328148,653.16M,157.24M,+31.7%,2.9%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,1580761,319300,766.53M,154.83M,+25.3%,3.4%
55024U109,LITE,LUMENTUM HLDGS INC,136800,136800,96.14M,96.14M,NEW,0.42%
29445S100,EQPT,EQUIPMENTSHARE COM INC,4579646,4579646,93.29M,93.29M,NEW,0.41%
458140100,INTC,INTEL CORP,1638700,1638700,72.32M,72.32M,NEW,0.32%
98954M200,Z,ZILLOW GROUP INC,7368957,1312000,304.93M,54.29M,+21.7%,1.3%
770701100,RVI,ROBINHOOD VENTURES FD I,400000,400000,10.62M,10.62M,NEW,0.05%
70450C101,PAYP,PAYPAY CORP,400000,400000,8.54M,8.54M,NEW,0.04%
98390R102,XNDU.TO,XANADU QUANTUM TECHNOLO LTD,500000,500000,3.83M,3.83M,NEW,0.02%
02079K305,GOOGL,ALPHABET INC,10631402,0,3.06B,0,NO CHANGE,13.4%
81141R100,SE,SEA LTD,15415835,0,1.28B,0,NO CHANGE,5.6%
36828A101,GEV,GE VERNOVA INC,972994,0,849.33M,0,NO CHANGE,3.7%
512807306,LRCX,LAM RESEARCH CORP,3900439,0,833.37M,0,NO CHANGE,3.6%
219948106,CPAY,CORPAY INC,1752146,0,509.86M,0,NO CHANGE,2.2%
64110L106,NFLX,NETFLIX INC.,2439000,0,234.51M,0,NO CHANGE,1%
531229755,FWONK,LIBERTY MEDIA CORP DEL,2682000,0,228.02M,0,NO CHANGE,1%
98980G102,ZS,ZSCALER INC,1579766,0,221.63M,0,NO CHANGE,0.97%
G6683N103,NU,NU HLDGS LTD,11032555,0,158.54M,0,NO CHANGE,0.69%
947002101,WLTH,WEALTHFRONT CORP,15156877,0,140.2M,0,NO CHANGE,0.61%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,2339500,0,133.35M,0,NO CHANGE,0.58%
824348106,SHW,SHERWIN WILLIAMS CO,257083,0,82.41M,0,NO CHANGE,0.36%
00138L108,RERE,ATRENEW INC,9831218,0,46.11M,0,NO CHANGE,0.2%
98954M101,ZG,ZILLOW GROUP INC,1023733,0,42.37M,0,NO CHANGE,0.19%
G9572D103,BULL,WEBULL CORP,6724137,0,32.28M,0,NO CHANGE,0.14%
732908108,PONY,PONY AI INC,2900000,0,27.38M,0,NO CHANGE,0.12%
90353T100,UBER,UBER TECHNOLOGIES INC,151178,0,10.87M,0,NO CHANGE,0.05%
47215P106,JD,JD.COM INC,344309,0,10.18M,0,NO CHANGE,0.04%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,200000,0,6.79M,0,NO CHANGE,0.03%
64119N608,NTSK,NETSKOPE INC,500000,0,4.25M,0,NO CHANGE,0.02%
25809K105,DASH,DOORDASH INC,25337,0,3.8M,0,NO CHANGE,0.02%
G16910120,BLSH,BULLISH,100000,0,3.57M,0,NO CHANGE,0.02%
G32089107,ETOR,ETORO GROUP LTD,80000,0,2.4M,0,NO CHANGE,0.01%
G5279N105,KLAR,KLARNA GROUP PLC,175000,0,2.29M,0,NO CHANGE,0.01%
316841105,FIG,FIGMA INC,60000,0,1.27M,0,NO CHANGE,<.01%
G00894108,ARX,ACCELERANT HOLDINGS,75000,0,1M,0,NO CHANGE,<.01%
36866J105,GEMI,GEMINI SPACE STA INC,70000,0,309.4K,0,NO CHANGE,<.01%
