CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,SERVICENOW INC,34748,33302,3.65M,3.5M,+2303%,0.22%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,993025,55988,55.26M,3.12M,+6%,3.3%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,370786,53022,19.94M,2.85M,+16.7%,1.2%
21037T109,CEG,CONSTELLATION ENERGY CORP,18374,8858,5.49M,2.65M,+93.1%,0.33%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,61925,5583,23.54M,2.12M,+9.9%,1.4%
023135106,AMZN,AMAZON COM INC,639978,10313,128.6M,2.07M,+1.6%,7.7%
008073108,AVAV,AEROVIRONMENT INC,16996,9273,3.01M,1.64M,+120.1%,0.18%
539830109,LMT,LOCKHEED MARTIN CORP,19048,1581,11.4M,946.33K,+9.1%,0.68%
64110L106,NFLX,NETFLIX INC.,1045455,10054,97.2M,934.72K,+1%,5.8%
92537N108,VRT,VERTIV HOLDINGS CO,83040,3731,19.45M,873.88K,+4.7%,1.2%
149123101,CAT,CATERPILLAR INC,14965,1258,9.99M,839.63K,+9.2%,0.59%
35671D857,FCX,FREEPORT MCMORAN INC,311231,15163,17.01M,828.66K,+5.1%,1%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,10237,1220,6.47M,771.02K,+13.5%,0.39%
74762E102,PWR,QUANTA SVCS INC,9695,1414,5.18M,754.77K,+17.1%,0.31%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,44831,2185,15.24M,742.75K,+5.1%,0.91%
46090E103,QQQ,INVESCO QQQ TR,19491,1308,10.88M,730.21K,+7.2%,0.65%
02156V109,OKLO,OKLO INC,36113,15852,1.65M,722.53K,+78.2%,0.1%
02079K107,GOOG,ALPHABET INC,65144,2595,17.79M,708.8K,+4.1%,1.1%
443201108,HWM,HOWMET AEROSPACE INC,6346,2993,1.42M,667.43K,+89.3%,0.08%
78463V107,GLD,SPDR GOLD TR,13578,1564,5.63M,648.4K,+13%,0.34%
11135F101,AVGO,BROADCOM INC,181899,2018,53.37M,592.1K,+1.1%,3.2%
25460G609,ERX,DIREXION SHARES ETF TRUST,5518,5518,583.65K,583.65K,NEW,0.03%
037833100,AAPL,APPLE INC,590779,2304,145.7M,568.24K,+0.4%,8.7%
38141G104,GS,GOLDMAN SACHS GROUP INC,3046,611,2.46M,493.49K,+25.1%,0.15%
88160R101,TSLA,TESLA INC,32982,1364,11.72M,484.6K,+4.3%,0.7%
097023105,BA,BOEING CO,10237,2313,1.94M,437.66K,+29.2%,0.12%
922908629,VO,VANGUARD INDEX FDS,1511,1511,424.43K,424.43K,NEW,0.03%
686688102,ORA,ORMAT TECHNOLOGIES INC,3758,3758,411.28K,411.28K,NEW,0.02%
320209109,FFBC,1ST FINL BANCORP,12800,12800,349.44K,349.44K,NEW,0.02%
464287465,EFA,ISHARES TR,17774,3603,1.67M,338.93K,+25.4%,0.1%
46120E602,ISRG,INTUITIVE SURGICAL INC,66530,742,30.12M,335.96K,+1.1%,1.8%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,12592,1022,3.98M,323.04K,+8.8%,0.24%
89055F103,BLD,TOPBUILD COR,950,950,318.62K,318.62K,NEW,0.02%
