CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
049468101,TEAM,ATLASSIAN CORPORATION,3850000,2500000,262.76M,170.62M,+185.2%,8.9%
67066G104,NVDA,NVIDIA CORPORATION,4700000,850000,819.68M,148.24M,+22.1%,27.9%
30303M102,META,META PLATFORMS INC,225000,225000,128.73M,128.73M,NEW,4.4%
594918104,MSFT,MICROSOFT CORP,1325000,300000,490.48M,111.05M,+29.3%,16.7%
023135106,AMZN,AMAZON COM INC,2175000,375000,452.99M,78.1M,+20.8%,15.4%
09857L108,BKNG,BOOKING HOLDINGS INC,60000,-5000,252.62M,-21.05M,-7.7%,8.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,1150000,-75000,388.64M,-25.35M,-6.1%,13.2%
02079K305,GOOGL,ALPHABET INC,500000,-425000,143.78M,-122.21M,-45.9%,4.9%
92826C839,V,VISA INC,0,-500000,0,-175.35M,CLOSE,0%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,0,-1850000,0,-386.19M,CLOSE,0%
Total,,,,,2.94B,-93.41M,-2.7%,100%
